"Name","Phone","Rating","Votes","Locality","City"
"Medicine Home Delivery Services","+ 91  9061842984","","0","Kodungaiyur","Chennai"
"Riya Education (Closed Down)","","","0","Egmore","Chennai"
"R K Pharma Distributors","+ 91  44 28010033","3.6","10","Arumbakkam","Chennai"
"Sahayam Pharmacy","+ 91  44 57074491","3.8","3","Tiruvottiyur","Chennai"
"Medicine Health Care Pvt Ltd","9456432125","","0","","Chennai"
"Medicine Chamber","+ 91  44 81428475","3.8","38","Park Town","Chennai"
"Sri Saravana Medicals","+ 91  44 82235063","","0","Manali","Chennai"
"Guru Medicals","+ 91  937172067","","0","Manali","Chennai"
"Medicine And Diabetic Clinic","","","0","Kilpauk","Chennai"
"K S Pharmacy","+ 91  44 114198","","0","Manali","Chennai"
"Anitha Medical","+ 91  9837168417","","0","Mathur","Chennai"
"Annai Medicals","+ 91  9060640425","5.0","2","Ernavur","Chennai"
"Medicine Health Care Pvt Ltd","9468867055","","0","","Chennai"
"Sri Venkateswara Medicals","+ 91  44 4980752","","0","Manali","Chennai"
"Medicine Health Care Pvt Ltd","9416747958","","0","","Chennai"
"Medicine Helpline (Closed Down)","","4.0","2","Kilpauk","Chennai"
"Medicine Chamber","+ 91  44 51505124","3.8","38","Park Town","Chennai"
"Sri Vijayalakshmi Medicals","+ 91  9651429768","","0","Mathur","Chennai"
"Selvi Pharmacy","+ 91  9713001634","","0","Tiruvottiyur","Chennai"
"Al Shifa Clinic","+ 91  7498429164","","0","Sekkadu","Chennai"
"Medicine Pharma Distributors","+ 91  9967443429","4.8","5","Mogappair East","Chennai"
"Venkateswara Medicals","+ 91  9986289185","4.0","1","Manali New Town","Chennai"
"J K Medicals","+ 91  9844978265","","0","Tiruvottiyur","Chennai"
"Medicine Zone","+ 91  9532145869","","0","Saligramam","Chennai"
"S K Medicals","+ 91  9878546049","","0","Manali","Chennai"
"Arul Pharmacy","+ 91  9732625713","","0","Mathur","Chennai"
"Medicine Biotech Pvt Ltd","+ 91  044 52229513","4.5","4","Perungudi","Chennai"
"Medicine Helpline (Closed Down)","","4.0","2","Kilpauk","Chennai"
"Sri Lakshmi Medicals","+ 91  9951192007","","0","Ernavur","Chennai"
"Shree Amman Medicals","+ 91  9039821420","","0","RM Nagar-Tiruvottiyur","Chennai"
"Medicine Chamber","+ 91  44 7217120","3.8","38","Park Town","Chennai"
"Medicine Pharma Distributors","+ 91  9995319178","4.8","5","Mogappair East","Chennai"
"Sujatha Pharmacy","+ 91  44 64372340","4.7","30","Tiruvottiyur","Chennai"
"Wimco Medicals","+ 91  7317207780","3.5","2","Wimco Nagar","Chennai"
"R K Pharma Distributors","+ 91  44 40689994","3.6","10","Arumbakkam","Chennai"
"Lalitha Medical","","","0","Manali New Town","Chennai"
"Shifa Medicals","+ 91  044 30324065","4.2","5","Mathur","Chennai"
"New Medical","","","0","Manali","Chennai"
"Madina Medicals","+ 91  983816628","","0","Tiruvottiyur","Chennai"
"Hariharan Medicals","+ 91  44 16406655","","0","Manali New Town","Chennai"
"Sri Bala Murugan Medicals","+ 91  8016072998","5.0","2","Ennore","Chennai"
"Medicine Home Delivery Services","+ 91  9044555986","","0","Kodungaiyur","Chennai"
"Karpagam Medicals","+ 91  8184080540","","0","Periyar Nagar-Tiruvottiyur","Chennai"
"Indra Sree Medical","+ 91  8763796478","5.0","3","Mathur","Chennai"
"Sri Vijayalaxmi Medical","","","0","Mathur","Chennai"
"Ganesha Medicals","+ 91  989681030","4.5","12","Manali","Chennai"
"Shantha Medicals","+ 91  9041714535","","0","Manali","Chennai"
"Medicine Biotech Pvt Ltd","+ 91  044 34431597","4.5","4","Perungudi","Chennai"
"Mahaveer Medicals","+ 91  44 85770984","4.8","7","Ernavur","Chennai"
"Sri SAI Baba Medicals","+ 91  44 13970737","","0","Manali","Chennai"
"Thirumurugha Medicals","+ 91  44 94182035","","0","Ennore","Chennai"
"Medicine And Diabetic Clinic","","","0","Kilpauk","Chennai"
"Medicine Biotech Pvt Ltd","+ 91  044 92473842","4.5","4","Perungudi","Chennai"
"Medicine Chamber","+ 91  44 60991331","3.8","38","Park Town","Chennai"
"Balaji Medical Store","+ 91  925047065","4.6","5","Manali","Chennai"
"Riya Education (Closed Down)","","","0","Egmore","Chennai"
"Pavithra Medical","+ 91  44 31521411","","0","Manali","Chennai"
"Ganesh medicals","","3.0","2","Ennore","Chennai"
"Medicine Biotech Pvt Ltd","+ 91  044 43695800","4.5","4","Perungudi","Chennai"
"Medicine And Diabetic Clinic","","","0","Kilpauk","Chennai"
"Kumaran Medicals","+ 91  9743999549","","0","Wimco Nagar","Chennai"
"Medicine Pharma Distributors","+ 91  9911493154","4.8","5","Mogappair East","Chennai"
"Selvam Medical","+ 91  8151218674","4.0","4","Manali","Chennai"
"Kumaran Pharmacy","+ 91  9718089394","","0","Ernavur","Chennai"
"Medicine Helpline (Closed Down)","","4.0","2","Kilpauk","Chennai"
"Medicine And Diabetic Clinic","","","0","Kilpauk","Chennai"
"Giri Medicals","+ 91  9839419508","","0","Manali New Town","Chennai"
"Medplus","+ 91  9724568292","5.0","2","Manali","Chennai"
"Medicine Zone","+ 91  9514637238","","0","Saligramam","Chennai"
"Sri Krishna Medicals","+ 91  9793216476","","0","Tiruvottiyur","Chennai"
"Navin Balaji Medicals","+ 91  9440081538","3.0","1","Manali New Town","Chennai"
"Royal pharmacy","+ 91  9465519006","","0","Tiruvottiyur","Chennai"
"Raj Medicals","+ 91  9877730470","","0","Mathur","Chennai"
"Fathima Pharmacy","+ 91  44 24010085","4.6","3","Ennore","Chennai"
"krishna medicals","+ 91  9792978125","","0","Tsr Nagar-Tiruvottiyur","Chennai"
"Medicine Home Delivery Services","+ 91  9054380399","","0","Kodungaiyur","Chennai"
"Medicine Health Care Pvt Ltd","9475764110","","0","","Chennai"
"Sri Vishnu Medicals","+ 91  44 52353606","5.0","6","Ennore","Chennai"
"Sandhiya Medicals","","","0","Manali","Chennai"
"JKM Medicals","+ 91  9724421222","4.8","5","Tiruvottiyur","Chennai"
"R Anandraj Loory Body Work","+ 91  9822840108","","0","Tiruvottiyur","Chennai"
"Rao Pharmacy","+ 91  8063318396","5.0","71","Tiruvottiyur","Chennai"
"OM Sakthi Medical","","","0","Manali","Chennai"
"Mani Medicals","+ 91  44 50351222","3.8","4","Manali","Chennai"
"Sri Jayakala Medicals","+ 91  44 92527241","4.6","3","Mathur","Chennai"
"R K Pharma Distributors","+ 91  44 50912405","3.6","10","Arumbakkam","Chennai"
"Riya Education (Closed Down)","","","0","Egmore","Chennai"
"Medicine Zone","+ 91  9583508222","","0","Saligramam","Chennai"
"R K Pharma Distributors","+ 91  44 92882073","3.6","10","Arumbakkam","Chennai"
"Medicine Helpline (Closed Down)","","4.0","2","Kilpauk","Chennai"
"Medicine Pharma Distributors","+ 91  9959337824","4.8","5","Mogappair East","Chennai"
"Karpagam Medicals","+ 91  9725052340","4.7","4","Tiruvottiyur","Chennai"
"Medicine Home Delivery Services","+ 91  9074395083","","0","Kodungaiyur","Chennai"
"Annamalai Medicals","+ 91  44 15013310","4.1","8","Ennore","Chennai"
"Shaahs Medicals","+ 91  9892195220","3.8","8","Ernavur","Chennai"
"Riya Education (Closed Down)","","","0","Egmore","Chennai"
"Shree Amman medicals","+ 91  9621462274","","0","Tiruvottiyur","Chennai"
"Siva Medicals","+ 91  9070253069","","0","Thiruvottiyur ","Chennai"
"Kalpana Medical","+ 91  9031581818","4.5","2","Manali New Town","Chennai"
"Medicine Zone","+ 91  9518346549","","0","Saligramam","Chennai"
