"Name","Phone","Rating","Votes","Locality","City"
"Ramesh 2 Wheeler Workshop","+ 91  9451931707","5.0","4","Ganapathipuram","Kanyakumari"
"Leelas Natural medicine For Spider Bite","+ 91  94793264","5.0","4","Painkulam","Kanyakumari"
"Kumari Naatu Traditional Tamil Medicine","+ 91  976960506","","0","","Kanyakumari"
"Jee Bullet Accessories Dealer","+ 91  807419186","1.5","1","Kamplar","Kanyakumari"
"Rajaram Hospital & Centre For Varma Medicine And Research","+ 91  46511765589","2.5","2","Kanyakumari","Kanyakumari"
"Nsp Cement Dealer","+ 91  9442984959","5.0","4","Thuckalay","Kanyakumari"
"Matha Bike Dealers","+ 91  046529167415","","0","Kuzhitthurai","Kanyakumari"
"VSP Herbal Medicine Shop","+ 91  492786785","5.0","2","Marthandam","Kanyakumari"
"VSP Herbal Medicine Shop","+ 91  49245608423","5.0","2","Marthandam","Kanyakumari"
"Sajin Bike Dealer","+ 91  9956056642","5.0","1","Marthandam","Kanyakumari"
"Leelas Natural medicine For Spider Bite","+ 91  9416040575","5.0","4","Painkulam","Kanyakumari"
"Distribute Medicine","+ 91  7894975232","","0","Arumanai","Kanyakumari"
"Link 2 Link Wireless Network Solution","+ 91  8748359596","","0","","Kanyakumari"
"Sankar Cement Dealer","+ 91  9478082808","4.0","15","Kumarapuramthoppur","Kanyakumari"
"Ap Recharge 2","+ 91  7757479277","","0","","Kanyakumari"
"Rajendra Herbal Medicine & Lodge","+ 91  46554985026","5.0","2","Thuckalay","Kanyakumari"
"Rajaram Hospital & Centre For Varma Medicine And Research","+ 91  46516986553","2.5","2","Kanyakumari","Kanyakumari"
"Municipal Corporation Ward Number 2","+ 91  9416431804","","","Colachal Kanyakumari","Kanyakumari"
"Rajendra Herbal Medicine & Lodge","+ 91  46599959535","5.0","2","Thuckalay","Kanyakumari"
"Arun Car Dealer","+ 91  7928530797","4.6","14","Marthandam","Kanyakumari"
