"Name","Phone","Rating","Votes","Locality","City"
"Medicine Pharma Distributors","+ 91  9999652387","4.8","5","Mogappair East","Chennai"
"Medicine Biotech Pvt Ltd","+ 91  044 70745707","4.5","4","Perungudi","Chennai"
"Medicine And Diabetic Clinic","","","0","Kilpauk","Chennai"
"Medicine Chamber","+ 91  44 27447582","3.8","38","Park Town","Chennai"
"Medicine Chamber","+ 91  44 54294502","3.8","38","Park Town","Chennai"
"Medicine Zone","+ 91  9560442274","","0","Saligramam","Chennai"
"Medicine Helpline (Closed Down)","","4.0","2","Kilpauk","Chennai"
"Medicine Home Delivery Services","+ 91  9023654963","","0","Kodungaiyur","Chennai"
"Medicine And Diabetic Clinic","","","0","Kilpauk","Chennai"
"Medicine Helpline (Closed Down)","","4.0","2","Kilpauk","Chennai"
"Medicine Zone","+ 91  9549340725","","0","Saligramam","Chennai"
"R K Pharma Distributors","+ 91  44 34762155","3.6","10","Arumbakkam","Chennai"
"Medicine Home Delivery Services","+ 91  9038735979","","0","Kodungaiyur","Chennai"
"Medicine And Diabetic Clinic","","","0","Kilpauk","Chennai"
"Riya Education (Closed Down)","","","0","Egmore","Chennai"
"Medicine Pharma Distributors","+ 91  9949741337","4.8","5","Mogappair East","Chennai"
"Medicine Pharma Distributors","+ 91  9968794385","4.8","5","Mogappair East","Chennai"
"Medicine Biotech Pvt Ltd","+ 91  044 93290538","4.5","4","Perungudi","Chennai"
"Riya Education (Closed Down)","","","0","Egmore","Chennai"
"Riya Education (Closed Down)","","","0","Egmore","Chennai"
"Medicine Pharma Distributors","+ 91  9915220177","4.8","5","Mogappair East","Chennai"
"R K Pharma Distributors","+ 91  44 99739609","3.6","10","Arumbakkam","Chennai"
"Riya Education (Closed Down)","","","0","Egmore","Chennai"
"Medicine Pharma Distributors","+ 91  9993640062","4.8","5","Mogappair East","Chennai"
"Medicine Helpline (Closed Down)","","4.0","2","Kilpauk","Chennai"
"Medicine Health Care Pvt Ltd","9423296709","","0","","Chennai"
"R K Pharma Distributors","+ 91  44 76724652","3.6","10","Arumbakkam","Chennai"
"Medicine Biotech Pvt Ltd","+ 91  044 33039","4.5","4","Perungudi","Chennai"
"Medicine Biotech Pvt Ltd","+ 91  044 62421543","4.5","4","Perungudi","Chennai"
"Medicine Home Delivery Services","+ 91  904562633","","0","Kodungaiyur","Chennai"
"Medicine Health Care Pvt Ltd","9460831496","","0","","Chennai"
"Medicine Zone","+ 91  9592185770","","0","Saligramam","Chennai"
"R K Pharma Distributors","+ 91  44 44935912","3.6","10","Arumbakkam","Chennai"
"Medicine Chamber","+ 91  44 99135887","3.8","38","Park Town","Chennai"
"Medicine Zone","+ 91  9588884958","","0","Saligramam","Chennai"
"Medicine Home Delivery Services","+ 91  9012974984","","0","Kodungaiyur","Chennai"
"Medicine Biotech Pvt Ltd","+ 91  044 84131108","4.5","4","Perungudi","Chennai"
"Medicine And Diabetic Clinic","","","0","Kilpauk","Chennai"
"Medicine And Diabetic Clinic","","","0","Kilpauk","Chennai"
"Medicine Zone","+ 91  9514938744","","0","Saligramam","Chennai"
"Medicine Health Care Pvt Ltd","9419692215","","0","","Chennai"
"Medicine Home Delivery Services","+ 91  9045672126","","0","Kodungaiyur","Chennai"
"Medicine Health Care Pvt Ltd","9494333768","","0","","Chennai"
"Medicine Chamber","+ 91  44 5003387","3.8","38","Park Town","Chennai"
"Medicine Helpline (Closed Down)","","4.0","2","Kilpauk","Chennai"
"Medicine Health Care Pvt Ltd","9488266830","","0","","Chennai"
"Medicine Helpline (Closed Down)","","4.0","2","Kilpauk","Chennai"
"Medicine Chamber","+ 91  44 77033334","3.8","38","Park Town","Chennai"
"Riya Education (Closed Down)","","","0","Egmore","Chennai"
"R K Pharma Distributors","+ 91  44 5741937","3.6","10","Arumbakkam","Chennai"
