"Name","Phone","Rating","Votes","Locality","City"
"Pets 2 Home","+ 91  9866393816","3.8","18","Kapurthala Ho","Kapurthala"
"Khangura Dairy","+ 91  9450891851","4.3","12","","Kapurthala"
"Hundal Dairy Farm","+ 91  9422557780","5.0","3","Sherpur Dona","Kapurthala"
"Chand Dairy","+ 91  9745999744","4.1","9","Dhilwan","Kapurthala"
"Verka Dairy Ucha","+ 91  9420281130","4.6","20","Saiflabad","Kapurthala"
"Chand Dairy","+ 91  9789621792","4.1","9","Dhilwan","Kapurthala"
"Hundal Dairy Farm","+ 91  9463792070","5.0","3","Sherpur Dona","Kapurthala"
"Gurjeet Dairy","+ 91  9432414383","4.4","7","Rail Coach Factory","Kapurthala"
"Banwait Power Products","+ 91  7563176565","4.4","5","","Kapurthala"
"Verka Dairy Ucha","+ 91  9456810619","4.6","20","Saiflabad","Kapurthala"
"Sarb Cheema Dairy","+ 91  7520080267","3.3","15","Near Bhogpor City Jalandhar","Kapurthala"
"Khangura Dairy","+ 91  9460040011","4.3","12","","Kapurthala"
"Sarb Cheema Dairy","+ 91  7593226018","3.3","15","Near Bhogpor City Jalandhar","Kapurthala"
"Chand Dairy","+ 91  9726108234","4.1","9","Dhilwan","Kapurthala"
"Honey Dairy Farm","+ 91  9844363899","3.4","61","Mauli","Kapurthala"
"Khangura Dairy","+ 91  9421994444","4.3","12","","Kapurthala"
"Verka Dairy Ucha","+ 91  9427410028","4.6","20","Saiflabad","Kapurthala"
"Khangura Dairy","+ 91  949686059","4.3","12","","Kapurthala"
"Chand Dairy","+ 91  9745145649","4.1","9","Dhilwan","Kapurthala"
"Sharma Dairy Farm","+ 91  9882511627","3.4","10","Pattar Kalan","Kapurthala"
"Verka Dairy Ucha","+ 91  9422168619","4.6","20","Saiflabad","Kapurthala"
"Honey Dairy Farm","+ 91  9898553967","3.4","61","Mauli","Kapurthala"
"Chand Dairy","+ 91  9792159587","4.1","9","Dhilwan","Kapurthala"
"Banwait Power Products","+ 91  7577477316","4.4","5","","Kapurthala"
"Key 2 Success Coaching Centre","+ 91  9899523007","5.0","24","Bholath","Kapurthala"
"Sarb Cheema Dairy","+ 91  7559572121","3.3","15","Near Bhogpor City Jalandhar","Kapurthala"
"Sharma Dairy Farm","+ 91  9881687403","3.4","10","Pattar Kalan","Kapurthala"
"Sahi Dairy","+ 91  9980448851","5.0","3","Nadala","Kapurthala"
"Sharma Dairy Farm","+ 91  983291981","3.4","10","Pattar Kalan","Kapurthala"
"Hundal Dairy Farm","+ 91  9491825411","5.0","3","Sherpur Dona","Kapurthala"
"Honey Dairy Farm","+ 91  985808646","3.4","61","Mauli","Kapurthala"
"Hundal Dairy Farm","+ 91  9459472957","5.0","3","Sherpur Dona","Kapurthala"
"Gurjeet Dairy","+ 91  9477235958","4.4","7","Rail Coach Factory","Kapurthala"
"Bite4diet","+ 91  8593819781","4.4","158","Mansoorwal","Kapurthala"
"Sharma Dairy Farm","+ 91  9895061600","3.4","10","Pattar Kalan","Kapurthala"
"Damp 2 Decor","+ 91  9173410000","4.5","23","Near Easy Day","Kapurthala"
"Honey Dairy Farm","+ 91  9882499658","3.4","61","Mauli","Kapurthala"
"Honey Dairy Farm","+ 91  9830226731","3.4","61","Mauli","Kapurthala"
"Banwait Power Products","+ 91  7564321757","4.4","5","","Kapurthala"
"Gurjeet Dairy","+ 91  9479886021","4.4","7","Rail Coach Factory","Kapurthala"
"Sahi Dairy","+ 91  9939150352","5.0","3","Nadala","Kapurthala"
"Gurjeet Dairy","+ 91  9420025414","4.4","7","Rail Coach Factory","Kapurthala"
"Sahi Dairy","+ 91  9982483126","5.0","3","Nadala","Kapurthala"
"Banwait Power Products","+ 91  7564582830","4.4","5","","Kapurthala"
"Hundal Dairy Farm","+ 91  9433481804","5.0","3","Sherpur Dona","Kapurthala"
"Gurjeet Dairy","+ 91  9470765305","4.4","7","Rail Coach Factory","Kapurthala"
"Verka Dairy Ucha","+ 91  9458138475","4.6","20","Saiflabad","Kapurthala"
"Sarb Cheema Dairy","+ 91  754424954","3.3","15","Near Bhogpor City Jalandhar","Kapurthala"
"Banwait Power Products","+ 91  7583131657","4.4","5","","Kapurthala"
"Sarb Cheema Dairy","+ 91  7566208553","3.3","15","Near Bhogpor City Jalandhar","Kapurthala"
