"Name","Phone","Rating","Votes","Locality","City"
"Sharma Dairy Farm","+ 91  9899137904","3.4","10","Pattar Kalan","Kapurthala"
"Gurjeet Dairy","+ 91  9413696039","4.4","7","Rail Coach Factory","Kapurthala"
"Khangura Dairy","+ 91  9445900891","4.3","12","","Kapurthala"
"Verka Dairy Ucha","+ 91  9440379964","4.6","20","Saiflabad","Kapurthala"
"Lovely Sweet Shop And Fast Food","+ 91  981703979","4.5","2","Kapurthala Ho","Kapurthala"
"Verka Dairy Ucha","+ 91  9467764084","4.6","20","Saiflabad","Kapurthala"
"Khurana Juice Bar & Fruit Shop","+ 91  9065709195","4.0","68","Near State Gurudwara","Kapurthala"
"Sarb Cheema Dairy","+ 91  7577451531","3.3","15","Near Bhogpor City Jalandhar","Kapurthala"
"Gurjeet Dairy","+ 91  94421518","4.4","7","Rail Coach Factory","Kapurthala"
"Pets 2 Home","+ 91  9883488366","3.8","18","Kapurthala Ho","Kapurthala"
"Arora Sweets Shop","+ 91  9842498697","4.0","69","Nadala","Kapurthala"
"Hundal Dairy Farm","+ 91  9469949217","5.0","3","Sherpur Dona","Kapurthala"
"Sarb Cheema Dairy","+ 91  7534237963","3.3","15","Near Bhogpor City Jalandhar","Kapurthala"
"Chand Dairy","+ 91  9792315491","4.1","9","Dhilwan","Kapurthala"
"Sharma Dairy Farm","+ 91  9895999343","3.4","10","Pattar Kalan","Kapurthala"
"Malhi Dairy","+ 91  8755148068","3.0","4","","Kapurthala"
"Gurvinder Sweet Shop","+ 91  6288010958","","0","","Kapurthala"
"K K Sweet Shop","+ 91  8290504154","4.0","507","","Kapurthala"
"Malhi Dairy","+ 91  8711298316","3.0","4","","Kapurthala"
"Archies Gift Shop","","3.6","180","Rail Coach Factory","Kapurthala"
"Bite4diet","+ 91  8550778957","4.4","158","Mansoorwal","Kapurthala"
"Damp 2 Decor","+ 91  9166520391","4.5","23","Near Easy Day","Kapurthala"
"Hundal Dairy Farm","+ 91  9468192372","5.0","3","Sherpur Dona","Kapurthala"
"Punjab Sweet Shop","+ 91  9810276666","3.8","138","Sultanpur Lodhi","Kapurthala"
"Verka Dairy Ucha","+ 91  948944579","4.6","20","Saiflabad","Kapurthala"
"Chand Dairy","+ 91  9791928378","4.1","9","Dhilwan","Kapurthala"
"Honey Dairy Farm","+ 91  9827296135","3.4","61","Mauli","Kapurthala"
"Sharma Dairy Farm","+ 91  9878009439","3.4","10","Pattar Kalan","Kapurthala"
"Sony Meat Shop","+ 91  9951716139","3.7","74","Maqsoodpur","Kapurthala"
"Mahar Sweet Shop","+ 91  9822052443","3.5","101","","Kapurthala"
"Chand Dairy","+ 91  9719325848","4.1","9","Dhilwan","Kapurthala"
"Honey Dairy Farm","+ 91  9890236997","3.4","61","Mauli","Kapurthala"
"Sahi Dairy","+ 91  9972842589","5.0","3","Nadala","Kapurthala"
"Khangura Dairy","+ 91  9447683951","4.3","12","","Kapurthala"
"Honey Dairy Farm","+ 91  9816160330","3.4","61","Mauli","Kapurthala"
"Chand Dairy","+ 91  976148067","4.1","9","Dhilwan","Kapurthala"
"Sahi Dairy","+ 91  9922445965","5.0","3","Nadala","Kapurthala"
"Hundal Dairy Farm","+ 91  9471797164","5.0","3","Sherpur Dona","Kapurthala"
"Verka Dairy Ucha","+ 91  9426833270","4.6","20","Saiflabad","Kapurthala"
"Hundal Dairy Farm","+ 91  9419071500","5.0","3","Sherpur Dona","Kapurthala"
"Sahi Dairy","+ 91  9930818343","5.0","3","Nadala","Kapurthala"
"Key 2 Success Coaching Centre","+ 91  98280454","5.0","24","Bholath","Kapurthala"
"Honey Dairy Farm","+ 91  9857230505","3.4","61","Mauli","Kapurthala"
"Gurjeet Dairy","+ 91  9465666305","4.4","7","Rail Coach Factory","Kapurthala"
"Honey Dairy Farm","+ 91  9839845681","3.4","61","Mauli","Kapurthala"
"Gurjeet Dairy","+ 91  94774876","4.4","7","Rail Coach Factory","Kapurthala"
"Sarb Cheema Dairy","+ 91  7525117374","3.3","15","Near Bhogpor City Jalandhar","Kapurthala"
"Khangura Dairy","+ 91  9444000200","4.3","12","","Kapurthala"
"Sarb Cheema Dairy","+ 91  7539610815","3.3","15","Near Bhogpor City Jalandhar","Kapurthala"
"Khangura Dairy","+ 91  9452459542","4.3","12","","Kapurthala"
