"Name","Phone","Rating","Votes","Locality","City"
"Sharma Dairy Farm","+ 91  9895685268","3.4","10","Pattar Kalan","Kapurthala"
"Sahi Dairy","+ 91  9977350740","5.0","3","Nadala","Kapurthala"
"Hundal Dairy Farm","+ 91  944399706","5.0","3","Sherpur Dona","Kapurthala"
"Honey Dairy Farm","+ 91  9868578476","3.4","61","Mauli","Kapurthala"
"Lovely Sweet Shop And Fast Food","+ 91  9843476887","4.5","2","Kapurthala Ho","Kapurthala"
"Verka Dairy Ucha","+ 91  9492664626","4.6","20","Saiflabad","Kapurthala"
"Punjab Sweet Shop","+ 91  9855927405","3.8","138","Sultanpur Lodhi","Kapurthala"
"Sharma Dairy Farm","+ 91  981644891","3.4","10","Pattar Kalan","Kapurthala"
"Verka Dairy Ucha","+ 91  9494071072","4.6","20","Saiflabad","Kapurthala"
"Chand Dairy","+ 91  9729043845","4.1","9","Dhilwan","Kapurthala"
"Khurana Juice Bar & Fruit Shop","+ 91  9096500846","4.0","68","Near State Gurudwara","Kapurthala"
"Key 2 Success Coaching Centre","+ 91  981832402","5.0","24","Bholath","Kapurthala"
"Sharma Dairy Farm","+ 91  9850625091","3.4","10","Pattar Kalan","Kapurthala"
"Chand Dairy","+ 91  9766983616","4.1","9","Dhilwan","Kapurthala"
"Sahi Dairy","+ 91  9943340840","5.0","3","Nadala","Kapurthala"
"Honey Dairy Farm","+ 91  9853551749","3.4","61","Mauli","Kapurthala"
"Sony Meat Shop","+ 91  9958273882","3.7","74","Maqsoodpur","Kapurthala"
"K K Sweet Shop","+ 91  8214625809","4.0","507","","Kapurthala"
"Chand Dairy","+ 91  9785056605","4.1","9","Dhilwan","Kapurthala"
"Verka Dairy Ucha","+ 91  9426876793","4.6","20","Saiflabad","Kapurthala"
"Khangura Dairy","+ 91  9456266649","4.3","12","","Kapurthala"
"Khangura Dairy","+ 91  9445526620","4.3","12","","Kapurthala"
"Damp 2 Decor","+ 91  9194619826","4.5","23","Near Easy Day","Kapurthala"
"Bite4diet","+ 91  8582339402","4.4","158","Mansoorwal","Kapurthala"
"Chand Dairy","+ 91  9776462075","4.1","9","Dhilwan","Kapurthala"
"Arora Sweets Shop","+ 91  9836209533","4.0","69","Nadala","Kapurthala"
"Malhi Dairy","+ 91  8745095930","3.0","4","","Kapurthala"
"Verka Dairy Ucha","+ 91  9422549327","4.6","20","Saiflabad","Kapurthala"
"Sarb Cheema Dairy","+ 91  7546209816","3.3","15","Near Bhogpor City Jalandhar","Kapurthala"
"Pets 2 Home","+ 91  9881511719","3.8","18","Kapurthala Ho","Kapurthala"
"Mahar Sweet Shop","+ 91  9864095001","3.5","101","","Kapurthala"
"Khangura Dairy","+ 91  9457926795","4.3","12","","Kapurthala"
"Gurjeet Dairy","+ 91  945053721","4.4","7","Rail Coach Factory","Kapurthala"
"Hundal Dairy Farm","+ 91  941621010","5.0","3","Sherpur Dona","Kapurthala"
"Gurvinder Sweet Shop","+ 91  6274649789","","0","","Kapurthala"
"Honey Dairy Farm","+ 91  9818132364","3.4","61","Mauli","Kapurthala"
"Sarb Cheema Dairy","+ 91  7568467427","3.3","15","Near Bhogpor City Jalandhar","Kapurthala"
"Sarb Cheema Dairy","+ 91  7549524305","3.3","15","Near Bhogpor City Jalandhar","Kapurthala"
"Gurjeet Dairy","+ 91  9434500285","4.4","7","Rail Coach Factory","Kapurthala"
"Gurjeet Dairy","+ 91  9416331575","4.4","7","Rail Coach Factory","Kapurthala"
"Archies Gift Shop","","3.6","180","Rail Coach Factory","Kapurthala"
"Hundal Dairy Farm","+ 91  9497219516","5.0","3","Sherpur Dona","Kapurthala"
"Malhi Dairy","+ 91  8769283235","3.0","4","","Kapurthala"
"Khangura Dairy","+ 91  9451402273","4.3","12","","Kapurthala"
"Honey Dairy Farm","+ 91  9822728673","3.4","61","Mauli","Kapurthala"
"Gurjeet Dairy","+ 91  9477843818","4.4","7","Rail Coach Factory","Kapurthala"
"Honey Dairy Farm","+ 91  9869919032","3.4","61","Mauli","Kapurthala"
"Sarb Cheema Dairy","+ 91  7518954720","3.3","15","Near Bhogpor City Jalandhar","Kapurthala"
"Hundal Dairy Farm","+ 91  9460839406","5.0","3","Sherpur Dona","Kapurthala"
"Sahi Dairy","+ 91  9920191955","5.0","3","Nadala","Kapurthala"
