"Name","Phone","Rating","Votes","Locality","City"
"Dasmesh Medicine Centre","+ 91  9843527371","","0","Dhilwan","Kapurthala"
"Satguru Medicines","+ 91  9839282989","","0","","Kapurthala"
"Jai Ho 3","+ 91  7080265612","","0","Sultanpur Lodhi","Kapurthala"
"Sharma Medicine Traders","+ 91  7517672557","","0","Rail Coach Factory","Kapurthala"
"Damp 2 Decor","+ 91  9133686874","4.5","23","Near Easy Day","Kapurthala"
"Kapurthala Auto Dealer And Property Dealer","+ 91  9882976042","5.0","2","Kapurthala Ho","Kapurthala"
"Satguru Medicines","+ 91  9810339781","","0","","Kapurthala"
"Satguru Medicine Shop","+ 91  18255359504","","0","Kapurthala Ho","Kapurthala"
"Bite4diet","+ 91  8592039219","4.4","158","Mansoorwal","Kapurthala"
"Satguru Medicines","+ 91  9881671851","","0","","Kapurthala"
"Sharma Medicine Traders","+ 91  7566130244","","0","Rail Coach Factory","Kapurthala"
"Judge Medicine Chamber","+ 91  9917596124","4.7","18","","Kapurthala"
"Key 2 Success Coaching Centre","+ 91  982160118","5.0","24","Bholath","Kapurthala"
"Prince Marbles - Marble Dealers","+ 91  9346900422","5.0","2","Begowal","Kapurthala"
"Satguru Medicines","+ 91  981970335","","0","","Kapurthala"
"Dasmesh Medicine Centre","+ 91  9825523375","","0","Dhilwan","Kapurthala"
"Dashmesh Medicine Center","+ 91  9811113742","","0","Dhilwan","Kapurthala"
"Satguru Medicine Shop","+ 91  18222641163","","0","Kapurthala Ho","Kapurthala"
"Dasmesh Medicine Centre","+ 91  9895540598","","0","Dhilwan","Kapurthala"
"Mintu Auto Dealer","+ 91  9558628384","","0","","Kapurthala"
"Satguru Medicine Shop","+ 91  18276568085","","0","Kapurthala Ho","Kapurthala"
"Dashmesh Medicine Center","+ 91  9833695551","","0","Dhilwan","Kapurthala"
"Dashmesh Medicine Center","+ 91  9898020310","","0","Dhilwan","Kapurthala"
"Raman Property Dealers","+ 91  9864768193","","0","Kapurthala Ho","Kapurthala"
"Dashmesh Medicine Center","+ 91  9874042699","","0","Dhilwan","Kapurthala"
"Judge Medicine Chamber","+ 91  9921140626","4.7","18","","Kapurthala"
"Satguru Medicine Shop","+ 91  18235128184","","0","Kapurthala Ho","Kapurthala"
"Satguru Medicine Shop","+ 91  18264685001","","0","Kapurthala Ho","Kapurthala"
"Guru Kirpa Auto Dealer & Finance Co.","+ 91  9838312221","","0","Sheikhupur","Kapurthala"
"Judge Medicine Chamber","+ 91  995713218","4.7","18","","Kapurthala"
"Sharma Medicine Traders","+ 91  7584800257","","0","Rail Coach Factory","Kapurthala"
"Sharma Medicine Traders","+ 91  7558532856","","0","Rail Coach Factory","Kapurthala"
"Judge Medicine Chamber","+ 91  9932035651","4.7","18","","Kapurthala"
"Way 2 Abroad Ielts Institute","+ 91  9858780034","5.0","3","Near Talwandi Bridge ","Kapurthala"
"Dasmesh Medicine Centre","+ 91  9846169372","","0","Dhilwan","Kapurthala"
"Judge Medicine Chamber","+ 91  9937734809","4.7","18","","Kapurthala"
"Real Property Dealer","+ 91  9229172678","","0","Kapurthala HO","Kapurthala"
"Jai Ho 3 Company","+ 91  9935292426","","0","","Kapurthala"
"Pets 2 Home","+ 91  9888042474","3.8","18","Kapurthala Ho","Kapurthala"
"Dashmesh Medicine Center","+ 91  9881290798","","0","Dhilwan","Kapurthala"
"Dasmesh Medicine Centre","+ 91  9851118769","","0","Dhilwan","Kapurthala"
