"Name","Phone","Rating","Votes","Locality","City"
"Dasmesh Medicine Centre","+ 91  9811659260","","0","Dhilwan","Kapurthala"
"Dashmesh Medicine Center","+ 91  9844836000","","0","Dhilwan","Kapurthala"
"Bite4diet","+ 91  8531698996","4.4","158","Mansoorwal","Kapurthala"
"Dasmesh Medicine Centre","+ 91  9887337255","","0","Dhilwan","Kapurthala"
"Guru Kirpa Auto Dealer & Finance Co.","+ 91  9865018884","","0","Sheikhupur","Kapurthala"
"Judge Medicine Chamber","+ 91  9924731046","4.7","18","","Kapurthala"
"Dashmesh Medicine Center","+ 91  9843204457","","0","Dhilwan","Kapurthala"
"Judge Medicine Chamber","+ 91  9999563493","4.7","18","","Kapurthala"
"Satguru Medicine Shop","+ 91  18211296389","","0","Kapurthala Ho","Kapurthala"
"Raman Property Dealers","+ 91  9873282239","","0","Kapurthala Ho","Kapurthala"
"Sharma Medicine Traders","+ 91  7545862386","","0","Rail Coach Factory","Kapurthala"
"Dasmesh Medicine Centre","+ 91  9831606945","","0","Dhilwan","Kapurthala"
"Way 2 Abroad Ielts Institute","+ 91  9819624597","5.0","3","Near Talwandi Bridge ","Kapurthala"
"Dashmesh Medicine Center","+ 91  989837164","","0","Dhilwan","Kapurthala"
"Damp 2 Decor","+ 91  9158171177","4.5","23","Near Easy Day","Kapurthala"
"Dashmesh Medicine Center","+ 91  9827036014","","0","Dhilwan","Kapurthala"
"Dasmesh Medicine Centre","+ 91  9830288062","","0","Dhilwan","Kapurthala"
"Satguru Medicine Shop","+ 91  18222919338","","0","Kapurthala Ho","Kapurthala"
"Jai Ho 3","+ 91  7090285718","","0","Sultanpur Lodhi","Kapurthala"
"Satguru Medicine Shop","+ 91  1823582484","","0","Kapurthala Ho","Kapurthala"
"Satguru Medicine Shop","+ 91  18250631813","","0","Kapurthala Ho","Kapurthala"
"Real Property Dealer","+ 91  9220296691","","0","Kapurthala HO","Kapurthala"
"Satguru Medicines","+ 91  9895982309","","0","","Kapurthala"
"Mintu Auto Dealer","+ 91  956908895","","0","","Kapurthala"
"Sharma Medicine Traders","+ 91  7536587165","","0","Rail Coach Factory","Kapurthala"
"Jai Ho 3 Company","+ 91  997354521","","0","","Kapurthala"
"Satguru Medicines","+ 91  9844875327","","0","","Kapurthala"
"Key 2 Success Coaching Centre","+ 91  9872907410","5.0","24","Bholath","Kapurthala"
"Sharma Medicine Traders","+ 91  7544569704","","0","Rail Coach Factory","Kapurthala"
"Satguru Medicines","+ 91  9839773475","","0","","Kapurthala"
"Judge Medicine Chamber","+ 91  9952389538","4.7","18","","Kapurthala"
"Satguru Medicine Shop","+ 91  18251379657","","0","Kapurthala Ho","Kapurthala"
"Pets 2 Home","+ 91  9860196830","3.8","18","Kapurthala Ho","Kapurthala"
"Dasmesh Medicine Centre","+ 91  9867799314","","0","Dhilwan","Kapurthala"
"Prince Marbles - Marble Dealers","+ 91  9392079996","5.0","2","Begowal","Kapurthala"
"Sharma Medicine Traders","+ 91  7574012040","","0","Rail Coach Factory","Kapurthala"
"Satguru Medicines","+ 91  9899808696","","0","","Kapurthala"
"Judge Medicine Chamber","+ 91  9955065933","4.7","18","","Kapurthala"
"Dashmesh Medicine Center","+ 91  9896935770","","0","Dhilwan","Kapurthala"
"Judge Medicine Chamber","+ 91  9933120140","4.7","18","","Kapurthala"
"Kapurthala Auto Dealer And Property Dealer","+ 91  984357517","5.0","2","Kapurthala Ho","Kapurthala"
