"Name","Phone","Rating","Votes","Locality","City"
"Punjab Medical Store","+ 91  9835719837","","0","Urmar","Hoshiarpur"
"Jagdambay Medical Store","","","0","Urmar Tanda","Hoshiarpur"
"Rk Medical Store","+ 91  9469229181","5.0","2","","Hoshiarpur"
"Saini Medical Store","+ 91  9896825355","5.0","2","Janauri","Hoshiarpur"
"Pawan Medical Hall","+ 91  981091697","","0","Tanda","Hoshiarpur"
"Garima Medical Hall","+ 91  9442641527","4.6","5","Kamahi Devi","Hoshiarpur"
"Punjab Medicos","+ 91  9498546245","3.8","7","Talwara Township","Hoshiarpur"
"Amit Sharma Pharmacist","+ 91  9476381981","","0","Talwara Township","Hoshiarpur"
"Jatinder Medical Store","+ 91  9827523052","4.1","11","","Hoshiarpur"
"Spn Medicos","+ 91  018885171512","5.0","1","Hoshiarpur Ho","Hoshiarpur"
"Verma Medical Store","+ 91  7984885981","","0","Mukerian","Hoshiarpur"
"Kullian Lubana Water Tank","+ 91  9831710765","5.0","6","","Hoshiarpur"
"Kohli Medicos","+ 91  7594048634","4.7","14","Mukerian","Hoshiarpur"
"Om Medicos","+ 91  9869789796","5.0","4","","Hoshiarpur"
"Johal Medispot","+ 91  9456938509","","0","Urmar Tanda","Hoshiarpur"
"Garima Medicos","+ 91  9447414022","","0","","Hoshiarpur"
"Sood Medicine Traders Pvt Ltd","+ 91  18858175052","","0","Khanpur","Hoshiarpur"
"Arora Medical","+ 91  018852407349","","0","Talwara Township","Hoshiarpur"
"Bharmota Medical Store","+ 91  9818003552","","0","Kurala Kalan","Hoshiarpur"
"Mahesh Med Age","+ 91  9496799622","","0","Mukerian","Hoshiarpur"
"Raj Medical Store","+ 91  9887981280","3.5","8","Bulhowal","Hoshiarpur"
"Gurjit Medicos","+ 91  9862139863","5.0","2","Dasuya","Hoshiarpur"
"Sahota Medical Store","+ 91  9435691864","","0","Gardhiwala","Hoshiarpur"
"Rakesh Medical Agencies","+ 91  945790577","5.0","4","Mukerian","Hoshiarpur"
"Bharaj Medical Store","+ 91  9490397963","4.0","1","","Hoshiarpur"
