"Name","Phone","Rating","Votes","Locality","City"
"Thakur Medical Agencies","+ 91  9481416833","5.0","6","Mukerian","Hoshiarpur"
"Malik C L Medicos Chemist","","3.8","5","Hoshiarpur Ho","Hoshiarpur"
"Bedi Medical Agencies","+ 91  018869252204","","0","Kamalpur","Hoshiarpur"
"Satnam Medical Store","+ 91  9935731068","5.0","2","Hariana","Hoshiarpur"
"Jagdambay Medical Store","","","0","Urmar Tanda","Hoshiarpur"
"Sahota Medical Store","+ 91  9486090010","","0","Gardhiwala","Hoshiarpur"
"Pawan Medicos","+ 91  9420637779","","0","Mukerian","Hoshiarpur"
"H S Medical store","+ 91  867729536","5.0","1","Kandhala Jattan","Hoshiarpur"
"Kanwar Medical Store","+ 91  9451958105","4.7","7","Mukerian","Hoshiarpur"
"Preet Medical Store","+ 91  8021007909","","0","Dasuya","Hoshiarpur"
"Thaman Medicare","+ 91  9423895489","","0","Near Bust Stand","Hoshiarpur"
"Manav Medical Store","+ 91  9447836456","5.0","7","Jajja","Hoshiarpur"
"Bharmota Medical Store","+ 91  9896128218","","0","Kurala Kalan","Hoshiarpur"
"Bhagwan S Partap S Chemists","","","0","Hoshiarpur Ho","Hoshiarpur"
"Sanghera Medical Store","+ 91  888510082","5.0","4","Terkiana","Hoshiarpur"
"Johal Medispot","+ 91  9496181124","","0","Urmar Tanda","Hoshiarpur"
"Anjali Thakur","+ 91  9866511288","","0","Bhangala","Hoshiarpur"
"Pawan Medical Hall","+ 91  9828650765","","0","Tanda","Hoshiarpur"
"Singh Medicare","+ 91  18888009861","4.7","2","Mukerian","Hoshiarpur"
"Bharaj Medical Store","+ 91  9429366729","4.0","1","","Hoshiarpur"
"Jassal Medical Store","+ 91  9452137268","","0","Mukerian","Hoshiarpur"
"Apollo Pharmacy","+ 91  9130371903","4.8","3","Model Town Hoshiarpur","Hoshiarpur"
"Batra Medicos","+ 91  18839751179","5.0","6","Mukerian","Hoshiarpur"
"Mahesh Med Age","+ 91  9424341110","","0","Mukerian","Hoshiarpur"
"Ravinder Ayurvedic Pharmacy","+ 91  9421534351","","0","Gardhiwala","Hoshiarpur"
"Om Medicos","+ 91  9879915894","5.0","4","","Hoshiarpur"
"Imperial Medicoz","+ 91  1887583831","","0","Tanda","Hoshiarpur"
"Pal Medical Store","","5.0","1","Mukerian","Hoshiarpur"
"Navkar Medicos","+ 91  7010987319","5.0","8","Mukerian","Hoshiarpur"
"Mehars Medical Store","+ 91  9420971941","4.0","2","Mukerian","Hoshiarpur"
"Shruti","+ 91  9856923645","","0","Mukerian","Hoshiarpur"
"Amar Chand Jain And Son","+ 91  9845814977","5.0","5","Darapur","Hoshiarpur"
"Parwesh Medical Store","+ 91  7550187171","","0","","Hoshiarpur"
"Shiv Medical Store","+ 91  947043507","4.0","1","Mukerian","Hoshiarpur"
"Sharma Medical Store","+ 91  18889502207","4.2","12","Nangal Bihalan","Hoshiarpur"
"Kohli Medicos","+ 91  7544244537","4.7","14","Mukerian","Hoshiarpur"
"Jaryal Medicos","+ 91  9422094373","","0","","Hoshiarpur"
"Verma Medicos","+ 91  9454807347","5.0","2","Tanda","Hoshiarpur"
"Royal Medical Hall","+ 91  9887873071","4.7","14","Urmar Tanda","Hoshiarpur"
"A One Medicos","+ 91  8631610660","5.0","3","Jhingar Kalan","Hoshiarpur"
"Punjab Medicos","+ 91  9446180677","4.0","2","Hoshiarpur Ho","Hoshiarpur"
"Neeraj Medical Store","+ 91  18867812823","5.0","2","Hajipur","Hoshiarpur"
"VERMA Medical HALL","+ 91  9829330223","5.0","1","Mandial","Hoshiarpur"
"Spn Medicos","+ 91  01883352352","5.0","1","Hoshiarpur Ho","Hoshiarpur"
"Assi Medical Store","+ 91  8831492689","","0","Gardhiwala","Hoshiarpur"
"Rakesh Medical Agencies","+ 91  9449094011","5.0","4","Mukerian","Hoshiarpur"
"Malik C L Medicos Chemist","","3.8","5","Hoshiarpur Ho","Hoshiarpur"
"Arora Ayurvedic Store","+ 91  9813225827","","0","Mukerian","Hoshiarpur"
"Chodha Medicos","+ 91  9528200762","4.0","4","Sham Chaurasi","Hoshiarpur"
"Bhagwan S Partap S Chemists","","","0","Hoshiarpur Ho","Hoshiarpur"
"Punjab Medical Store","+ 91  9892544476","","0","Urmar","Hoshiarpur"
"Bhagwan S Partap S Chemists","","","0","Hoshiarpur Ho","Hoshiarpur"
"Public Medical Store","+ 91  9885656604","4.0","2","Gardhiwala","Hoshiarpur"
"Malik C L Medicos Chemist","","3.8","5","Hoshiarpur Ho","Hoshiarpur"
"Verma Medical Store","+ 91  7993634759","","0","Mukerian","Hoshiarpur"
"Pooja Medical Store","+ 91  18818537807","4.0","5","Hoshiarpur Ho","Hoshiarpur"
