"Name","Phone","Rating","Votes","Locality","City"
"Dev Medicine","+ 91  9473341250","5.0","5","Rajula","Amreli"
"Anganwadi  No 4 Punja Padar","+ 91  9743213281","","0","Liliya","Amreli"
"Savaj Medicines","+ 91  27952111189","5.0","4","Amreli HO","Amreli"
"Sarathi 4 Complex","+ 91  9175673423","5.0","6","","Amreli"
"Anganwadi  Kendra No 3 Punjapadar","+ 91  9839438078","","0","Liliya","Amreli"
"Anganwadi  2 Saldi","+ 91  9492586533","","0","Liliya","Amreli"
"Navdeep Medicines","+ 91  9948513888","","0","","Amreli"
"Anganwadi  2 Untvad","+ 91  9925680596","","0","Babra","Amreli"
"Hari Om Medicine","+ 91  9960723260","","0","","Amreli"
"Dev Medicine","+ 91  9478987215","5.0","5","Rajula","Amreli"
"Navdeep Medicines","+ 91  9961321689","","0","","Amreli"
"Savaj Medicines","+ 91  27938968020","5.0","4","Amreli HO","Amreli"
"3 Star","+ 91  7871613831","","0","Amreli HO","Amreli"
"Maruti Medicine","+ 91  27990905613","","0","","Amreli"
"Hari Om Medicine","+ 91  9921377946","","0","","Amreli"
"South Medicine","+ 91  9426170947","","0","Near Mg Road Indra Shopping Center","Amreli"
"Hari Om Medicine","+ 91  9958433200","","0","","Amreli"
"Hari Om Medicine","+ 91  9948735643","","0","","Amreli"
"3 Square","+ 91  9549797384","","0","Station Road Amreli","Amreli"
"Dev Medicine","+ 91  944157709","5.0","5","Rajula","Amreli"
"Log 2 Speed Communications Pvt Ltd","+ 91  994641555","4.8","2","Station Road","Amreli"
"Anganwadi  No 2 Gundran","+ 91  9681016474","","0","Liliya","Amreli"
"Shree Uma Medicine","+ 91  9623632415","","0","","Amreli"
"Mahavir Cycle Dealers","+ 91  27911869593","","0","Bagasra Amreli","Amreli"
"Maruti Medicine","+ 91  27931300691","","0","","Amreli"
"Hari Om Medicine","+ 91  9913225008","","0","","Amreli"
"Savaj Medicines","+ 91  27974587121","5.0","4","Amreli HO","Amreli"
"A B C Vadiya- 2","+ 91  9438151957","","0","","Amreli"
"Three Square","+ 91  9526562836","4.5","1","Station Road Amreli","Amreli"
"CAR Dealers...","+ 91  9945175256","","0","","Amreli"
"Shreenathji Medicine","+ 91  27976594801","","0","","Amreli"
"Shreeji Medicine","+ 91  27986703494","","0","","Amreli"
"Krishna Hardware And Machinery Pump Dealer","+ 91  9036015887","","0","Khambha","Amreli"
"Savaj Medicines","+ 91  27976304998","5.0","4","Amreli HO","Amreli"
"Maruti Medicine","+ 91  27912341272","","0","","Amreli"
"3 Star Fashion World","+ 91  9757811215","","0","Near Small Bus Stand","Amreli"
"Savaj Medicines","+ 91  27966625330","5.0","4","Amreli HO","Amreli"
"Surya Vandana Enverter & Luminus Enverter Dealer","+ 91  9758744924","1.0","2","Jafrabad","Amreli"
"Anganwadi  3 Untvad","+ 91  9965610514","","0","Babra","Amreli"
"Dream 2 Fly Overseas","+ 91  724770737","","0","Near Jilla Panchayat Road","Amreli"
"Dev Medicine","+ 91  9445973952","5.0","5","Rajula","Amreli"
"Anay Enterprise-Jindal Aluminium Dealer","+ 91  9591275967","","0","Mota-Ankadiya","Amreli"
"Krishna Property Dealer","+ 91  985587357","3.3","5","Lunsapur","Amreli"
"Anganwadi  3 Gundaran","+ 91  9676240534","","0","Liliya","Amreli"
"Navdeep Medicine","+ 91  9934689769","","0","","Amreli"
"Shree Uma Medicine","+ 91  9689193740","","0","","Amreli"
"Dev Medicine","+ 91  9464405625","5.0","5","Rajula","Amreli"
"Navdeep Medicine","+ 91  9924109388","","0","","Amreli"
"Anganwadi  Kendra No 2 Punjapadar","+ 91  982606349","","0","Liliya","Amreli"
"Anganwadi  4 Saldi","+ 91  9536024283","","0","Liliya","Amreli"
