"Name","Phone","Rating","Votes","Locality","City"
"Medicine Centre & Gen Stores","+ 91  8623583240","","0","Mumbra","Mumbai"
"Medicine Point Chemist","+ 91  22 10517364","4.3","15","Bandra West","Mumbai"
"Medicine Point Chemist","+ 91  22 62826661","4.3","15","Bandra West","Mumbai"
"Medicine Centre","+ 91  7557722304","","0","Mumbra","Mumbai"
"Emedicine Galaxy Pvt Ltd (close down)","+ 91  22 86317196","3.4","4","Mogra Pada-andheri East","Mumbai"
"Medicine Chemist & Drugists","+ 91  9925513961","","0","Vikhroli East","Mumbai"
"Medicine Point Chemist","+ 91  9811974824","","0","Bandra West","Mumbai"
"Emedicine Galaxy Pvt Ltd (close down)","+ 91  22 62831108","3.4","4","Mogra Pada-andheri East","Mumbai"
"Medicine Chemist & Drugists","+ 91  9968131319","","0","Vikhroli East","Mumbai"
"Medicine Point Chemist","+ 91  22 99158191","4.3","15","Bandra West","Mumbai"
"Medicine Centre","+ 91  7511587475","","0","Mumbra","Mumbai"
"Medicine Chemist & Drugists","+ 91  9956160485","","0","Vikhroli East","Mumbai"
"Medicine Online Shop","+ 91  8422671863","4.8","26","Andheri East","Mumbai"
"Medicine Centre & Gen Stores","+ 91  8692417371","","0","Mumbra","Mumbai"
"Medicine Point Chemist","+ 91  22 17954106","4.3","15","Bandra West","Mumbai"
"The Medicine Shoppe","+ 91  022 47494404","3.8","4","Andheri West","Mumbai"
"Medicine Centre & Gen Stores","+ 91  8686753210","","0","Mumbra","Mumbai"
"Medicine Centre","+ 91  7567950451","","0","Mumbra","Mumbai"
"Medicine Online Shop","+ 91  8433838533","4.8","26","Andheri East","Mumbai"
"Medicine Point Chemist","+ 91  9818471782","","0","Bandra West","Mumbai"
"Medicine Chemist & Drugists","+ 91  9934300756","","0","Vikhroli East","Mumbai"
"Medicine Point Chemist","+ 91  22 19918351","4.3","15","Bandra West","Mumbai"
"Medicine Box Chemist Pvt Ltd","+ 91  22 51607638","4.0","29","Andheri West","Mumbai"
"Emedicine Galaxy Pvt Ltd (close down)","+ 91  22 15400897","3.4","4","Mogra Pada-andheri East","Mumbai"
"The Medicine Shoppe","+ 91  022 43149173","3.8","4","Andheri West","Mumbai"
"The Medicine Shoppe","+ 91  022 65906454","3.8","4","Andheri West","Mumbai"
"Emedicine Galaxy Pvt Ltd (close down)","+ 91  22 75982975","3.4","4","Mogra Pada-andheri East","Mumbai"
"Medicine Box Chemist Pvt Ltd","+ 91  22 3092729","4.0","29","Andheri West","Mumbai"
"Medicine Point Chemist","+ 91  22 83508323","4.3","15","Bandra West","Mumbai"
"Medicine Point Chemist","+ 91  9889877881","","0","Bandra West","Mumbai"
"Medicine Online Shop","+ 91  8494534049","4.8","26","Andheri East","Mumbai"
"Medicine Point Chemist","+ 91  22 7172749","4.3","15","Bandra West","Mumbai"
"Medicine Centre","+ 91  7555719003","","0","Mumbra","Mumbai"
"Medicine Point Chemist","+ 91  982169118","","0","Bandra West","Mumbai"
"Medicine Centre","+ 91  7531584710","","0","Mumbra","Mumbai"
"Medicine Point Chemist","+ 91  22 73200558","4.3","15","Bandra West","Mumbai"
"The Medicine Shoppe","+ 91  022 77914793","3.8","4","Andheri West","Mumbai"
"Medicine Online Shop","+ 91  8446379063","4.8","26","Andheri East","Mumbai"
"Medicine Box Chemist Pvt Ltd","+ 91  22 30492385","4.0","29","Andheri West","Mumbai"
"Medicine Chemist & Drugists","+ 91  994622897","","0","Vikhroli East","Mumbai"
"Medicine Box Chemist Pvt Ltd","+ 91  22 43069214","4.0","29","Andheri West","Mumbai"
"Medicine Point Chemist","+ 91  9853423406","","0","Bandra West","Mumbai"
"Medicine Centre & Gen Stores","+ 91  861519155","","0","Mumbra","Mumbai"
"Medicine Centre & Gen Stores","+ 91  8638584275","","0","Mumbra","Mumbai"
"Emedicine Galaxy Pvt Ltd (close down)","+ 91  22 21592140","3.4","4","Mogra Pada-andheri East","Mumbai"
"Medicine Point Chemist","+ 91  22 70236872","4.3","15","Bandra West","Mumbai"
"Medicine Box Chemist Pvt Ltd","+ 91  22 84564218","4.0","29","Andheri West","Mumbai"
"Medicine Online Shop","+ 91  8417985616","4.8","26","Andheri East","Mumbai"
"The Medicine Shoppe","+ 91  022 89877118","3.8","4","Andheri West","Mumbai"
"Medicine Point Chemist","+ 91  22 77374469","4.3","15","Bandra West","Mumbai"
