"Name","Phone","Rating","Votes","Locality","City"
"Medicine Centre & Gen Stores","+ 91  8644915929","","0","Mumbra","Mumbai"
"The Medicine Shoppe","+ 91  022 79714989","3.8","4","Andheri West","Mumbai"
"Medicine Point Chemist","+ 91  22 69551497","4.3","15","Bandra West","Mumbai"
"Medicine Centre","+ 91  7572906292","","0","Mumbra","Mumbai"
"Medicine Online Shop","+ 91  8462965201","4.8","26","Andheri East","Mumbai"
"Medicine Point Chemist","+ 91  22 8751652","4.3","15","Bandra West","Mumbai"
"Medicine Box Chemist Pvt Ltd","+ 91  22 11385711","4.0","29","Andheri West","Mumbai"
"Medicine Point Chemist","+ 91  9829139672","","0","Bandra West","Mumbai"
"Medicine Centre & Gen Stores","+ 91  8623630047","","0","Mumbra","Mumbai"
"Emedicine Galaxy Pvt Ltd (close down)","+ 91  22 56849704","3.4","4","Mogra Pada-andheri East","Mumbai"
"Medicine Centre & Gen Stores","+ 91  862396556","","0","Mumbra","Mumbai"
"Medicine Centre & Gen Stores","+ 91  862721055","","0","Mumbra","Mumbai"
"Medicine Chemist & Drugists","+ 91  9931990513","","0","Vikhroli East","Mumbai"
"Medicine Box Chemist Pvt Ltd","+ 91  22 60748701","4.0","29","Andheri West","Mumbai"
"Medicine Centre","+ 91  7557449363","","0","Mumbra","Mumbai"
"Medicine Online Shop","+ 91  8493909603","4.8","26","Andheri East","Mumbai"
"Medicine Centre & Gen Stores","+ 91  8676875347","","0","Mumbra","Mumbai"
"The Medicine Shoppe","+ 91  022 17731781","3.8","4","Andheri West","Mumbai"
"The Medicine Shoppe","+ 91  022 33787496","3.8","4","Andheri West","Mumbai"
"Medicine Centre","+ 91  7532247088","","0","Mumbra","Mumbai"
"Emedicine Galaxy Pvt Ltd (close down)","+ 91  22 32733858","3.4","4","Mogra Pada-andheri East","Mumbai"
"Medicine Point Chemist","+ 91  9888638063","","0","Bandra West","Mumbai"
"The Medicine Shoppe","+ 91  022 38899653","3.8","4","Andheri West","Mumbai"
"Emedicine Galaxy Pvt Ltd (close down)","+ 91  22 51022173","3.4","4","Mogra Pada-andheri East","Mumbai"
"Emedicine Galaxy Pvt Ltd (close down)","+ 91  22 98231754","3.4","4","Mogra Pada-andheri East","Mumbai"
"Medicine Chemist & Drugists","+ 91  9925577435","","0","Vikhroli East","Mumbai"
"Medicine Point Chemist","+ 91  9840878532","","0","Bandra West","Mumbai"
"Medicine Point Chemist","+ 91  22 95497881","4.3","15","Bandra West","Mumbai"
"Medicine Online Shop","+ 91  8440016377","4.8","26","Andheri East","Mumbai"
"Medicine Box Chemist Pvt Ltd","+ 91  22 53158518","4.0","29","Andheri West","Mumbai"
"Medicine Chemist & Drugists","+ 91  9913756725","","0","Vikhroli East","Mumbai"
"Medicine Point Chemist","+ 91  9831416556","","0","Bandra West","Mumbai"
"Medicine Centre","+ 91  7536946038","","0","Mumbra","Mumbai"
"Medicine Point Chemist","+ 91  22 47608478","4.3","15","Bandra West","Mumbai"
"Medicine Box Chemist Pvt Ltd","+ 91  22 37772373","4.0","29","Andheri West","Mumbai"
"Medicine Point Chemist","+ 91  22 8712346","4.3","15","Bandra West","Mumbai"
"Medicine Point Chemist","+ 91  988613780","","0","Bandra West","Mumbai"
"Medicine Point Chemist","+ 91  22 40196860","4.3","15","Bandra West","Mumbai"
"Medicine Chemist & Drugists","+ 91  9966784382","","0","Vikhroli East","Mumbai"
"Medicine Point Chemist","+ 91  22 77125223","4.3","15","Bandra West","Mumbai"
"Medicine Online Shop","+ 91  843192074","4.8","26","Andheri East","Mumbai"
"Medicine Point Chemist","+ 91  22 82660327","4.3","15","Bandra West","Mumbai"
"Medicine Centre","+ 91  7587342878","","0","Mumbra","Mumbai"
"The Medicine Shoppe","+ 91  022 46951643","3.8","4","Andheri West","Mumbai"
"Emedicine Galaxy Pvt Ltd (close down)","+ 91  22 45193656","3.4","4","Mogra Pada-andheri East","Mumbai"
"Medicine Online Shop","+ 91  8456830805","4.8","26","Andheri East","Mumbai"
"Medicine Box Chemist Pvt Ltd","+ 91  22 88591960","4.0","29","Andheri West","Mumbai"
"Medicine Chemist & Drugists","+ 91  996457297","","0","Vikhroli East","Mumbai"
"Medicine Point Chemist","+ 91  22 40352745","4.3","15","Bandra West","Mumbai"
"Medicine Point Chemist","+ 91  22 78097335","4.3","15","Bandra West","Mumbai"
