"Name","Phone","Rating","Votes","Locality","City"
"Chemist & General store","+ 91  7561061245","4.5","1","Malad East","Mumbai"
"Chemist Pulse","+ 91  22 97210716","4.3","23","Goregaon West","Mumbai"
"Chemist Pulse","+ 91  22 36097568","4.3","23","Goregaon West","Mumbai"
"Chemist Pulse","+ 91  22 9848360","4.3","23","Goregaon West","Mumbai"
"Chemist Hub","+ 91  022 70721708","0.5","1","Malad West","Mumbai"
"Doctor Chemist","+ 91  22 90544840","4.0","3","Malad West","Mumbai"
"Chemist Hub","+ 91  022 48375813","0.5","1","Malad West","Mumbai"
"Chemist & General store","+ 91  7595761354","4.5","1","Malad East","Mumbai"
"Chemist Hub","+ 91  022 47887845","0.5","1","Malad West","Mumbai"
"The Chemist","+ 91  9740907577","4.2","44","Mulund East","Mumbai"
"Chemist Hub","+ 91  022 51011427","0.5","1","Malad West","Mumbai"
"Chemist Bhavan","+ 91  22 57397980","3.7","23","Nerul","Mumbai"
"Trade INDIA Pharma","+ 91  9724059356","2.5","3","Andheri East","Mumbai"
"Chemist & General store","+ 91  7578245379","4.5","1","Malad East","Mumbai"
"Chemist Hub","+ 91  022 98409870","0.5","1","Malad West","Mumbai"
"The Chemist","+ 91  9751185769","4.2","44","Mulund East","Mumbai"
"Chemist Bhavan","+ 91  22 13686857","3.9","396","Sanpada","Mumbai"
"Chemist & General store","+ 91  7512828610","4.5","1","Malad East","Mumbai"
"Chemists Hub","+ 91  022 80257508","3.8","129","Malad West","Mumbai"
"Chemist Bhavan","+ 91  22 27391316","3.7","23","Nerul","Mumbai"
"Chemists & Druggists Association","+ 91  22 96136660","4.2","21","Kalbadevi","Mumbai"
"Chemists & Druggists Association","+ 91  22 31223180","4.2","21","Kalbadevi","Mumbai"
"Chemists Hub","+ 91  022 91248016","3.8","129","Malad West","Mumbai"
"Chemist Bhavan","+ 91  22 25227931","3.9","396","Sanpada","Mumbai"
"Trade INDIA Pharma","+ 91  9786368847","2.5","3","Andheri East","Mumbai"
"Chemist Bhavan","+ 91  22 36386368","3.9","396","Sanpada","Mumbai"
"Doctor Chemist","+ 91  22 83837101","4.0","3","Malad West","Mumbai"
"Chemist Bhavan","+ 91  22 76040910","3.7","23","Nerul","Mumbai"
"Chemists Hub","+ 91  022 99724020","3.8","129","Malad West","Mumbai"
"Chemist Bhavan","+ 91  22 83979501","3.7","23","Nerul","Mumbai"
"Trade INDIA Pharma","+ 91  9726096178","2.5","3","Andheri East","Mumbai"
"The Chemist","+ 91  9756571653","4.2","44","Mulund East","Mumbai"
"Trade INDIA Pharma","+ 91  9724071704","2.5","3","Andheri East","Mumbai"
"Chemist Bhavan","+ 91  22 13419862","3.7","23","Nerul","Mumbai"
"Chemist Bhavan","+ 91  22 38864975","3.9","396","Sanpada","Mumbai"
"Chemist & General store","+ 91  7548189788","4.5","1","Malad East","Mumbai"
"Doctor Chemist","+ 91  22 1533557","4.0","3","Malad West","Mumbai"
"Chemists & Druggists Association","+ 91  22 87453894","4.2","21","Kalbadevi","Mumbai"
"Chemists & Druggists Association","+ 91  22 9438938","4.2","21","Kalbadevi","Mumbai"
"Chemist Pulse","+ 91  22 98353537","4.3","23","Goregaon West","Mumbai"
"Trade INDIA Pharma","+ 91  9790833933","2.5","3","Andheri East","Mumbai"
"Doctor Chemist","+ 91  22 30215247","4.0","3","Malad West","Mumbai"
"Chemists Hub","+ 91  022 8743545","3.8","129","Malad West","Mumbai"
"Chemist Pulse","+ 91  22 6142846","4.3","23","Goregaon West","Mumbai"
"The Chemist","+ 91  9752276318","4.2","44","Mulund East","Mumbai"
"The Chemist","+ 91  9749804686","4.2","44","Mulund East","Mumbai"
"Doctor Chemist","+ 91  22 24872101","4.0","3","Malad West","Mumbai"
"Chemists Hub","+ 91  022 87923200","3.8","129","Malad West","Mumbai"
"Chemists & Druggists Association","+ 91  22 2546811","4.2","21","Kalbadevi","Mumbai"
"Chemist Bhavan","+ 91  22 60064803","3.9","396","Sanpada","Mumbai"
