"Name","Phone","Rating","Votes","Locality","City"
"All Scrap Dealer","+ 91  9180491080","4.9","7","Palampur","Kangra"
"Ridhi Sidhi Marble Granite Dealer & All Building Material","+ 91  9141306412","5.0","2","Matour","Kangra"
"All Medicine Store","+ 91  946635842","5.0","2","Baijnath","Kangra"
"Dr Garg Clinic Medicine","+ 91  9849794339","4.8","9","Pathiar","Kangra"
"Shiv Shakti Acharya Medicine Shoppe","+ 91  946607261","5.0","1","Kangra Ho","Kangra"
"Sheela Clinic Of Electro Homeopathic Medicine","+ 91  9850132523","4.9","31","Baijnath","Kangra"
"Dhiman Electrical Works & Mobile Dealers","+ 91  9838638708","3.9","41","Jawali","Kangra"
"Dr Garg Clinic Medicine","+ 91  9880277804","4.8","9","Pathiar","Kangra"
"VK Medicines","+ 91  9851661681","5.0","1","Lanj","Kangra"
"Care 4 You Healthcare","+ 91  8966624389","5.0","2","Palampur","Kangra"
"All Medicine Store","+ 91  948834870","5.0","2","Baijnath","Kangra"
"Way 2 My Shop","+ 91  7027986860","4.0","2","Near Sbi","Kangra"
"Shiv Shakti Acharya Medicine Shoppe","+ 91  9493297016","5.0","1","Kangra Ho","Kangra"
"4 Seasons","+ 91  8281384806","5.0","4","Raja Ka Talab","Kangra"
"Shiv Shakti Acharya Medicine Shoppe","+ 91  9449882139","5.0","1","Kangra Ho","Kangra"
"Shiv Shakti Acharya Medicine Shoppe","+ 91  9446927263","5.0","1","Kangra Ho","Kangra"
"Goswami Medicines Store","+ 91  8686241506","5.0","1","Jawalamukhi","Kangra"
"Himalayan Heal Ayurvedic Medicine Manufacturer","+ 91  8433820980","5.0","2","Sansarpur Terrace","Kangra"
"Himalayan Heal Ayurvedic Medicine Manufacturer","+ 91  8464400736","5.0","2","Sansarpur Terrace","Kangra"
"Goswami Medicines Store","+ 91  8696374747","5.0","1","Jawalamukhi","Kangra"
"Dr Garg Clinic Medicine","+ 91  986143061","4.8","9","Pathiar","Kangra"
"Face 3 Unisex Hair Spa Salon","+ 91  8632682238","","0","Jawali","Kangra"
"G. S. R Medicines","+ 91  946708528","","0","Rait","Kangra"
"Sheela Clinic Of Electro Homeopathic Medicine","+ 91  9867031417","4.9","31","Baijnath","Kangra"
"VK Medicines","+ 91  9811485267","5.0","1","Lanj","Kangra"
"All Medicine Store","+ 91  9482498570","5.0","2","Baijnath","Kangra"
"Sheela Clinic Of Electro Homeopathic Medicine","+ 91  9865148886","4.9","31","Baijnath","Kangra"
"Jai Jawala Maa Property Dealer And Builders","+ 91  9161649276","4.5","4","Jawalamukhi","Kangra"
"Shining Shahpur Property Dealer","+ 91  9139417204","4.8","2","Shahpur","Kangra"
"Ramesh Property Dealer","+ 91  9853099802","5.0","1","Gaggal","Kangra"
"Himalayan Heal Ayurvedic Medicine Manufacturer","+ 91  8482576735","5.0","2","Sansarpur Terrace","Kangra"
"Old Car Dealer","+ 91  9843234524","3.7","5","Kangra Town","Kangra"
"Dr Garg Clinic Medicine","+ 91  9895115297","4.8","9","Pathiar","Kangra"
"Sheela Clinic Of Electro Homeopathic Medicine","+ 91  9894046583","4.9","31","Baijnath","Kangra"
"All Medicine Store","+ 91  9484121127","5.0","2","Baijnath","Kangra"
"Pammit Health Care Physiotherapy Laboratory Medicines","+ 91  8295225375","4.7","8","Panchrukhi","Kangra"
"Pammit Health Care Physiotherapy Laboratory Medicines","+ 91  8271222295","4.7","8","Panchrukhi","Kangra"
"Pammit Health Care Physiotherapy Laboratory Medicines","+ 91  8217178805","4.7","8","Panchrukhi","Kangra"
"City Automobiles 2","+ 91  18960901483","4.5","4","Kangra Ho","Kangra"
"Goswami Medicines Store","+ 91  8642690338","5.0","1","Jawalamukhi","Kangra"
"5 Fulli Gardens","+ 91  867668566","","0","Shahpur","Kangra"
"Shankar Board Processors Unit 2","+ 91  9247396697","4.0","2","","Kangra"
"Dr Garg Clinic Medicine","+ 91  9879790984","4.8","9","Pathiar","Kangra"
"Image 3 Luxry Salon","+ 91  9883018032","4.3","7","Jawali","Kangra"
"Himalayan Heal Ayurvedic Medicine Manufacturer","+ 91  8446967689","5.0","2","Sansarpur Terrace","Kangra"
"Sethi Tyres Dealer","+ 91  9663778481","4.1","47","Nurpur","Kangra"
"VK Medicines","+ 91  9823813095","5.0","1","Lanj","Kangra"
"Pammit Health Care Physiotherapy Laboratory Medicines","+ 91  8243373248","4.7","8","Panchrukhi","Kangra"
"Goswami Medicines Store","+ 91  86387290","5.0","1","Jawalamukhi","Kangra"
"Sheela Clinic Of Electro Homeopathic Medicine","+ 91  9878038520","4.9","31","Baijnath","Kangra"
