"Name","Phone","Rating","Votes","Locality","City"
"The Medicine House","+ 91  9432291431","","0","Link Road","Jammu"
"Prem Medicine Traders","+ 91  19185432089","4.0","10","Shalamar","Jammu"
"Best Price Medicine","+ 91  19144871131","2.3","5","Opposite Lane No 1","Jammu"
"Raman Medicine Shop","+ 91  1916960558","4.7","3","Link Road","Jammu"
"Prem Medicine Traders","+ 91  1913715554","4.0","10","Shalamar","Jammu"
"Bhushan Radio 2","+ 91  9684591003","4.3","107","Gandhinagar Jammu","Jammu"
"Ajay Medicine Traders","+ 91  019180399225","4.7","3","Jammu & Kashmir","Jammu"
"Ajay Medicine  Traders","+ 91  19164934770","4.7","3","City Chowk","Jammu"
"Indian Institute Of Integrative Medicine","+ 91  19198079866","","","Jammu Ho","Jammu"
"The Medicine House","+ 91  9441201759","","0","Link Road","Jammu"
"Indian Institute Of Integrative Medicine","+ 91  19149648119","","","Jammu Ho","Jammu"
"Amar Medicine Traders","+ 91  9490425894","5.0","2","Jammu Tawi","Jammu"
"The Medicine House","+ 91  9425849314","","0","Link Road","Jammu"
"Spicy Grillz 2","+ 91  9979541696","3.1","143","Channi Himmat","Jammu"
"Mastermind Classes  Centre 2","+ 91  19119922333","4.3","14","Jammu Ho","Jammu"
"Noon 2 Nite","+ 91  7214883736","3.5","119","Gandhinagar Jammu","Jammu"
"Prem Medicine Traders","+ 91  19171476638","4.0","10","Shalamar","Jammu"
"Raman Medicine Shop","+ 91  19174205114","4.7","3","Link Road","Jammu"
"Angad Singh Property Dealer","+ 91  911724517","3.8","6","Trikuta Nagar","Jammu"
"Propdeeds Property Dealer","+ 91  9012755669","5.0","10","Chani Himat","Jammu"
"Dare 2 Fit Gym","+ 91  9037299751","4.8","63","Rehari","Jammu"
"Cost 2 cost computers","+ 91  9070115202","4.2","51","Jammu HO","Jammu"
"Indian Institute Of Integrative Medicine","+ 91  19126563137","","","Jammu Ho","Jammu"
"Odell 4 Salon","+ 91  9618558355","3.3","20","Near By St Peters School","Jammu"
"Amar Medicine Traders","+ 91  9474175148","5.0","2","Jammu Tawi","Jammu"
"The Medicine House","+ 91  9424548675","","0","Link Road","Jammu"
"Royal Electronics","+ 91  914565043","4.2","16","Jammu Ho","Jammu"
"Best Price Medicine","+ 91  19110270017","2.3","5","Opposite Lane No 1","Jammu"
"Jammu Cars Authorised Dealer","+ 91  8879192907","","0","Opposite Golden Palms Mall,Near Ritz Manor Hotel","Jammu"
"Aar Kay Medicine Store","+ 91  19123837793","3.9","4","Gandhinagar Jammu","Jammu"
"4 Js Manpower Staffing Solution","+ 91  7858990737","","0","Link Road","Jammu"
"Rathore Gun House Arms Ammunition Dealer","+ 91  19152080247","5.0","1","Amphalla","Jammu"
"Indian Institute Of Integrative Medicine","+ 91  19167284994","","","Jammu Ho","Jammu"
"Prem Medicine Traders","+ 91  19177016369","4.0","10","Shalamar","Jammu"
"Studio Page 3 Salon","+ 91  905701786","4.6","10","Above Pizza Hut","Opposite Bahu Plaza"
"Aar Kay Medicine Store","+ 91  19125663518","3.9","4","Gandhinagar Jammu","Jammu"
"Aar Kay Medicine Store","+ 91  19167802453","3.9","4","Gandhinagar Jammu","Jammu"
"Gopal Medicine Shop","+ 91  19131882961","3.3","2","Bakshi Nagar","Jammu"
"Best Price Medicine","+ 91  19159439733","2.3","5","Opposite Lane No 1","Jammu"
"Amar Medicine Traders","+ 91  9489352455","5.0","2","Jammu Tawi","Jammu"
"Property Dealer..","+ 91  7032222743","","0","","Jammu"
"Prem Medicine Traders","+ 91  19192057521","4.0","10","Shalamar","Jammu"
"Ajay Medicine  Traders","+ 91  19178598309","4.7","3","City Chowk","Jammu"
"Jammu Property Dealers","+ 91  9637010770","4.9","34","Below SEBI Office","Jammu"
"Spicy Grillz 2 (Temporary Closed Down)","+ 91  9476044132","3.1","31","Near Triple S Farms,Gupta Complex 2","Vasant Vihar,"
"Ajay Medicine  Traders","+ 91  19130837352","4.7","3","City Chowk","Jammu"
"The Medicine House","+ 91  9461504263","","0","Link Road","Jammu"
"Chawlas 2 Jammu","+ 91  9741932832","3.6","132","Gandhinagar Jammu","Jammu"
"Ajay Medicine Traders","+ 91  019186040895","4.7","3","Jammu & Kashmir","Jammu"
"Odell 4 Salon","+ 91  9663132196","4.5","4","Gandhinagar Jammu","Jammu"
