"Name","Phone","Rating","Votes","Locality","City"
"5 Fulli Gardens","+ 91  8669664640","","0","Shahpur","Kangra"
"Image 3 Luxry Salon","+ 91  9859673529","4.3","7","Jawali","Kangra"
"VK Medicines","+ 91  9886378446","5.0","1","Lanj","Kangra"
"VK Medicines","+ 91  9889343249","5.0","1","Lanj","Kangra"
"All Medicine Store","+ 91  9457711239","5.0","2","Baijnath","Kangra"
"VK Medicines","+ 91  9899101068","5.0","1","Lanj","Kangra"
"Dr Garg Clinic Medicine","+ 91  9890921670","4.8","9","Pathiar","Kangra"
"All Medicine Store","+ 91  9464175064","5.0","2","Baijnath","Kangra"
"Himalayan Heal Ayurvedic Medicine Manufacturer","+ 91  8441738553","5.0","2","Sansarpur Terrace","Kangra"
"Sheela Clinic Of Electro Homeopathic Medicine","+ 91  983277489","4.9","31","Baijnath","Kangra"
"Goswami Medicines Store","+ 91  8653586695","5.0","1","Jawalamukhi","Kangra"
"Way 2 My Shop","+ 91  7023834393","4.0","2","Near Sbi","Kangra"
"City Automobiles 2","+ 91  1899410370","4.5","4","Kangra Ho","Kangra"
"Pammit Health Care Physiotherapy Laboratory Medicines","+ 91  8291228165","4.7","8","Panchrukhi","Kangra"
"Dr Garg Clinic Medicine","+ 91  988327004","4.8","9","Pathiar","Kangra"
"Goswami Medicines Store","+ 91  8625328716","5.0","1","Jawalamukhi","Kangra"
"Sheela Clinic Of Electro Homeopathic Medicine","+ 91  9883220551","4.9","31","Baijnath","Kangra"
"Old Car Dealer","+ 91  9867991744","3.7","5","Kangra Town","Kangra"
"All Scrap Dealer","+ 91  919334","4.9","7","Palampur","Kangra"
"Sheela Clinic Of Electro Homeopathic Medicine","+ 91  9884372878","4.9","31","Baijnath","Kangra"
"Shiv Shakti Acharya Medicine Shoppe","+ 91  9422482011","5.0","1","Kangra Ho","Kangra"
"Dr Garg Clinic Medicine","+ 91  9835897948","4.8","9","Pathiar","Kangra"
"All Medicine Store","+ 91  9475810613","5.0","2","Baijnath","Kangra"
"Shiv Shakti Acharya Medicine Shoppe","+ 91  9428728100","5.0","1","Kangra Ho","Kangra"
"Sethi Tyres Dealer","+ 91  969882414","4.1","47","Nurpur","Kangra"
"Ramesh Property Dealer","+ 91  9851091040","5.0","1","Gaggal","Kangra"
"Shiv Shakti Acharya Medicine Shoppe","+ 91  9415335450","5.0","1","Kangra Ho","Kangra"
"4 Seasons","+ 91  8254496373","5.0","4","Raja Ka Talab","Kangra"
"Himalayan Heal Ayurvedic Medicine Manufacturer","+ 91  8450017526","5.0","2","Sansarpur Terrace","Kangra"
"Himalayan Heal Ayurvedic Medicine Manufacturer","+ 91  8471985841","5.0","2","Sansarpur Terrace","Kangra"
"Dhiman Electrical Works & Mobile Dealers","+ 91  9853042741","3.9","41","Jawali","Kangra"
"Pammit Health Care Physiotherapy Laboratory Medicines","+ 91  827145282","4.7","8","Panchrukhi","Kangra"
"Jai Jawala Maa Property Dealer And Builders","+ 91  9192475473","4.5","4","Jawalamukhi","Kangra"
"Shining Shahpur Property Dealer","+ 91  9173167544","4.8","2","Shahpur","Kangra"
"Face 3 Unisex Hair Spa Salon","+ 91  8684892503","","0","Jawali","Kangra"
"G. S. R Medicines","+ 91  9450568625","","0","Rait","Kangra"
"Shankar Board Processors Unit 2","+ 91  9238013504","4.0","2","","Kangra"
"Goswami Medicines Store","+ 91  8637579437","5.0","1","Jawalamukhi","Kangra"
"Shiv Shakti Acharya Medicine Shoppe","+ 91  9450109834","5.0","1","Kangra Ho","Kangra"
"Pammit Health Care Physiotherapy Laboratory Medicines","+ 91  8214987819","4.7","8","Panchrukhi","Kangra"
"Sheela Clinic Of Electro Homeopathic Medicine","+ 91  9832732137","4.9","31","Baijnath","Kangra"
"Ridhi Sidhi Marble Granite Dealer & All Building Material","+ 91  9148764223","5.0","2","Matour","Kangra"
"Dr Garg Clinic Medicine","+ 91  9897794103","4.8","9","Pathiar","Kangra"
"Himalayan Heal Ayurvedic Medicine Manufacturer","+ 91  8497994805","5.0","2","Sansarpur Terrace","Kangra"
"Goswami Medicines Store","+ 91  8612687981","5.0","1","Jawalamukhi","Kangra"
"Care 4 You Healthcare","+ 91  8963066811","5.0","2","Palampur","Kangra"
"Pammit Health Care Physiotherapy Laboratory Medicines","+ 91  8259683629","4.7","8","Panchrukhi","Kangra"
"Dr Garg Clinic Medicine","+ 91  9890796746","4.8","9","Pathiar","Kangra"
"Sheela Clinic Of Electro Homeopathic Medicine","+ 91  9892404037","4.9","31","Baijnath","Kangra"
"All Medicine Store","+ 91  945281233","5.0","2","Baijnath","Kangra"
