"Name","Phone","Rating","Votes","Locality","City"
"Shiv Shakti Acharya Medicine Shoppe","+ 91  9441311840","5.0","1","Kangra Ho","Kangra"
"Way 2 My Shop","+ 91  7091421546","4.0","2","Near Sbi","Kangra"
"5 Fulli Gardens","+ 91  8655686682","","0","Shahpur","Kangra"
"Shiv Shakti Acharya Medicine Shoppe","+ 91  9414358974","5.0","1","Kangra Ho","Kangra"
"Dr Garg Clinic Medicine","+ 91  9862780076","4.8","9","Pathiar","Kangra"
"Shining Shahpur Property Dealer","+ 91  9166624672","4.8","2","Shahpur","Kangra"
"Pammit Health Care Physiotherapy Laboratory Medicines","+ 91  8235247232","4.7","8","Panchrukhi","Kangra"
"Dr Garg Clinic Medicine","+ 91  9837310996","4.8","9","Pathiar","Kangra"
"Old Car Dealer","+ 91  9870097758","3.7","5","Kangra Town","Kangra"
"All Medicine Store","+ 91  941383418","5.0","2","Baijnath","Kangra"
"Pammit Health Care Physiotherapy Laboratory Medicines","+ 91  8259669416","4.7","8","Panchrukhi","Kangra"
"VK Medicines","+ 91  9845644503","5.0","1","Lanj","Kangra"
"Goswami Medicines Store","+ 91  8699464400","5.0","1","Jawalamukhi","Kangra"
"VK Medicines","+ 91  9851009421","5.0","1","Lanj","Kangra"
"Ridhi Sidhi Marble Granite Dealer & All Building Material","+ 91  9133679168","5.0","2","Matour","Kangra"
"Dr Garg Clinic Medicine","+ 91  9825529914","4.8","9","Pathiar","Kangra"
"Ramesh Property Dealer","+ 91  9876905239","5.0","1","Gaggal","Kangra"
"Shankar Board Processors Unit 2","+ 91  9220334667","4.0","2","","Kangra"
"City Automobiles 2","+ 91  18982078447","4.5","4","Kangra Ho","Kangra"
"Sethi Tyres Dealer","+ 91  9648918493","4.1","47","Nurpur","Kangra"
"Himalayan Heal Ayurvedic Medicine Manufacturer","+ 91  8470392949","5.0","2","Sansarpur Terrace","Kangra"
"Goswami Medicines Store","+ 91  8630127694","5.0","1","Jawalamukhi","Kangra"
"Pammit Health Care Physiotherapy Laboratory Medicines","+ 91  8262169436","4.7","8","Panchrukhi","Kangra"
"Dr Garg Clinic Medicine","+ 91  9821864678","4.8","9","Pathiar","Kangra"
"4 Seasons","+ 91  8254925384","5.0","4","Raja Ka Talab","Kangra"
"Dr Garg Clinic Medicine","+ 91  9893409641","4.8","9","Pathiar","Kangra"
"All Medicine Store","+ 91  9418307315","5.0","2","Baijnath","Kangra"
"Goswami Medicines Store","+ 91  8650286253","5.0","1","Jawalamukhi","Kangra"
"Himalayan Heal Ayurvedic Medicine Manufacturer","+ 91  8413485576","5.0","2","Sansarpur Terrace","Kangra"
"G. S. R Medicines","+ 91  9482304255","","0","Rait","Kangra"
"Sheela Clinic Of Electro Homeopathic Medicine","+ 91  9825535722","4.9","31","Baijnath","Kangra"
"All Medicine Store","+ 91  9419906780","5.0","2","Baijnath","Kangra"
"Dhiman Electrical Works & Mobile Dealers","+ 91  9897088008","3.9","41","Jawali","Kangra"
"Sheela Clinic Of Electro Homeopathic Medicine","+ 91  9841585971","4.9","31","Baijnath","Kangra"
"All Medicine Store","+ 91  9499359131","5.0","2","Baijnath","Kangra"
"Jai Jawala Maa Property Dealer And Builders","+ 91  9136811453","4.5","4","Jawalamukhi","Kangra"
"Shiv Shakti Acharya Medicine Shoppe","+ 91  9471541421","5.0","1","Kangra Ho","Kangra"
"Sheela Clinic Of Electro Homeopathic Medicine","+ 91  9835826","4.9","31","Baijnath","Kangra"
"Sheela Clinic Of Electro Homeopathic Medicine","+ 91  9815832228","4.9","31","Baijnath","Kangra"
"Face 3 Unisex Hair Spa Salon","+ 91  8672692738","","0","Jawali","Kangra"
"VK Medicines","+ 91  9839746015","5.0","1","Lanj","Kangra"
"Image 3 Luxry Salon","+ 91  9879259444","4.3","7","Jawali","Kangra"
"Shiv Shakti Acharya Medicine Shoppe","+ 91  9454749607","5.0","1","Kangra Ho","Kangra"
"Care 4 You Healthcare","+ 91  8957539026","5.0","2","Palampur","Kangra"
"All Scrap Dealer","+ 91  9169578647","4.9","7","Palampur","Kangra"
"Himalayan Heal Ayurvedic Medicine Manufacturer","+ 91  8458544014","5.0","2","Sansarpur Terrace","Kangra"
"Goswami Medicines Store","+ 91  8698336213","5.0","1","Jawalamukhi","Kangra"
"Pammit Health Care Physiotherapy Laboratory Medicines","+ 91  8278764139","4.7","8","Panchrukhi","Kangra"
"Himalayan Heal Ayurvedic Medicine Manufacturer","+ 91  8480858872","5.0","2","Sansarpur Terrace","Kangra"
"Sheela Clinic Of Electro Homeopathic Medicine","+ 91  9838946166","4.9","31","Baijnath","Kangra"
