"Name","Phone","Rating","Votes","Locality","City"
"Shri Ganesh Auto Dealer","+ 91  7627638188","4.8","2","Pathankot","Pathankot"
"Constructor Dealer","+ 91  9883233274","","0","VIJAY NAGAR","Pathankot"
"Bains Dairy Farm","+ 91  9916130707","4.3","6","","Pathankot"
"Modern Dairy Machines","+ 91  9058190689","4.3","171","Ganapathy","Coimbatore"
"Chawla Dairy","+ 91  9825230254","","0","Pathankot","Pathankot"
"Baljinder Property Dealer","+ 91  9847414785","3.8","6","Dhangu Road","Pathankot"
"dairy","+ 91  8842339302","","0","","Pathankot"
"Chawla","+ 91  9856566848","4.5","4","Pathankot","Pathankot"
"Sonu Auto Dealer","+ 91  9817841010","3.9","6","Pathankot","Pathankot"
"Constructor Dealer","+ 91  9880134163","","0","VIJAY NAGAR","Pathankot"
"Shri Guru Teg Bhadur Dairy","+ 91  9873922522","3.5","4","Dhangu Road","Pathankot"
"Multitech Dealer","+ 91  9958092620","2.0","2","Pathankot","Pathankot"
"Shri Ganesh Auto Dealer","+ 91  7623066561","4.8","2","Pathankot","Pathankot"
"Kalu Kabaria Scrap And Waste Dealer","+ 91  9087726865","5.0","20","Behind Peer Baba Mandir","Pathankot"
"Multitech Dealer","+ 91  9964534454","2.0","2","Pathankot","Pathankot"
"Sonu Auto Dealer","+ 91  9823380437","3.9","6","Pathankot","Pathankot"
"Constructor Dealer","+ 91  9850024810","","0","VIJAY NAGAR","Pathankot"
"Nayyar Auto Dealer","+ 91  973867712","4.5","3","Mission Road","Pathankot"
"dairy","+ 91  8892353444","","0","","Pathankot"
"Kalu Kabaria Scrap And Waste Dealer","+ 91  9015723484","5.0","20","Behind Peer Baba Mandir","Pathankot"
"Baljinder Property Dealer","+ 91  9821218186","3.8","6","Dhangu Road","Pathankot"
"Agrotech Machinery","+ 91  9194782472","4.1","72","Siliguri HO","Siliguri"
"Shri Guru Teg Bhadur Dairy","+ 91  9889488634","3.5","4","Dhangu Road","Pathankot"
"dairy","+ 91  8849586053","","0","","Pathankot"
"Baljinder Property Dealer","+ 91  9893623064","3.8","6","Dhangu Road","Pathankot"
"Bains Dairy Farm","+ 91  9991205911","4.3","6","","Pathankot"
"Sonu Auto Dealer","+ 91  9817224842","3.9","6","Pathankot","Pathankot"
"Kalu Kabaria Scrap And Waste Dealer","+ 91  9063895612","5.0","20","Behind Peer Baba Mandir","Pathankot"
"Shri Ganesh Auto Dealer","+ 91  7692422720","4.8","2","Pathankot","Pathankot"
"Aggarwal Dairy Equipment Company","+ 91  9168900175","3.7","39","Ludhiana Bus Stand","Ludhiana"
"Verka Milk Bar","+ 91  998098601","","0","Pathankot","Pathankot"
"dairy","+ 91  8897720716","","0","","Pathankot"
"Bains Dairy Farm","+ 91  9971889421","4.3","6","","Pathankot"
"Kissan Agro Mart","+ 91  9017331455","4.3","275","Ranip","Ahmedabad"
"Bains Dairy Farm","+ 91  9930738574","4.3","6","","Pathankot"
"Baljinder Property Dealer","+ 91  9883647334","3.8","6","Dhangu Road","Pathankot"
"Kalu Kabaria Scrap And Waste Dealer","+ 91  9016839720","5.0","20","Behind Peer Baba Mandir","Pathankot"
"Sonu Auto Dealer","+ 91  985263236","3.9","6","Pathankot","Pathankot"
"Nayyar Auto Dealer","+ 91  9734390696","4.5","3","Mission Road","Pathankot"
"Shri Guru Teg Bhadur Dairy","+ 91  9878998527","3.5","4","Dhangu Road","Pathankot"
"Nayyar Auto Dealer","+ 91  9739231937","4.5","3","Mission Road","Pathankot"
"Constructor Dealer","+ 91  9841435484","","0","VIJAY NAGAR","Pathankot"
"Shri Ganesh Auto Dealer","+ 91  7663932331","4.8","2","Pathankot","Pathankot"
"Nayyar Auto Dealer","+ 91  9795497636","4.5","3","Mission Road","Pathankot"
"Multitech Dealer","+ 91  9973444524","2.0","2","Pathankot","Pathankot"
"Taurus Agritech Pvt Ltd","+ 91  73138755886","4.1","230","RNT Road","Indore"
"Shri Guru Teg Bhadur Dairy","+ 91  9873269553","3.5","4","Dhangu Road","Pathankot"
"Multitech Dealer","+ 91  9943331125","2.0","2","Pathankot","Pathankot"
