"Name","Phone","Rating","Votes","Locality","City"
"Bains Dairy Farm","+ 91  9952684314","4.3","6","","Pathankot"
"Ganshu Poultry Farm","+ 91  9459429426","3.0","4","","Pathankot"
"Shri Guru Teg Bhadur Dairy","+ 91  9820579626","3.5","4","Dhangu Road","Pathankot"
"Bains Dairy Farm","+ 91  9993167586","4.3","6","","Pathankot"
"Harparkash Irrigation And Farms Solutions","+ 91  9463762057","5.0","24","Bungal","Pathankot"
"dairy","+ 91  8893360576","","0","","Pathankot"
"Bains Dairy Farm","+ 91  9911563141","4.3","6","","Pathankot"
"Harchand Dairy and Store","","5.0","1","Municipal Colony","Pathankot"
"Dairy Products","+ 91  18622453155","","0","Pathankot","Pathankot"
"dairy","+ 91  8818591122","","0","","Pathankot"
"Harchand Dairy and Store","","5.0","1","Municipal Colony","Pathankot"
"Shri Guru Teg Bhadur Dairy","+ 91  9893117232","3.5","4","Dhangu Road","Pathankot"
"Shri Guru Teg Bhadur Dairy","+ 91  9829490171","3.5","4","Dhangu Road","Pathankot"
"Aman Dairy","+ 91  9835857244","","0","Pathankot","Pathankot"
"Chawla Dairy","+ 91  9840590832","","0","Pathankot","Pathankot"
"Bains Dairy Farm","+ 91  9978644684","4.3","6","","Pathankot"
"Baba Dairy","+ 91  8898692266","","0","Abrol Nagar","Pathankot"
"Sartaz Dairy","+ 91  9450401910","5.0","1","Pathankot","Pathankot"
"Talk 2 Me Communication","+ 91  9834621870","","0","","Pathankot"
"dairy","+ 91  8899453044","","0","","Pathankot"
"Harchand Dairy and Store","","5.0","1","Municipal Colony","Pathankot"
"Bains Dairy Farm","+ 91  9969438199","4.3","6","","Pathankot"
"4 Corner Success","","","0","Near Thangal Hospital","Pathankot"
"Aman Dairy","+ 91  9868800061","","0","Pathankot","Pathankot"
"Harchand Dairy and Store","","5.0","1","Municipal Colony","Pathankot"
"O.d. Farm House","+ 91  8085880726","3.8","57","Manwal","Pathankot"
"Aman Dairy","+ 91  9834669340","","0","Pathankot","Pathankot"
"Shri Guru Teg Bhadur Dairy","+ 91  9897428086","3.5","4","Dhangu Road","Pathankot"
"Baba Dairy","+ 91  8880245518","","0","Abrol Nagar","Pathankot"
"Chawla Dairy","+ 91  9854445965","","0","Pathankot","Pathankot"
"Dairy Toys","+ 91  9885262381","","0","Pathankot","Pathankot"
"3 Way Tour And Travel","+ 91  7987748772","","0","Mamoon","Pathankot"
"Him valley farms and kennels","+ 91  9589536918","2.3","22","Pathankot","Pathankot"
"Mahajan Farms","+ 91  9482982631","3.7","36","Pathankot","Pathankot"
"Sartaz Dairy","+ 91  9458847489","5.0","1","Pathankot","Pathankot"
"Baba Dairy","+ 91  8843464194","","0","Abrol Nagar","Pathankot"
"Fuelz 4 musclez","+ 91  7537052277","4.4","4","Mission Road","Pathankot"
"dairy","+ 91  8887156771","","0","","Pathankot"
"Talk 2 Me Communication","+ 91  9866895269","3.9","22","Near Kali Mata Mandir","Pathankot"
"Page 3 Unisex Salon & Spa","+ 91  9772210569","4.0","278","Pathankot","Pathankot"
"Harprakash Irrigation And Farm Solutions","+ 91  9451502171","5.0","24","Bungal","Pathankot"
"Baba Dairy","+ 91  8832335771","","0","Abrol Nagar","Pathankot"
"Chawla Dairy","+ 91  982790134","","0","Pathankot","Pathankot"
"Aman Dairy","+ 91  9829243826","","0","Pathankot","Pathankot"
"Sartaz Dairy","+ 91  9420616285","5.0","1","Pathankot","Pathankot"
"Milan Farms","+ 91  9847474099","4.0","132","Near Mandir Shiv Amarnath Barfani","Pathankot"
"Gurkartar Farms","+ 91  18691971785","4.0","98","Pathankot","Pathankot"
"dairy","+ 91  8822079623","","0","","Pathankot"
"Pvr-2","+ 91  018668366197","4.6","5","Dalhousie Road-Pathankot","Pathankot"
"Sartaz Dairy","+ 91  9455744642","5.0","1","Pathankot","Pathankot"
