"Name","Phone","Rating","Votes","Locality","City"
"Darshan dairy","+ 91  8533685627","","0","Pathankot","Pathankot"
"Shri Guru Teg Bhadur Dairy","+ 91  9881876026","3.5","4","Dhangu Road","Pathankot"
"Vishav Dairy","+ 91  8515484632","","0","Opp Peer Baba Chaunk","Pathankot"
"Vansh Sweet Shop","+ 91  9820611638","3.8","26","Pathankot","Pathankot"
"Amul Ice Cream Parlour","+ 91  6265634595","4.9","5","Pathankot","Pathankot"
"Baba Dairy","+ 91  8838704967","","0","Abrol Nagar","Pathankot"
"Thakur Dairy","+ 91  7834441409","","0","Pathankot","Pathankot"
"Chawla","+ 91  9865881355","4.5","4","Pathankot","Pathankot"
"Sharma Dairy","+ 91  9688424322","","0","Pathankot","Pathankot"
"Ram Dev Dairy","+ 91  7346104167","","0","Pathankot","Pathankot"
