"Name","Phone","Rating","Votes","Locality","City"
"Aman Dairy","+ 91  984494653","","0","Pathankot","Pathankot"
"Pehalwan Sweet Shop","+ 91  9812935662","3.8","87","Pathankot","Pathankot"
"The Raymond Shop","+ 91  18639792061","4.1","5","Near Post Office","Pathankot"
"Baba Dairy","+ 91  8851911276","","0","Abrol Nagar","Pathankot"
"Fuelz 4 musclez","+ 91  7530515237","4.4","4","Mission Road","Pathankot"
"Bains Dairy Farm","+ 91  9964546224","4.3","6","","Pathankot"
"Harchand Dairy and Store","","5.0","1","Municipal Colony","Pathankot"
"Chawla Dairy","+ 91  981065727","","0","Pathankot","Pathankot"
"Page 3 Unisex Salon & Spa","+ 91  9766710266","4.0","278","Pathankot","Pathankot"
"Shri Guru Teg Bhadur Dairy","+ 91  9887315458","3.5","4","Dhangu Road","Pathankot"
"Aman Dairy","+ 91  9811968103","","0","Pathankot","Pathankot"
"dairy","+ 91  8853432567","","0","","Pathankot"
"Dairy Toys","+ 91  9880344742","","0","Pathankot","Pathankot"
"Sartaz Dairy","+ 91  9414609850","5.0","1","Pathankot","Pathankot"
"Chawla Dairy","+ 91  9886762515","","0","Pathankot","Pathankot"
"Vechileads work shop","+ 91  9423828912","","0","Pathankot","Pathankot"
"Vishu Pet Shop","+ 91  9179600301","4.6","11","Pathankot","Pathankot"
"dairy","+ 91  8842760217","","0","","Pathankot"
"dairy","+ 91  8863017693","","0","","Pathankot"
"dairy","+ 91  8888164119","","0","","Pathankot"
"Sartaz Dairy","+ 91  947297017","5.0","1","Pathankot","Pathankot"
"Khalsa Dairy & sweet Shop","+ 91  9459199158","","0","Near Bus Stand","Pathankot"
"Sartaz Dairy","+ 91  941435916","5.0","1","Pathankot","Pathankot"
"Bachan Sweet House","+ 91  18699373558","3.4","107","Municipal Colony","Pathankot"
"Dairy Products","+ 91  18634839137","","0","Pathankot","Pathankot"
"Talk 2 Me Communication","+ 91  9823385357","3.9","22","Near Kali Mata Mandir","Pathankot"
"Harchand Dairy and Store","","5.0","1","Municipal Colony","Pathankot"
"Aman Dairy","+ 91  9827097333","","0","Pathankot","Pathankot"
"Dairy Products","+ 91  18617711857","","0","Pathankot","Pathankot"
"Shri Guru Teg Bhadur Dairy","+ 91  9848410241","3.5","4","Dhangu Road","Pathankot"
"Harchand Dairy and Store","","5.0","1","Municipal Colony","Pathankot"
"Baba Dairy","+ 91  8821120450","","0","Abrol Nagar","Pathankot"
"Pvr-2","+ 91  018639348861","4.6","5","Dalhousie Road-Pathankot","Pathankot"
"Bains Dairy Farm","+ 91  9970780884","4.3","6","","Pathankot"
"dairy","+ 91  8871121214","","0","","Pathankot"
"Sartaz Dairy","+ 91  9417102025","5.0","1","Pathankot","Pathankot"
"Bains Dairy Farm","+ 91  9943831641","4.3","6","","Pathankot"
"S S Pet Shop","+ 91  8050453631","3.9","51","","Pathankot"
"Bains Dairy Farm","+ 91  9915178803","4.3","6","","Pathankot"
"3 Way Tour And Travel","+ 91  7961696845","","0","Mamoon","Pathankot"
"Live Pet Shop & Dog Trainer","+ 91  9183690222","5.0","5","Pathankot","Pathankot"
"Shri Guru Teg Bhadur Dairy","+ 91  9869398727","3.5","4","Dhangu Road","Pathankot"
"Shri Guru Teg Bhadur Dairy","+ 91  9855132461","3.5","4","Dhangu Road","Pathankot"
"Baba Dairy","+ 91  8899206244","","0","Abrol Nagar","Pathankot"
"Aman Dairy","+ 91  984152139","","0","Pathankot","Pathankot"
"Baba Dairy","+ 91  8831530710","","0","Abrol Nagar","Pathankot"
"Chawla Dairy","+ 91  9834753859","","0","Pathankot","Pathankot"
"Talk 2 Me Communication","+ 91  9859488311","","0","","Pathankot"
"Harchand Dairy and Store","","5.0","1","Municipal Colony","Pathankot"
"4 Corner Success","","","0","Near Thangal Hospital","Pathankot"
