"Name","Phone","Rating","Votes","Locality","City"
"Dr. J S Bhinder","+ 91  9424242442","4.2","3","Mission Road","Pathankot"
"Dr. J S Bhinder","+ 91  9455402997","4.2","3","Mission Road","Pathankot"
"Dr. Pankaj Sharma Hospital","+ 91  18615617244","3.5","23","Pathankot","Pathankot"
"Dr. KD Eye Hospital","+ 91  9184322143","3.7","116","Pathankot","Pathankot"
"Dr. Pankaj Sharma Hospital","+ 91  18641399116","3.5","23","Pathankot","Pathankot"
"Dr. Lal Pathlabs - Sanjeevane Laboratory","+ 91  18611469735","5.0","8","Pathankot","Pathankot"
"Dr. Pankaj Sharma Hospital","+ 91  18661681515","3.5","23","Pathankot","Pathankot"
"Pvr-2","+ 91  01867093036","4.6","5","Dalhousie Road-Pathankot","Pathankot"
"Page 3 Unisex Salon & Spa","+ 91  9769006916","4.1","278","Pathankot","Pathankot"
"Dr. Krishan Kumar","+ 91  018650882875","4.9","5","Sarna","Pathankot"
"Dr. Krishan Kumar","+ 91  018617154122","4.9","5","Sarna","Pathankot"
"Dr. J S Bhinder","+ 91  9499208037","4.2","3","Mission Road","Pathankot"
"Dr. Lal Pathlabs - Sanjeevane Laboratory","+ 91  1866000431","5.0","8","Pathankot","Pathankot"
"Dr. Sunil Ghai","+ 91  18665045109","5.0","2","","Pathankot"
"Dr. Kalras Mri Scan & Diagnostic Centre","+ 91  018686012403","3.8","54","Mission Road","Pathankot"
"Dr. Arun Khera","+ 91  9320186857","2.5","1","Mission Road","Pathankot"
"Dr. Arun Khera","+ 91  9359930998","2.5","1","Mission Road","Pathankot"
"Dr. Krishan Kumar","+ 91  01867558148","4.9","5","Sarna","Pathankot"
"Dr. Krishan Kumar","+ 91  018652270474","4.9","5","Sarna","Pathankot"
"Dr. Lal PathLabs","+ 91  9958496020","4.5","16","Mamoon","Pathankot"
"Dr. Pankaj Sharma Hospital","+ 91  1861070800","3.5","23","Pathankot","Pathankot"
"Dr. Arun Khera","+ 91  9377556288","2.5","1","Mission Road","Pathankot"
"Dr. KD Eye Hospital","+ 91  9154227484","3.7","116","Pathankot","Pathankot"
"Dr. Sunil Ghai","+ 91  18687228560","5.0","2","","Pathankot"
"Dr. Lal Pathlabs - Sanjeevane Laboratory","+ 91  18680385367","5.0","8","Pathankot","Pathankot"
"Pitambra Jyotish Kendra","+ 91  9820541968","4.9","27","Near Truck Union Chowk","Pathankot"
"Dr. Arun Khera","+ 91  9399156549","2.5","1","Mission Road","Pathankot"
"Dr. Sunil Ghai","+ 91  1862343459","5.0","2","","Pathankot"
"Dr. Lal PathLabs","+ 91  997102822","4.5","16","Mamoon","Pathankot"
"Dr. Lal PathLabs","+ 91  9994170304","4.5","16","Mamoon","Pathankot"
"Dr. Lal Pathlabs - Sanjeevane Laboratory","+ 91  18699054342","5.0","8","Pathankot","Pathankot"
"Dr. Sunil Ghai","+ 91  18638088589","5.0","2","","Pathankot"
"Dr. Lal PathLabs","+ 91  9941865994","4.5","16","Mamoon","Pathankot"
"Dr. Lal PathLabs","+ 91  9955162944","4.5","16","Mamoon","Pathankot"
"Dr. Kalras Mri Scan & Diagnostic Centre","+ 91  01869928581","3.8","54","Mission Road","Pathankot"
"Dr. Kalras Mri Scan & Diagnostic Centre","+ 91  018617763936","3.8","54","Mission Road","Pathankot"
"Dr. KD Eye Hospital","+ 91  9195591768","3.7","116","Pathankot","Pathankot"
"Dr. Arun Khera","+ 91  9347414380","2.5","1","Mission Road","Pathankot"
"Dr. Lal Pathlabs - Sanjeevane Laboratory","+ 91  18658047302","5.0","8","Pathankot","Pathankot"
"Pitambra Jyotish Kendra","+ 91  9858782548","4.9","27","Near Truck Union Chowk","Pathankot"
"Dr. J S Bhinder","+ 91  949406216","4.2","3","Mission Road","Pathankot"
"Dr. J S Bhinder","+ 91  9493776608","4.2","3","Mission Road","Pathankot"
"Dr. Kalras Mri Scan & Diagnostic Centre","+ 91  018634319607","3.8","54","Mission Road","Pathankot"
"Pitambra Jyotish Kendra","+ 91  9893514308","4.9","27","Near Truck Union Chowk","Pathankot"
"Dr. Kalras Mri Scan & Diagnostic Centre","+ 91  018679374440","3.8","54","Mission Road","Pathankot"
"Dr. KD Eye Hospital","+ 91  9130560361","3.7","116","Pathankot","Pathankot"
"Dr. Krishan Kumar","+ 91  018647096725","4.9","5","Sarna","Pathankot"
"Dr. Sunil Ghai","+ 91  18615759222","5.0","2","","Pathankot"
"Dr. KD Eye Hospital","+ 91  918809375","3.7","116","Pathankot","Pathankot"
"Dr. Pankaj Sharma Hospital","+ 91  1863180293","3.5","23","Pathankot","Pathankot"
