"Name","Phone","Rating","Votes","Locality","City"
"Pharmahopers.com","+ 91  9187341164","4.6","113","Panchkula Sector 11","Chandigarh"
"Samridhi Agencies","+ 91  9836077225","5.0","6","Dhangu Road","Pathankot"
"Ravi Specialities Pharma Pvt Ltd","+ 91  043149925828","4.3","73","Ramalinganagar South","Trichy"
"Pcd Pharma Franchise By Sb Lifesciences","+ 91  9160057794","4.1","51","Panchkula Industrial Area Phase 2","Chandigarh"
"Dev Lifesciences Pvt Ltd","+ 91  937848753","4.2","193","Vasai West","Mumbai"
"Events Pharmaceuticals Pvt Ltd","+ 91  9126353192","3.4","8","Ambala City","Ambala"
"Ganraj Medico","+ 91  9173182653","4.6","17","Vazirabad","Nanded"
"Rajesh And Company","+ 91  7558818943","","0","Pathankot","Pathankot"
"Hindustan Traders","+ 91  18647939273","4.5","1","Dhangu Road","Pathankot"
"Arth Sales Agency","+ 91  9962216812","3.7","46","Vesu","Surat"
"Pharma Franchisee & Manufacturing by Saksham Pharmaceuticals India Ltd","+ 91  9193238636","4.3","38","Rajiv Nagar","Delhi"
"Bharat Medicine Co.","+ 91  9818665661","5.0","1","Pathankot","Pathankot"
"Alish Life Savings Impex Pvt Ltd","+ 91  911082234","3.4","13","Andheri West","Mumbai"
"Bharat Medical Agencies","+ 91  995639623","","0","Pathankot","Pathankot"
"Dhillon Medical Agencies","+ 91  9424766101","","0","Pathankot","Pathankot"
"Ravi Worldwide Medicines Pvt.Ltd","+ 91  916241875","5.0","1","Karol Bagh","Delhi"
"Pharma Pcd Franchise By Arrier Biotech","+ 91  17232224280","4.2","102","Mani Majra","Chandigarh"
"Medimind Drugs And Chemicals","+ 91  9216574841","5.0","1","Dhangu Road","Pathankot"
"Bio Search Organics","+ 91  9129229230","4.5","51","Ferozepur Road","Ludhiana"
"Flanca Life Sciences","+ 91  9197090969","4.3","24","Chandigarh","Chandigarh"
"Om Medicine Centre","+ 91  9417336622","4.3","3","Pathankot","Pathankot"
"Imphal - Ravi Specialities Pharma Pvt Ltd","+ 91  9188351705","5.0","1","","Imphal"
"Pharma Franchise By Janus Biotech India Pvt Ltd","+ 91  9147619543","4.4","27","Raipur Kalan","Chandigarh"
"Manoj Medical Store","+ 91  9822207197","","0","Pathankot","Pathankot"
"Veecube Healthcare Pvt. Ltd.","+ 91  9110603792","4.4","17","Panchkula Industrial Area Phase 1","Chandigarh"
"Kolkata Ravi Specialities Pharma PVT.LTD","+ 91  9145900791","5.0","1","","Kolkata"
"Sukh Darshan Pharmacy Pvt. Ltd.","+ 91  9124315005","4.3","14","Rai","Sonepat"
"Raina Medical","+ 91  9718955145","","0","Pathankot","Pathankot"
"Avalon Medicos","+ 91  18666129118","4.7","6","Pathankot","Pathankot"
