"Name","Phone","Rating","Votes","Locality","City"
"Home Saaz","+ 91  18617566964","4.2","42","Pathankot","Pathankot"
"Goyal Nursing Home","+ 91  018663197529","4.2","6","Dhangu Road","Pathankot"
"Oberoi Nursing Home","+ 91  7883221895","4.1","41","Dhangu Road","Pathankot"
"Chopra Glass And Home Decorator","+ 91  99363824","5.0","3","Opposite Civil Hosptal","Backside City Petrol Pump"
"Krishna Hospital & Maternity Home","+ 91  18624507847","3.6","4","Pathankot","Pathankot"
"Chawla Nursing Home & Maternity Hospital","+ 91  9173209838","4.5","1","Link Road","Pathankot"
"Krishna Hospital & Maternity Home","+ 91  18679787866","3.6","4","Pathankot","Pathankot"
"Chopra Glass And Home Decorator","+ 91  9918278853","5.0","3","Opposite Civil Hosptal","Backside City Petrol Pump"
"Home Decors - Shri Banke Bihari Trading Co.","+ 91  9882999426","4.4","12","Pathankot","Pathankot"
"Goyal Nursing Home","+ 91  018697677419","4.2","6","Dhangu Road","Pathankot"
"Kapoor Nursing Home","+ 91  18628378546","3.8","4","Pathankot","Pathankot"
"Home Decors - Shri Banke Bihari Trading Co.","+ 91  9841829975","4.4","12","Pathankot","Pathankot"
"Chopra Glass And Home Decorator","+ 91  9978398073","5.0","3","Opposite Civil Hosptal","Backside City Petrol Pump"
"Kapoor Nursing Home","+ 91  18635093514","3.8","4","Pathankot","Pathankot"
"DHFL Home Loan","1822336603","3.2","3","","Pathankot"
"Home Decors - Shri Banke Bihari Trading Co.","+ 91  9811653635","4.4","12","Pathankot","Pathankot"
"Chopra Glass And Home Decorator","+ 91  9955369881","5.0","3","Opposite Civil Hosptal","Backside City Petrol Pump"
"Krishna Hospital & Maternity Home","+ 91  18693199484","3.6","4","Pathankot","Pathankot"
"DHFL Home Loan","1843601012","3.2","3","","Pathankot"
"Chopra Glass And Home Decorator","+ 91  9983764975","5.0","3","Opposite Civil Hosptal","Backside City Petrol Pump"
"Home Saaz","+ 91  18684088452","4.2","42","Pathankot","Pathankot"
"Page 3 Unisex Salon & Spa","+ 91  9726489193","4.1","278","Pathankot","Pathankot"
"Oberoi Nursing Home","+ 91  7883147920","4.1","41","Dhangu Road","Pathankot"
"Home Decors - Shri Banke Bihari Trading Co.","+ 91  984781894","4.4","12","Pathankot","Pathankot"
"Oberoi Nursing Home","+ 91  7851983351","4.1","41","Dhangu Road","Pathankot"
"Oberoi Nursing Home","+ 91  7829327074","4.1","41","Dhangu Road","Pathankot"
"Home Saaz","+ 91  18624362773","4.2","42","Pathankot","Pathankot"
"Chawla Nursing Home & Maternity Hospital","+ 91  9116846444","4.5","1","Link Road","Pathankot"
"Goyal Nursing Home","+ 91  018652016319","4.2","6","Dhangu Road","Pathankot"
"Oberoi Nursing Home","+ 91  7833665260","4.1","41","Dhangu Road","Pathankot"
"Home Decors - Shri Banke Bihari Trading Co.","+ 91  983976180","4.4","12","Pathankot","Pathankot"
"Goyal Nursing Home","+ 91  018697962278","4.2","6","Dhangu Road","Pathankot"
"Home Saaz","+ 91  18694060243","4.2","42","Pathankot","Pathankot"
"Chawla Nursing Home & Maternity Hospital","+ 91  9199646284","4.5","1","Link Road","Pathankot"
"Krishna Hospital & Maternity Home","+ 91  18618601695","3.6","4","Pathankot","Pathankot"
"Krishna Hospital & Maternity Home","+ 91  18627476130","3.6","4","Pathankot","Pathankot"
"Delivery","","2.5","2","Pathankot","Pathankot"
"DHFL Home Loan","1849661068","3.2","3","","Pathankot"
"Radhika Medicine Centre","+ 91  9497070464","4.5","1","Opposite Punjab Gramin Bank","Pathankot"
"DHFL Home Loan","1883088798","3.2","3","","Pathankot"
"Goyal Nursing Home","+ 91  01869089326","4.2","6","Dhangu Road","Pathankot"
"Kapoor Nursing Home","+ 91  18650163120","3.8","4","Pathankot","Pathankot"
"Pvr-2","+ 91  018650130328","4.6","5","Dalhousie Road-Pathankot","Pathankot"
"DHFL Home Loan","1848223602","3.2","3","","Pathankot"
"Chawla Nursing Home & Maternity Hospital","+ 91  9138983528","4.5","1","Link Road","Pathankot"
"Kapoor Nursing Home","+ 91  18654940591","3.8","4","Pathankot","Pathankot"
"Radhika Medicine Centre","+ 91  9465913531","4.5","1","Opposite Punjab Gramin Bank","Pathankot"
"Chawla Nursing Home & Maternity Hospital","+ 91  919065282","4.5","1","Link Road","Pathankot"
"Home Saaz","+ 91  18663342128","4.2","42","Pathankot","Pathankot"
"Kapoor Nursing Home","+ 91  18649087616","3.8","4","Pathankot","Pathankot"
