"Name","Phone","Rating","Votes","Locality","City"
"Basra Dairy","+ 91  9883587873","3.4","10","Phagwara Sharki","Phagwara"
"Punjab Oil & Machinery Store","+ 91  18235884999","4.0","4","Phagwara HO","Phagwara"
"Shiv Dairy","+ 91  018241601493","4.9","10","Near Baba Gadhiya","New Khalwara Gate"
"Sanghera Agriculture And Dairy Farms","+ 91  9830312846","4.4","15","","Phagwara"
"Punjab Oil & Machinery","+ 91  1827531252","4.1","6","Near Dana Mandi","Phagwara"
"Basra Dairy","+ 91  9836068904","3.4","10","Phagwara Sharki","Phagwara"
"Universal Machinery Stores","+ 91  18299367551","3.3","2","Phagwara Ho","Phagwara"
"Dairy Vikaas Vibhag","+ 91  987981628","5.0","6","","Phagwara"
"Universal Machinery Stores","+ 91  18287113775","3.3","2","Phagwara Ho","Phagwara"
"Surjit Dairy And General Store","+ 91  9886881319","4.4","14","","Phagwara"
"Universal Machinery Stores","+ 91  18242308312","3.3","2","Phagwara Ho","Phagwara"
"Punjab Oil & Machinery","+ 91  18259126823","4.1","6","Near Dana Mandi","Phagwara"
"Royal Dairy","+ 91  996026029","5.0","3","Opposite Ambedkar Park","Phagwara"
"Mark Dairy","+ 91  9862015829","3.0","2","Satnampura","Phagwara"
"Sanghera Agriculture And Dairy Farms","+ 91  9818742607","4.4","15","","Phagwara"
"Ghai Property Dealer","+ 91  986689331","5.0","3","Guru Hargobind Nagar","Phagwara"
"Amit Property Dealer And Real Estate Broker","+ 91  9973274339","5.0","2","","Phagwara"
"2 Spoon Cafeteria","+ 91  9932270992","4.2","8","Phagwara HO","Phagwara"
"Dairy Vikaas Vibhag","+ 91  9892895482","5.0","6","","Phagwara"
"Dairy Vikaas Vibhag","+ 91  9824483011","5.0","6","","Phagwara"
"Surjit Dairy And General Store","+ 91  9841462151","4.4","14","","Phagwara"
"Punjab Oil & Machinery Store","+ 91  1826403940","4.0","4","Phagwara HO","Phagwara"
"Mark Dairy","+ 91  9821196821","3.0","2","Satnampura","Phagwara"
"Surjit Dairy And General Store","+ 91  9847478646","4.4","14","","Phagwara"
"Dairy Vikaas Vibhag","+ 91  9845797858","5.0","6","","Phagwara"
"Sanghera Agriculture And Dairy Farms","+ 91  9897220878","4.4","15","","Phagwara"
"Punjab Oil & Machinery","+ 91  18226724330","4.1","6","Near Dana Mandi","Phagwara"
"Punjab Oil & Machinery","+ 91  18245465185","4.1","6","Near Dana Mandi","Phagwara"
"Sanghera Agriculture And Dairy Farms","+ 91  981491400","4.4","15","","Phagwara"
"Basra Dairy","+ 91  9860353262","3.4","10","Phagwara Sharki","Phagwara"
"Mark Dairy","+ 91  9848290158","3.0","2","Satnampura","Phagwara"
"Royal Dairy","+ 91  9998455130","5.0","3","Opposite Ambedkar Park","Phagwara"
"Surjit Dairy And General Store","+ 91  989725341","4.4","14","","Phagwara"
"Sanghera Agriculture And Dairy Farms","+ 91  9814603503","4.4","15","","Phagwara"
"Surjit Dairy And General Store","+ 91  9888017687","4.4","14","","Phagwara"
"Shiv Dairy","+ 91  018235017547","4.9","10","Near Baba Gadhiya","New Khalwara Gate"
"Royal Dairy","+ 91  9955946757","5.0","3","Opposite Ambedkar Park","Phagwara"
"Shiv Dairy","+ 91  018222716933","4.9","10","Near Baba Gadhiya","New Khalwara Gate"
"Royal Dairy","+ 91  9981781599","5.0","3","Opposite Ambedkar Park","Phagwara"
"Shiv Dairy","+ 91  018221075443","4.9","10","Near Baba Gadhiya","New Khalwara Gate"
"Dairy Vikaas Vibhag","+ 91  9823038350","5.0","6","","Phagwara"
"Punjab Oil & Machinery","+ 91  18210336117","4.1","6","Near Dana Mandi","Phagwara"
"Chwalas 2","+ 91  9065925199","3.5","2","Guru Hargobind Nagar","Phagwara"
"Basra Dairy","+ 91  9866929838","3.4","10","Phagwara Sharki","Phagwara"
"Punjab Oil & Machinery Store","+ 91  18250115151","4.0","4","Phagwara HO","Phagwara"
"Punjab Oil & Machinery Store","+ 91  18229972155","4.0","4","Phagwara HO","Phagwara"
"Basra Dairy","+ 91  9845746878","3.4","10","Phagwara Sharki","Phagwara"
"Friends Property Dealer","+ 91  9420890472","4.7","14","Phagwara Sharki","Phagwara"
"Royal Dairy","+ 91  9933318671","5.0","3","Opposite Ambedkar Park","Phagwara"
"Shiv Dairy","+ 91  018251651658","4.9","10","Near Baba Gadhiya","New Khalwara Gate"
