"Name","Phone","Rating","Votes","Locality","City"
"Aman Dairy","+ 91  9942702628","","0","Phagwara HO","Phagwara"
"Happy Kabli Sweet Shop","+ 91  9947051057","4.0","56","","Phagwara"
"Basra Dairy","+ 91  9884793811","3.4","10","Phagwara Sharki","Phagwara"
"Dairy Vikaas Vibhag","+ 91  983093598","5.0","6","","Phagwara"
"Sanghera Agriculture And Dairy Farms","+ 91  9858449302","4.4","15","","Phagwara"
"Royal Dairy","+ 91  9992905867","5.0","3","Opposite Ambedkar Park","Phagwara"
"Mark Dairy","+ 91  9891429271","3.0","2","Satnampura","Phagwara"
"3 Star Pg","+ 91  7399039260","4.5","1","Meheru","Phagwara"
"Mark Dairy","+ 91  9894576275","3.0","2","Satnampura","Phagwara"
"Chumber Dairy Bhullarai","+ 91  7678344847","","0","Guru Hargobind Nagar","Phagwara"
"Chwalas 2","+ 91  9086044589","3.5","2","Guru Hargobind Nagar","Phagwara"
"Royal Dairy","+ 91  9943895392","5.0","3","Opposite Ambedkar Park","Phagwara"
"4 Seasons Shoes","+ 91  9894875171","","0","Near Strach Mill Shiv Mandir","Phagwara"
"Aman Dairy","+ 91  9938088190","","0","Phagwara HO","Phagwara"
"Surjit Dairy And General Store","+ 91  987625091","4.4","14","","Phagwara"
"5 Star Event Planners","+ 91  9087567649","5.0","1","Phagwara Ho","Phagwara"
"Shiv Dairy","+ 91  018290865883","4.9","10","Near Baba Gadhiya","New Khalwara Gate"
"Armaan Sweet Shop","+ 91  9480950287","3.8","74","Satnampura","Phagwara"
"Sanghera Agriculture And Dairy Farms","+ 91  9868535042","4.4","15","","Phagwara"
"4 Genious Mind","+ 91  18221030510","","0","Phagwara Ho","Phagwara"
"Surjit Dairy And General Store","+ 91  9877592400","4.4","14","","Phagwara"
"Happy Mobile Shop","+ 91  9847317308","3.7","6","Satnampura","Phagwara"
"Balvir TV Shop","+ 91  9836137235","4.0","4","VPO Mauli","Near Raja Saheb Mandir"
"Mohan Sweet Shop","+ 91  9823009406","4.2","323","","Phagwara"
"Shiv Dairy","+ 91  018266334154","4.9","10","Near Baba Gadhiya","New Khalwara Gate"
"Aman Dairy","+ 91  9947582098","","0","Phagwara HO","Phagwara"
"Surjit Dairy And General Store","+ 91  9890603519","4.4","14","","Phagwara"
"Royal Dairy","+ 91  9984668198","5.0","3","Opposite Ambedkar Park","Phagwara"
"MD TATTOO SHOP","+ 91  9440952262","4.6","47","Phagwara HO","Phagwara"
"3 Star General Store","+ 91  7378633267","4.5","1","Meheru","Phagwara"
"Surjit Dairy And General Store","+ 91  9889607649","4.4","14","","Phagwara"
"Royal Dairy","+ 91  996198903","5.0","3","Opposite Ambedkar Park","Phagwara"
"Shiv Dairy","+ 91  01825121924","4.9","10","Near Baba Gadhiya","New Khalwara Gate"
"Sanghera Agriculture And Dairy Farms","+ 91  981653679","4.4","15","","Phagwara"
"Ak Shop-Tandoori Junction","+ 91  9840329876","3.5","33","","Phagwara"
"Dairy Vikaas Vibhag","+ 91  9826721852","5.0","6","","Phagwara"
"Dairy Vikaas Vibhag","+ 91  984836358","5.0","6","","Phagwara"
"Shiv Dairy","+ 91  018233475988","4.9","10","Near Baba Gadhiya","New Khalwara Gate"
"Mark Dairy","+ 91  9866538176","3.0","2","Satnampura","Phagwara"
"Amit Shop","+ 91  9890329103","","0","Phagwara HO","Phagwara"
"Dairy Vikaas Vibhag","+ 91  9896470023","5.0","6","","Phagwara"
"Basra Dairy","+ 91  9886536267","3.4","10","Phagwara Sharki","Phagwara"
"Aman Dairy","+ 91  996891228","","0","Phagwara HO","Phagwara"
"Basra Dairy","+ 91  983797544","3.4","10","Phagwara Sharki","Phagwara"
"2 Spoon Cafeteria","+ 91  9996982872","4.2","8","Phagwara HO","Phagwara"
"Dairy Vikaas Vibhag","+ 91  983288592","5.0","6","","Phagwara"
"Sanghera Agriculture And Dairy Farms","+ 91  9850900416","4.4","15","","Phagwara"
"Mark Dairy","+ 91  989975247","3.0","2","Satnampura","Phagwara"
"Basra Dairy","+ 91  9816317560","3.4","10","Phagwara Sharki","Phagwara"
"Swarn Sweet Shop","+ 91  9816335498","3.9","50","Guru Hargobind Nagar","Phagwara"
