"Name","Phone","Rating","Votes","Locality","City"
"Sohal Medicines","+ 91  18299558097","","0","Phagwara Ho","Phagwara"
"Sasti Medicine","+ 91  9823926658","4.6","4","Banga Road","Phagwara"
"Sasti Medicine","+ 91  9869614922","4.6","4","Banga Road","Phagwara"
"Oberoi Medicine Centre","+ 91  8515195084","5.0","6","Near Dr. Raman Aggarwal Eye and Chest Hospital","Phagwara"
"Bansal Medicines","+ 91  9854190587","3.0","2","Guru Hargobind Nagar","Phagwara"
"Bansal Medicines","+ 91  9868795222","3.0","2","Guru Hargobind Nagar","Phagwara"
"Soni Medicine","+ 91  18285879744","","0","Phagwara Ho","Phagwara"
"Punjab Medicine Traders","+ 91  18240818463","","0","Phagwara Ho","Phagwara"
"Punjab Medicine Traders","+ 91  18288065392","","0","Phagwara Ho","Phagwara"
"Dhingra Medicine Centre","+ 91  18289121128","","0","Banga Road","Phagwara"
"Sohal Medicines","+ 91  18229040891","","0","Phagwara Ho","Phagwara"
"Ravindera Medicine","+ 91  7555816473","5.0","2","Daddal Mohalla","Phagwara"
"Sanchit Medicines Trader","+ 91  9875926194","","0","Phagwara Ho","Phagwara"
"Oberoi Medicine Centre","+ 91  8563744547","5.0","6","Near Dr. Raman Aggarwal Eye and Chest Hospital","Phagwara"
"Soni Medicine","+ 91  18263891201","","0","Phagwara Ho","Phagwara"
"Safri Medicine Traders","+ 91  018216815717","","0","Phagwara HO","Phagwara"
"Arth Sales Agency","+ 91  9970853261","3.7","46","Vesu","Surat"
"Ravi Specialities Pharma Pvt Ltd","+ 91  043190860496","4.3","73","Ramalinganagar South","Trichy"
"Kolkata Ravi Specialities Pharma PVT.LTD","+ 91  9194848083","5.0","1","","Kolkata"
"Ravindera Medicine","+ 91  7565752414","5.0","2","Daddal Mohalla","Phagwara"
"Dhingra Medicine Centre","+ 91  18261478286","","0","Banga Road","Phagwara"
"Imphal - Ravi Specialities Pharma Pvt Ltd","+ 91  9130342188","5.0","1","","Imphal"
"Sanchit Medicines Trader","+ 91  9829251894","","0","Phagwara Ho","Phagwara"
"Ravi Worldwide Medicines Pvt.Ltd","+ 91  9156257897","5.0","1","Karol Bagh","Delhi"
"Safri Medicine Traders","+ 91  018268467829","","0","Phagwara HO","Phagwara"
