"Name","Phone","Rating","Votes","Locality","City"
"Dhingra Medicine Centre","+ 91  18265126045","","0","Banga Road","Phagwara"
"New Shiv Laundry Dusra & Dry Cleaners 2","+ 91  7920258024","","0","Sharki","Phagwara"
"Sasti Medicine","+ 91  9849070411","4.6","4","Banga Road","Phagwara"
"Dhingra Medicine Centre","+ 91  18286676221","","0","Banga Road","Phagwara"
"Oberoi Medicine Centre","+ 91  8581750632","5.0","6","Near Dr. Raman Aggarwal Eye and Chest Hospital","Phagwara"
"Safri Medicine Traders","+ 91  018242975983","","0","Phagwara HO","Phagwara"
"Oberoi Medicine Centre","+ 91  8577463600","5.0","6","Near Dr. Raman Aggarwal Eye and Chest Hospital","Phagwara"
"Get 2 Gether","+ 91  7712917248","","0","Guru Hargobind Nagar","Phagwara"
"Punjab Medicine Traders","+ 91  18272802650","","0","Phagwara Ho","Phagwara"
"Ravindera Medicine","+ 91  7511593488","5.0","2","Daddal Mohalla","Phagwara"
"Oberoi Medicine Centre","+ 91  8592608047","5.0","6","Near Dr. Raman Aggarwal Eye and Chest Hospital","Phagwara"
"4 Genious Mind","+ 91  18218923388","","0","Phagwara Ho","Phagwara"
"Sohal Medicines","+ 91  18254035197","","0","Phagwara Ho","Phagwara"
"Safri Medicine Traders","+ 91  018269850647","","0","Phagwara HO","Phagwara"
"Punjab Medicine Traders","+ 91  182504924","","0","Phagwara Ho","Phagwara"
"Chwalas 2","+ 91  9043566131","3.5","2","Guru Hargobind Nagar","Phagwara"
"Bansal Medicines","+ 91  9864451702","3.0","2","Guru Hargobind Nagar","Phagwara"
"Safri Medicine Traders","+ 91  018269318266","","0","Phagwara HO","Phagwara"
"Sasti Medicine","+ 91  9898883044","4.6","4","Banga Road","Phagwara"
"Sohal Medicines","+ 91  18286327254","","0","Phagwara Ho","Phagwara"
"Oberoi Medicine Centre","+ 91  8549391761","5.0","6","Near Dr. Raman Aggarwal Eye and Chest Hospital","Phagwara"
"Ravindera Medicine","+ 91  757543563","5.0","2","Daddal Mohalla","Phagwara"
"Punjab Medicine Traders","+ 91  18231299392","","0","Phagwara Ho","Phagwara"
"3 Star Pg","+ 91  7352377542","4.5","1","Meheru","Phagwara"
"Dhingra Medicine Centre","+ 91  18225993778","","0","Banga Road","Phagwara"
"3 Star General Store","+ 91  7330867185","4.5","1","Meheru","Phagwara"
"Ravindera Medicine","+ 91  7510739140","5.0","2","Daddal Mohalla","Phagwara"
"5 Star Event Planners","+ 91  9028937173","5.0","1","Phagwara Ho","Phagwara"
"Oberoi Medicine Centre","+ 91  855864036","5.0","6","Near Dr. Raman Aggarwal Eye and Chest Hospital","Phagwara"
"Sanchit Medicines Trader","+ 91  9813335203","","0","Phagwara Ho","Phagwara"
"Bansal Medicines","+ 91  9859822326","3.0","2","Guru Hargobind Nagar","Phagwara"
"Ravindera Medicine","+ 91  7519027301","5.0","2","Daddal Mohalla","Phagwara"
"Bansal Medicines","+ 91  984470110","3.0","2","Guru Hargobind Nagar","Phagwara"
"Sanchit Medicines Trader","+ 91  9852708324","","0","Phagwara Ho","Phagwara"
"4 Seasons Shoes","+ 91  9876059097","","0","Near Strach Mill Shiv Mandir","Phagwara"
"Bansal Medicines","+ 91  9836570171","3.0","2","Guru Hargobind Nagar","Phagwara"
"Bansal Medicines","+ 91  9814620879","3.0","2","Guru Hargobind Nagar","Phagwara"
"Sasti Medicine","+ 91  9871164245","4.6","4","Banga Road","Phagwara"
"Rs Fashion Manufacturer","","","0","","Phagwara"
"Sasti Medicine","+ 91  9896120284","4.6","4","Banga Road","Phagwara"
"Sanchit Medicines Trader","+ 91  9839664965","","0","Phagwara Ho","Phagwara"
"Sanchit Medicines Trader","+ 91  9835548366","","0","Phagwara Ho","Phagwara"
"Sasti Medicine","+ 91  9832348727","4.6","4","Banga Road","Phagwara"
"2 Spoon Cafeteria","+ 91  996339702","4.2","8","Phagwara HO","Phagwara"
"Punjab Medicine Traders","+ 91  18247941905","","0","Phagwara Ho","Phagwara"
"Punjab Medicine Traders","+ 91  18280003404","","0","Phagwara Ho","Phagwara"
"Dhingra Medicine Centre","+ 91  18279177478","","0","Banga Road","Phagwara"
"Dhingra Medicine Centre","+ 91  18218362766","","0","Banga Road","Phagwara"
"Ravindera Medicine","+ 91  7583271800","5.0","2","Daddal Mohalla","Phagwara"
"Safri Medicine Traders","+ 91  018278040239","","0","Phagwara HO","Phagwara"
