"Name","Phone","Rating","Votes","Locality","City"
"Dhingra Medicine Centre","+ 91  18267222677","","0","Banga Road","Phagwara"
"Safri Medicine Traders","+ 91  018236837860","","0","Phagwara HO","Phagwara"
"Alpic Biotech LTD","+ 91  9466251787","3.7","12","Makarba","Ahmedabad"
"Pcd Pharma Franchise By Sb Lifesciences","+ 91  9158602760","4.1","51","Panchkula Industrial Area Phase 2","Chandigarh"
"Safri Medicine Traders","+ 91  018240837943","","0","Phagwara HO","Phagwara"
"Dhingra Medicine Centre","+ 91  18224137452","","0","Banga Road","Phagwara"
"Punjab Medicine Traders","+ 91  18214688021","","0","Phagwara Ho","Phagwara"
"Servocare Lifesciences Pvt. Ltd.","+ 91  9176163644","4.0","63","Panchkula Industrial Area Phase 1","Chandigarh"
"Matharu Herbs","+ 91  9852479543","5.0","7","Hadiabad","Phagwara"
"Sasti Medicine","+ 91  9855717079","4.6","4","Banga Road","Phagwara"
"Punjab Medicine Traders","+ 91  18213206961","","0","Phagwara Ho","Phagwara"
"Ravindera Medicine","+ 91  7541036351","5.0","2","Daddal Mohalla","Phagwara"
"Tiles And Tiles Wholesalers","+ 91  7644529397","5.0","2","Phagwara HO","Phagwara"
"Oberoi Medicine Centre","+ 91  8540195018","5.0","6","Near Dr. Raman Aggarwal Eye and Chest Hospital","Phagwara"
"Oberoi Medicine Centre","+ 91  8594594979","5.0","6","Near Dr. Raman Aggarwal Eye and Chest Hospital","Phagwara"
"Sohal Medicines","+ 91  18282721077","","0","Phagwara Ho","Phagwara"
"Bio Search Organics","+ 91  9128734599","4.5","51","Ferozepur Road","Ludhiana"
"Pharma Pcd Franchise By Arrier Biotech","+ 91  17224757228","4.2","102","Mani Majra","Chandigarh"
"Pharmahopers.com","+ 91  9144622107","4.6","113","Panchkula Sector 11","Chandigarh"
"Sasti Medicine","+ 91  9819899362","4.6","4","Banga Road","Phagwara"
"Sanchit Medicines Trader","+ 91  9851585583","","0","Phagwara Ho","Phagwara"
"Sanchit Medicines Trader","+ 91  9827975455","","0","Phagwara Ho","Phagwara"
"Ravindera Medicine","+ 91  758885547","5.0","2","Daddal Mohalla","Phagwara"
"Bansal Medicines","+ 91  9857250665","3.0","2","Guru Hargobind Nagar","Phagwara"
"Bansal Medicines","+ 91  9812166425","3.0","2","Guru Hargobind Nagar","Phagwara"
"Ravi Specialities Pharma Pvt Ltd","+ 91  043152085038","4.3","73","Ramalinganagar South","Trichy"
"Sohal Medicines","+ 91  18248651099","","0","Phagwara Ho","Phagwara"
"Saini Medicos","+ 91  18224015853","5.0","2","Guru Hargobind Nagar","Phagwara"
"Tiles And Tiles Wholesalers","+ 91  7648248552","5.0","2","Phagwara HO","Phagwara"
"Pharma Franchisee & Manufacturing by Saksham Pharmaceuticals India Ltd","+ 91  9193358384","4.3","38","Rajiv Nagar","Delhi"
