"Name","Phone","Rating","Votes","Locality","City"
"Alish Life Savings Impex Pvt Ltd","+ 91  9134011339","3.4","13","Andheri West","Mumbai"
"Ravi Worldwide Medicines Pvt.Ltd","+ 91  9130308814","5.0","1","Karol Bagh","Delhi"
"Dev Lifesciences Pvt Ltd","+ 91  9391451981","4.2","193","Vasai West","Mumbai"
"Kolkata Ravi Specialities Pharma PVT.LTD","+ 91  9144008635","5.0","1","","Kolkata"
"Flanca Life Sciences","+ 91  9193779830","4.3","24","Chandigarh","Chandigarh"
"Pharmahopers.com","+ 91  9130998880","4.6","113","Panchkula Sector 11","Chandigarh"
"Pharma Franchisee & Manufacturing by Saksham Pharmaceuticals India Ltd","+ 91  9153615671","4.3","38","Rajiv Nagar","Delhi"
"Pcd Pharma Franchise By Sb Lifesciences","+ 91  916276791","4.1","51","Panchkula Industrial Area Phase 2","Chandigarh"
"Veecube Healthcare Pvt. Ltd.","+ 91  9134103517","4.4","17","Panchkula Industrial Area Phase 1","Chandigarh"
"Pharma Franchise By Janus Biotech India Pvt Ltd","+ 91  9131476194","4.4","27","Raipur Kalan","Chandigarh"
"Servocare Lifesciences Pvt. Ltd.","+ 91  9134979366","4.0","63","Panchkula Industrial Area Phase 1","Chandigarh"
"Ravi Specialities Pharma Pvt Ltd","+ 91  043164482879","4.3","73","Ramalinganagar South","Trichy"
"Ganraj Medico","+ 91  9191037881","4.6","17","Vazirabad","Nanded"
"Arth Sales Agency","+ 91  9919262876","3.7","46","Vesu","Surat"
"Alpic Biotech LTD","+ 91  9495361618","3.7","12","Makarba","Ahmedabad"
"Bio Search Organics","+ 91  9191421362","4.5","51","Ferozepur Road","Ludhiana"
"Swami Enterprises","+ 91  9127756087","4.5","9","Jammu Ho","Jammu"
"Imphal - Ravi Specialities Pharma Pvt Ltd","+ 91  9191453307","5.0","1","","Imphal"
