"Name","Phone","Rating","Votes","Locality","City"
"Bio Search Organics","+ 91  9148709786","4.5","51","Ferozepur Road","Ludhiana"
"Pharma Franchise By Janus Biotech India Pvt Ltd","+ 91  917810116","4.4","27","Raipur Kalan","Chandigarh"
"Cynak Healthcare","+ 91  9194509506","4.7","3","Sonipat Sector 14","Sonepat"
"Healthkind Labs Pvt Ltd","+ 91  9158590963","4.4","7","","Chandigarh"
"Pharma Pcd Franchise By Prk Biotech","+ 91  9152403079","3.4","11","Mani Majra","Chandigarh"
"Sri Herb Asia Biotech","+ 91  9192093435","3.9","14","Balkalan","Amritsar"
"Deebee Brothers","+ 91  9140795458","4.7","15","Vasna","Ahmedabad"
"Dev Lifesciences Pvt Ltd","+ 91  9353797410","4.2","193","Vasai West","Mumbai"
"Pharma Franchisee & Manufacturing by Saksham Pharmaceuticals India Ltd","+ 91  9139780835","4.3","38","Rajiv Nagar","Delhi"
"Spruhaa Healthcare","+ 91  9162871053","4.3","4","Vashi Sector 17","Mumbai"
"Servocare Lifesciences Pvt. Ltd.","+ 91  9161191413","4.0","63","Panchkula Industrial Area Phase 1","Chandigarh"
"Kiama Lifesciences","+ 91  9114830041","5.0","6","Panchkula Industrial Area Phase 2","Chandigarh"
"V Revive Medicure Pvt. Ltd.","+ 91  9123124267","4.4","28","Chandigarh","Chandigarh"
"Sukh Darshan Pharmacy Pvt. Ltd.","+ 91  919793662","4.3","14","Rai","Sonepat"
"Veecube Healthcare Pvt. Ltd.","+ 91  9173939845","4.4","17","Panchkula Industrial Area Phase 1","Chandigarh"
"Pcd Pharma Franchise By Boffin Biotech Pvt Ltd","+ 91  8083376041","4.6","13","Near Balaji Battery","Sirmaur"
"Shri Sai Balaji Pharmatech Pvt. Ltd.","+ 91  9170261504","4.2","27","Mdc Sector 5","Chandigarh"
"Jsr Group","+ 91  9410593216","4.2","69","Amritsar Gpo","Amritsar"
"Flanca Life Sciences","+ 91  9179335434","4.3","24","Chandigarh","Chandigarh"
"Alish Life Savings Impex Pvt Ltd","+ 91  9135056513","3.4","13","Andheri West","Mumbai"
"Pcd Pharma Franchise By Sb Lifesciences","+ 91  9140868114","4.1","51","Panchkula Industrial Area Phase 2","Chandigarh"
"Pharmahopers.com","+ 91  9199002970","4.6","113","Panchkula Sector 11","Chandigarh"
