"Name","Phone","Rating","Votes","Locality","City"
"Galla Mandi","+ 91  9342654007","3.9","36","Daliganj","Lucknow"
"Murli Dairy Products","+ 91  9141288760","3.5","2","Near Lazizaldarbar","Lucknow"
"Amul Parlour","+ 91  9838058231","3.5","6","Yahiyaganj","Lucknow"
"Satnam General Store","+ 91  9375148044","5.0","2","Alambagh","Lucknow"
"Super Store","+ 91  9853287334","3.7","28","","Lucknow"
"Harpreet Dairy","+ 91  9649709639","3.8","10","Kanpur Road","Lucknow"
"Parag Dairy","","4.2","262","Raj Bhawan Colony","Lucknow"
"Singh Dairy","+ 91  941208698","3.8","20","Alambagh","Lucknow"
"Roshan Provision Store","+ 91  9476277303","5.0","2","Rakab Ganj","Lucknow"
"Mother Dairy Product Store","+ 91  9615940304","4.2","14","Near Ambedkar Universty","Lucknow"
"Shrawan Traders","+ 91  9539262525","5.0","2","Yahiyaganj","Lucknow"
"Parag Dairy","+ 91  8048386189","4.1","98","Lda Colony","Lucknow"
"Goyal Dairy","+ 91  9337015497","3.5","4","Aminabad","Lucknow"
"MAA Grocery Store","+ 91  9846185533","4.8","2","Indira Nagar Lucknow","Lucknow"
"F I Family Bazar 2","+ 91  52288606404","3.6","24","Hussainganj","Lucknow"
"Nova dairy products","+ 91  9583171728","","0","Aliganj","Lucknow"
"Rakesh General Store","+ 91  8573147537","5.0","2","Sadar","Lucknow"
"Mayuri Kiranam","+ 91  9343750181","4.0","4","","Lucknow"
"Modi Care General Store","+ 91  9984078600","3.8","13","Charbagh","Lucknow"
"Gyan Fresh (Company Owned)","+ 91  9474958778","3.8","10","Mahanagar","Lucknow"
"A One Mega Mart","+ 91  9145199791","4.5","2","Aashiyana","Lucknow"
"Vinayak General Stores","+ 91  52254505191","4.0","2","Hazratganj","Lucknow"
"Zee Maha Sale","+ 91  8671194170","3.8","43","Khadra","Lucknow"
"Agarwal Galla Mandi","+ 91  52238753900","5.0","2","Pandey Ganj","Lucknow"
"PYARE LAL Harshit KUMAR","+ 91  9464241630","5.0","6","Subhash Marg","Lucknow"
"Shiv Shakti Enterprises (Fmcg Products)","+ 91  862817384","3.9","5","Aishbagh Road","Lucknow"
"Avadh Dairy Product","+ 91  9428836368","5.0","2","Hussainabad","Lucknow"
"Kadmus Dairy Solutions Pvt Ltd","+ 91  052262221299","4.4","18","Nishatganj","Lucknow"
"Arora Departmental Store","+ 91  52252784584","4.2","452","Gomti Nagar","Lucknow"
"Subhash Milk Dairy","+ 91  9419716864","5.0","2","Aminabad","Lucknow"
"Akash Bhatnagar Store","+ 91  9411576134","5.0","2","Vijay Nagar","Lucknow"
"Gyan Dairy Products","+ 91  8894462685","5.0","1","Aliganj","Lucknow"
"Sichai Vibhag Dairy","+ 91  879473748","3.7","6","Cantt Road","Lucknow"
"Ma Mamtamayi Dairy","+ 91  9638854279","5.0","2","Chander Nagar","Lucknow"
"Arzoo Store","+ 91  9014222755","4.1","11","Golaganj","Lucknow"
"Sahu General Store","+ 91  951502875","3.1","63","Saadatganj","Lucknow"
"Sahu General Store","+ 91  9388114449","5.0","17","Lalkuwan","Lucknow"
"Easyday Club","","4.7","6","Gomti Nagar","Lucknow"
"Laxmi dairy products","+ 91  9088947918","4.0","6","Janakipuram Vistar","Lucknow"
"Pooja provision store","+ 91  052257022854","4.2","8","Sanjay Gandhi Puram Lucknow","Lucknow"
"Parag Milk Booth","+ 91  9887933574","4.0","4","Near Kasa Green Colony","Lucknow"
"Shri Hari Store","+ 91  9776661780","4.0","8","Rakab Ganj","Lucknow"
"Swiss Shop","+ 91  9428571128","4.1","7","Qaiserbagh","Lucknow"
"Dairy","+ 91  52214411864","","0","Raja Bazar","Lucknow"
"Gyan Dairy Products","","4.2","10","Ap Sabha","Lucknow"
"Mother Dairy Product Store","+ 91  9637786388","4.2","14","Near Ambedkar Universty","Lucknow"
"Metro Retail","+ 91  9581125583","4.0","219","Sitapur Rd","Lucknow"
