"Name","Phone","Rating","Votes","Locality","City"
"New Avadh Doodh Dairy And Sweet Shop","+ 91  9089589715","5.0","2","Alambagh","Lucknow"
"Nanak Dairy","+ 91  872086690","","0","Alambagh","Lucknow"
"Madhur Dairy","","","0","Alambagh","Lucknow"
"Arora Dairy","+ 91  9787204587","","0","Alambagh","Lucknow"
"Shivani Dairy Shop","+ 91  9397013339","","0","Vishnupuri","Lucknow"
"Om Shanti Dairy","+ 91  9178140985","4.7","33","Alamnagar","Lucknow"
"Bandhan Dairy","+ 91  7537594997","","0","Alambagh","Lucknow"
"Dairy Product Shop","+ 91  9156631805","","0","Qaiserbagh","Lucknow"
"Om Dairy","+ 91  9638172110","3.5","2","Alambagh","Lucknow"
"Pradeep General Store","+ 91  52244623129","","0","Alambagh","Lucknow"
"Raja Ram Patanjali Store","+ 91  9426180100","","0","Gopal Puri","Lucknow"
"Raj Apo","+ 91  9441332299","2.3","2","Indira Nagar","Lucknow"
"OM Dairy","+ 91  9645194814","3.5","1","Krishna Nagar","Lucknow"
"Goras Bhandar","+ 91  9367825997","","0","Adarsh Nagar","Lucknow"
"Shyam Prabhu Puc","+ 91  8050548584","","0","Alambagh","Lucknow"
"Braj General Store","+ 91  9247975732","3.5","6","Alambagh","Lucknow"
"R S Dairy","+ 91  9640134209","","0","Singar Nagar","Lucknow"
"Shakti Singh store","+ 91  7084354279","","0","Alambagh","Lucknow"
"Gopal Traders","+ 91  9468976682","","0","Alambagh","Lucknow"
"Ram General Store","+ 91  9343614349","","0","Alambagh","Lucknow"
"Akash general store","+ 91  9891177662","","0","Tehri Pulia","Lucknow"
"Ajanta Dairy & Sweet Shop","+ 91  9947757429","3.1","14","Rajaji Puram","Lucknow"
"Satya General Store","+ 91  9990697868","","0","Alambagh","Lucknow"
"MAA General Store","+ 91  9261345030","","0","Alambagh","Lucknow"
"Laxmi Pansari","+ 91  967222011","","0","Alambagh","Lucknow"
"Krishna Provision Store","+ 91  9461628489","5.0","1","Alambagh","Lucknow"
"Akanksha General Store","+ 91  9240328254","5.0","2","Alambagh","Lucknow"
"Shri Krishna Dairy And Bakery Shop","+ 91  8719570489","","0","Gomti Nagar","Lucknow"
"Ameen General Store","+ 91  9267820056","3.5","2","Sarojini Nagar","Lucknow"
"Shankar Kirana Store","+ 91  9369604862","","0","Alambagh","Lucknow"
"Rahul provision store","+ 91  52296574559","","0","Alambagh","Lucknow"
"Amit Dairy Shop","+ 91  7534450221","3.5","2","Rajaji Puram","Lucknow"
"Rinku Baker And General Store","+ 91  52243045503","","0","Alambagh","Lucknow"
"Gupta provision store","+ 91  901185103","","0","Alambagh","Lucknow"
"Shyam Traders","+ 91  9338051478","","0","Gopal Puri","Lucknow"
"Shri Krishna Dairy And Bakery Shop","+ 91  8723728375","","0","Gomti Nagar","Lucknow"
"Yadav Dairy Shop","+ 91  9613587364","","0","Indira Nagar Lucknow","Lucknow"
"Balaji Provision Store","+ 91  9391286112","","0","Alambagh","Lucknow"
"Shankar Lal Murlidhar General Store","+ 91  52231966423","","0","Alambagh","Lucknow"
