"Name","Phone","Rating","Votes","Locality","City"
"The Medicine Shop","+ 91  9020299224","","0","Indira Nagar Lucknow","Lucknow"
"Medicine Point","+ 91  7898820087","","0","Eklavaya Nagar","Lucknow"
"Medicine House","+ 91  9910034086","5.0","3","Janakipuram Vistar","Lucknow"
"Medicine Point","+ 91  9928844524","3.7","6","Saadatganj","Lucknow"
"Medicine House","+ 91  5229581283","4.3","38","Telibagh","Lucknow"
"Medicine House","+ 91  9479325955","3.3","3","Mahanagar","Lucknow"
"Medicine Point","+ 91  7876733765","","0","Eklavaya Nagar","Lucknow"
"Medicine House","+ 91  5223858430","4.5","19","Mahanagar Kursi Road","Lucknow"
"Medicine House","+ 91  9923378427","5.0","3","Janakipuram Vistar","Lucknow"
"Medicine House","+ 91  9490011752","3.3","3","Mahanagar","Lucknow"
"Medicine Mart","+ 91  052240235733","5.0","7","Indira Nagar Lucknow","Lucknow"
"Medicine House","+ 91  946202146","3.3","3","Mahanagar","Lucknow"
"Medicine Mart","+ 91  8211061396","5.0","7","Indira Nagar Lucknow","Lucknow"
"Medicine House","+ 91  9448870992","3.3","3","Mahanagar","Lucknow"
"Medicine At Doorstep","+ 91  7868605167","4.2","3","Gomti Nagar","Lucknow"
"Medicine Agencies","+ 91  52292382712","3.0","2","Kanpur Road","Lucknow"
"Medicine Point","+ 91  7826865806","","0","Eklavaya Nagar","Lucknow"
"Medicine Mart","+ 91  052218527728","5.0","7","Indira Nagar Lucknow","Lucknow"
"Medicine Point","+ 91  9938354432","3.7","6","Saadatganj","Lucknow"
"The Medicine Shop","+ 91  9057921687","","0","Indira Nagar Lucknow","Lucknow"
"Medicine At Doorstep","+ 91  7816542895","4.2","3","Gomti Nagar","Lucknow"
"Medicine Mart","+ 91  052213597702","5.0","7","Indira Nagar Lucknow","Lucknow"
"Medicine House","+ 91  9977970794","5.0","3","Janakipuram Vistar","Lucknow"
"The Medicine Shop","+ 91  9075539009","","0","Indira Nagar Lucknow","Lucknow"
"Medicine Point","+ 91  9930926793","3.7","6","Saadatganj","Lucknow"
"Medicine House","+ 91  9960802872","5.0","3","Janakipuram Vistar","Lucknow"
"Medicine House","+ 91  52257557189","4.3","38","Telibagh","Lucknow"
"Medicine House","+ 91  52245523488","4.3","38","Telibagh","Lucknow"
"Medicine Agencies","+ 91  52254954464","3.0","2","Kanpur Road","Lucknow"
"Medicine At Doorstep","+ 91  7856628841","4.2","3","Gomti Nagar","Lucknow"
"Medicine House","+ 91  52283401839","4.5","19","Mahanagar Kursi Road","Lucknow"
"Medicine Mart","+ 91  8282547709","5.0","7","Indira Nagar Lucknow","Lucknow"
"Medicine House","+ 91  52231762688","4.5","19","Mahanagar Kursi Road","Lucknow"
"Medicine Mart","+ 91  8254585505","5.0","7","Indira Nagar Lucknow","Lucknow"
"Medicine Mart","+ 91  05224858144","5.0","7","Indira Nagar Lucknow","Lucknow"
"Medicine Mart","+ 91  8229048126","5.0","7","Indira Nagar Lucknow","Lucknow"
"Medicine Point","+ 91  9967532616","3.7","6","Saadatganj","Lucknow"
"Medicine Point","+ 91  7827111504","","0","Eklavaya Nagar","Lucknow"
"Medicine At Doorstep","+ 91  7853189482","4.2","3","Gomti Nagar","Lucknow"
"Medicine Point","+ 91  9937335078","3.7","6","Saadatganj","Lucknow"
"Medicine Agencies","+ 91  52292095489","3.0","2","Kanpur Road","Lucknow"
"Medicine House","+ 91  52217204129","4.3","38","Telibagh","Lucknow"
"Medicine Point","+ 91  7874431237","","0","Eklavaya Nagar","Lucknow"
"Medicine House","+ 91  5224872987","4.5","19","Mahanagar Kursi Road","Lucknow"
"Medicine House","+ 91  9956317521","5.0","3","Janakipuram Vistar","Lucknow"
"Medicine House","+ 91  9482806065","3.3","3","Mahanagar","Lucknow"
"Medicine House","+ 91  52285097727","4.5","19","Mahanagar Kursi Road","Lucknow"
"Medicine Mart","+ 91  052249880523","5.0","7","Indira Nagar Lucknow","Lucknow"
"Medicine House","+ 91  52295465746","4.3","38","Telibagh","Lucknow"
"Medicine Mart","+ 91  8261157004","5.0","7","Indira Nagar Lucknow","Lucknow"
