"Name","Phone","Rating","Votes","Locality","City"
"Kidzee Vishal Khand - 3","+ 91  9064865523","4.9","42","Gomti Nagar","Lucknow"
"Piu - 5 Upeida","+ 91  8014558669","3.5","4","Gomti Nagar","Lucknow"
"B K Medical Store Chemist Drugest","+ 91  9423314884","3.9","7","Lucknow Chowk","Lucknow"
"Bright 4 Wheels","+ 91  7524137641","5.0","4","","Lucknow"
"Arcadia Inn 2 (OYO 27618)","+ 91  9113257132","4.0","132","Raj Bhawan Colony","Lucknow"
"Paramount Chemists","+ 91  52214333079","4.0","23","Nirala Nagar","Lucknow"
"Dr. Anurag K Gupta (Care Chemist)","+ 91  052252178938","","0","Sadar","Lucknow"
"New Chemist","+ 91  52258366250","3.9","15","Alambagh","Lucknow"
"Nainital Momos Season 5","+ 91  052299781517","3.9","130","Hazratganj","Lucknow"
"4 Season","+ 91  734930677","4.3","9","Chinhat Lucknow","Lucknow"
"Mohit International 2 (OYO 28383)","+ 91  9111046718","4.1","329","Gomti Nagar","Lucknow"
"Family Bazaar 3","+ 91  8940838427","4.1","907","Vikas Nagar","Lucknow"
"Bright 4 Wheel Sales Pvt Ltd","+ 91  9247510152","3.6","13","Gomti Nagar","Lucknow"
"Group 5 Security Services","+ 91  52240772587","5.0","3","Hazratganj","Lucknow"
"Vinay Khand 3 Park","+ 91  8910045033","3.5","30","Gomti Nagar","Lucknow"
"Bright 4 Wheel Sales Pvt Ltd","+ 91  9657052864","4.5","373","Ashok Marg","Lucknow"
"Group 5 Samachar","+ 91  5228422813","4.2","6","Wazir Hasan Road","Lucknow"
"Esskay  Chemist","+ 91  052277832376","3.8","11","Indira Nagar","Lucknow"
"Be The Beer Season 2","+ 91  7821036318","4.2","218","Gomti Nagar","Lucknow"
"Care Chemist","+ 91  52245882334","3.9","13","Sadar","Lucknow"
"Chilli 4 Chill","+ 91  878661174","3.9","104","Burlington Chauraha","Lucknow"
"Ski Net 3 Broadband","+ 91  8090116627","3.5","17","Balaganj","Lucknow"
"Bright 4 wheel Sales pvt. Vikas Nagar","+ 91  9647532008","4.1","751","Vikas Nagar Lucknow","Lucknow"
"BEST Deal 4 Wheels","+ 91  912043672","4.3","190","Nirala Nagar","Lucknow"
"5 Star Beverly Hills Unisex Salon","+ 91  52275816302","4.2","6","Gomti Nagar","Lucknow"
"Relite Chemist","+ 91  936323288","4.3","8","Aliganj","Lucknow"
"4 Season (OYO 19996)","+ 91  914110233","3.9","222","Chinhat","Lucknow"
"3 MG Enterprises","+ 91  9444026875","4.5","1","Indira Nagar Lucknow","Lucknow"
"Bright 4 Wheel Sales Pvt Ltd","+ 91  52219523939","4.1","1249","Vikas Nagar","Lucknow"
"Nainital Momos Season 2","+ 91  052263933017","4.2","1695","Gomti Nagar","Lucknow"
"Hotel Orchid 2 (OYO 9967)","+ 91  9194704861","3.5","301","Gomti Nagar","Lucknow"
"Head 2 Toe Day Spa","+ 91  052292040044","4.9","490","Nirala Nagar","Lucknow"
"Vinay Khand 3 Community Centre","","4.0","166","Gomti Nagar","Lucknow"
"NAV Chemist (Closed Down)","","3.9","8","Alambagh","Lucknow"
"Hotel 5 Star","+ 91  993427892","4.5","4","Alambagh","Lucknow"
"Ben 5 Buildcon Pvt Ltd","+ 91  967416834","5.0","2","Gomti Nagar","Lucknow"
"3 Chilli Catering","+ 91  9164922527","3.5","2","La Touche Road","Lucknow"
"Life Care Chemists","+ 91  9447192655","3.4","7","Aashiyana","Lucknow"
"Apna Bazar 3","+ 91  5223301702","3.9","30","Kalyanpur","Lucknow"
"The 5 Star Chef","+ 91  8269098384","2.9","10","LDA Colony","Lucknow"
"ANH - 2 (OYO 7018)","+ 91  9125702849","3.8","70","Gomti Nagar","Lucknow"
"NEXA","+ 91  52293507529","4.3","269","Alambagh","Lucknow"
"Chawlas Hot Favourite Of Ludhiyana","+ 91  052241165632","3.3","147","Alambagh","Lucknow"
"Ink 5 Tattoo","+ 91  52258844481","4.5","474","Hazratganj","Lucknow"
"Suraksha Enclave 2","+ 91  9512242319","4.0","252","","Lucknow"
"Parking No. 5","+ 91  52223651193","3.5","66","Transport Nagar","Lucknow"
"Modern Chemist","+ 91  52272102171","5.0","2","Qaiserbagh","Lucknow"
"Chawlas 2","+ 91  052245588275","4.1","355","Gomti Nagar","Lucknow"
"Page 3","+ 91  052235770006","4.0","595","Hazratganj","Lucknow"
"Vinamra Khand-3 Park","+ 91  9849149775","3.8","215","","Lucknow"
