"Name","Phone","Rating","Votes","Locality","City"
"Sonal Dairy","+ 91  22 43660538","3.0","2","Malad West","Mumbai"
"Mittal Stores","+ 91  22 90728012","4.5","4","Malad West","Mumbai"
"Bhanji Ramji Savla","+ 91  9018434896","","0","Malad West","Mumbai"
"Om Super Market","+ 91  22 54371634","4.8","2","Malad West","Mumbai"
"Kani Provision Store","+ 91  9762786120","4.1","4","Malad West","Mumbai"
"Variety General & Provision Stores","+ 91  22 84311137","3.7","33","Malad West","Mumbai"
"Balkrishna Dairy ( Patanjali Shop )","+ 91  9711286241","","0","Kalyan East","Mumbai"
"Sharad Provision Stores","+ 91  22 25807593","3.5","3","Malad West","Mumbai"
"Sachin Tobacco co.","+ 91  9855729527","5.0","2","Malad West","Mumbai"
"Sejal General Store","+ 91  22 50663131","3.5","4","Malad West","Mumbai"
"KBS Fair Price","","5.0","1","Malad West","Mumbai"
"Popular Stores","+ 91  22 33956905","4.2","29","Malad West","Mumbai"
"Nanda Dairy","+ 91  9863958802","2.0","1","Malad West","Mumbai"
"Suvarna Dairy","+ 91  9146129549","4.4","8","Malad West","Mumbai"
"Bhavani Provision & General Stores","+ 91  22 78495678","3.5","9","Malad West","Mumbai"
"Yadav Storeeee","+ 91  9660872111","4.0","2","Malad West","Mumbai"
"Hindustan Dairy","+ 91  9911452816","5.0","8","Malad West","Mumbai"
"Amarat Stores","+ 91  9144469770","4.0","1","Malad West","Mumbai"
"Amul Ice Cream Parlour","+ 91  22 54579801","4.7","7","Colaba","Mumbai"
"Stop 2 Shop","+ 91  22 36057984","4.5","33","Malad West","Mumbai"
"Big Traders","+ 91  9790445334","3.9","18","Malad West","Mumbai"
"Jackys Farm & Dairy Product Shop","+ 91  22 17135066","","0","Dadar West","Mumbai"
"Shailesh Trading Company","+ 91  22 30503301","3.9","5","Malad West","Mumbai"
"Amrat General Stores","+ 91  9358024420","","0","Malad West","Mumbai"
"Chandra Dairy","+ 91  022 2037722","4.0","4","Evershine Nagar Malad West","Mumbai"
"Bharat Dryfruits & Kirana Store","+ 91  022 73673902","3.6","11","Malad West","Mumbai"
"Shah Hansraj Premji","+ 91  22 33125268","4.6","5","Malad West","Mumbai"
"Anmol Dairy","+ 91  917177790","1.0","1","Malad West","Mumbai"
"Satish Dairy & Balaji Trading Company","+ 91  9117079937","5.0","3","Neri Naka","Jalgaon"
"K P M Super Market","+ 91  9745308804","4.7","3","Malad West","Mumbai"
"Gupta Milk Centre","+ 91  9143201179","4.6","31","Juhu","Mumbai"
"Indian Dairy","+ 91  9696015300","4.0","1","Malad West","Mumbai"
"Anant Dairy Shop","+ 91  952102483","","0","Mankhurd","Mumbai"
"Shree Krishna Dairy Farm","+ 91  22 39111640","4.0","1","Malad West","Mumbai"
"Quality Center","+ 91  9188082934","3.9","13","IC Colony-Borivali West","Mumbai"
"Kanji Ramji Grain Store","+ 91  22 29963917","4.6","6","Malad West","Mumbai"
"Krishna dairy farm","+ 91  22 80720143","5.0","1","Malad West","Mumbai"
"Dairy Pharma Chem Liners","+ 91  22 56527397","5.0","2","Malad West","Mumbai"
"Happy Dairy Shops","+ 91  7271057200","3.5","2","Mulund West","Mumbai"
"Thakkar Dairy","+ 91  22 88365242","3.0","1","Malad West","Mumbai"
"Shiv Sagar Dairy","+ 91  22 21844121","","0","Malad West","Mumbai"
"Manali General Stores","+ 91  9871796292","","0","Malad West","Mumbai"
"Himat k Savla","+ 91  22 93124223","","0","Malad West","Mumbai"
"SAI Dairy","+ 91  22 90286913","","0","Malad West","Mumbai"
"Arey Dairy Shop","+ 91  9010105529","","0","Dadar West","Mumbai"
"Chetna Stores","+ 91  8892594868","4.7","17","Ambernath","Mumbai"
"arya dudh kendra","+ 91  22 67980081","","0","Malad West","Mumbai"
"Shree Jai Ambe Dairy","+ 91  22 22698683","3.7","11","Malad West","Mumbai"
"Shidivinayak dairy Shop","+ 91  9864882494","5.0","1","Bhayandar East","Mumbai"
"prakash dairy","+ 91  9086981403","","0","Malad West","Mumbai"
"Shakti Provision & General Store","+ 91  22 98456192","4.0","33","Malad West","Mumbai"
"Arvind Kumar Sadanand","+ 91  22 70085728","","0","Malad West","Mumbai"
"National Dairy","","4.5","2","Malad West","Mumbai"
"Bhavana Super Market","+ 91  22 36826907","2.7","7","Malad West","Mumbai"
"Jai Jogai Dairy Equipment","+ 91  9158229641","4.7","6","Latur HO","Latur"
"Riddhi Siddhi General Stores","+ 91  8831480888","4.3","9","Malad West","Mumbai"
"Mahalaxmi Store","+ 91  9992930705","","0","Malad West","Mumbai"
"Sagar General Store","+ 91  989873409","","0","Malad West","Mumbai"
"ABC Farms Pvt Ltd","+ 91  9145653919","4.2","882","Koregaon Park","Pune"
"Jackys Farm & Dairy Product Shop","+ 91  22 46738042","","0","Dadar West","Mumbai"
"Mahavir provision & General stores","+ 91  9993747545","","0","Malad West","Mumbai"
"Vardhaman General Stores","+ 91  22 9402577","3.6","7","Adarsh Nagar-Malad West","Mumbai"
"Punjab Sindh","+ 91  8653422130","3.8","5","Malad West","Mumbai"
"Rajpoot Dairy Farm & Fast Food","+ 91  9190142847","3.6","649","Andheri West","Mumbai"
"Apna Provision Store","+ 91  22 43958650","3.5","2","Malad West","Mumbai"
"Shreeji Supar Market","+ 91  9722581594","5.0","1","Malad West","Mumbai"
"Shree Super Market","+ 91  8846656986","","0","Malad West","Mumbai"
"Dhanani Stores","+ 91  9238969478","3.2","6","Malad West","Mumbai"
"Pooja General Store","+ 91  22 99647871","4.2","16","Malad West","Mumbai"
"Shree Jagbai Provision Store","+ 91  22 11192206","","0","Malad West","Mumbai"
"Manilal Traders","+ 91  9191551031","3.9","12","Vikhroli East","Mumbai"
"Jain Dugdhalaya","+ 91  22 94016754","4.5","38","Malad West","Mumbai"
"Salva Store","+ 91  22 64984708","5.0","1","Malad West","Mumbai"
"Kisan Kranti","+ 91  2421424762","4.6","8","Jamkhed","Ahmednagar"
"J B Stores","","3.0","1","Malad West","Mumbai"
"Sagar Dairy Farm","+ 91  22 11124017","4.8","5","Malad West","Mumbai"
"Chandra dairy","+ 91  9018847393","4.3","3","Malad West","Mumbai"
"Sarvoday Dairy Farm","+ 91  9889405279","3.3","3","Malad West","Mumbai"
"Aarey Sarita","+ 91  9669301745","","0","Malad West","Mumbai"
"Aamaj Farsan & Dairy Shop","+ 91  8890889996","","0","Virar East","Mumbai"
"Prabhat Dairy","+ 91  22 58840991","","0","Malad West","Mumbai"
"Ganesh Provision Stores","+ 91  22 59356452","4.3","3","Malad West","Mumbai"
"Hindusthan Dairy","+ 91  9788153474","","0","Malad West","Mumbai"
"Jethalal Grocery STORE","+ 91  22 1818896","5.0","1","Malad West","Mumbai"
"Sagar Enterprises","+ 91  9196788191","3.6","5","Walgaon Road Tso Amravati","Amravati"
"Milan Provision Stores","+ 91  22 33853430","4.4","34","Malad West","Mumbai"
"Thote Milk Centre","+ 91  812732154","4.0","1","Malad West","Mumbai"
"Rj Super Shop","+ 91  22 60618793","3.0","1","Malad West","Mumbai"
"Purnima enterprises","+ 91  22 4917567","5.0","2","Malad West","Mumbai"
"jalaram grosury store","+ 91  22 50966288","4.0","1","Malad West","Mumbai"
"Shidivinayak dairy Shop","+ 91  9870423761","5.0","1","Bhayandar East","Mumbai"
"Parasmal Devichand","+ 91  22 7702784","3.5","3","Malad West","Mumbai"
"Anant Dairy Shop","+ 91  9572674857","","0","Mankhurd","Mumbai"
"Balaji Super Market","+ 91  022 52973484","0.5","1","Malad West","Mumbai"
"Mahavir General Store","+ 91  9847101376","","0","Malad West","Mumbai"
"A R Store","+ 91  22 51458224","","0","Malad West","Mumbai"
"Sanjay Milk Products Pvt Ltd","+ 91  22 8688048","","0","Malad West","Mumbai"
"Nagariya Provision Stores","+ 91  22 86258913","3.0","2","Malad West","Mumbai"
"Nagaria Stores","+ 91  22 9395554","","0","Malad West","Mumbai"
"V-Mart","+ 91  22 1008859","3.7","87","Malad West","Mumbai"
"Mohan Dairy","+ 91  9881152224","4.3","6","Malad West","Mumbai"
"Nagauri Milk Center","+ 91  22 37165910","","0","Malad West","Mumbai"
"Balkrishna Dairy ( Patanjali Shop )","+ 91  9780548709","","0","Kalyan East","Mumbai"
"Shree Jee Dairy","+ 91  9888683960","4.8","8","Nalasopara East","Mumbai"
"Mothers Pride","","2.7","3","Malad West","Mumbai"
"New Siddhi Vinayak Dairy","+ 91  022 29603102","4.0","4","Malad West","Mumbai"
"Grb Dairy Foods Pvt Ltd","","1.0","1","Malad West","Mumbai"
"Arey Dairy Shop","+ 91  9061903523","","0","Dadar West","Mumbai"
"Fantasy Soups Depo","+ 91  9971146624","","0","Malad West","Mumbai"
"Pawan Super Shopee","+ 91  022 45949469","4.1","25","Kandivali West","Mumbai"
"Shah Vinod Kumar Kanji","+ 91  22 26400621","4.4","69","Malad West","Mumbai"
"Shreeji Stores","+ 91  022 39309006","4.1","21","Malad West","Mumbai"
"Noorani Milk Centre","+ 91  9112917958","4.4","69","Andheri West","Mumbai"
"Priyanshi Dairy Farm & Snacks Corner","+ 91  7921403484","","0","Malad West","Mumbai"
"Jusab Mohmed & Company","+ 91  22 33333411","4.0","4","Malad West","Mumbai"
"Rambhias Superstore Ltd","+ 91  22 73011140","5.0","1","Malad West","Mumbai"
"Uday dairy farm","+ 91  8888744052","","0","Malad West","Mumbai"
"Jay Samondaa Super Market","+ 91  22 70223620","3.4","15","Malad West","Mumbai"
"Central Traders","+ 91  22 82418578","3.8","2","Malad West","Mumbai"
"Golden Dairy","+ 91  22 47548269","4.4","23","Malad West","Mumbai"
"Char Bhuja Store","+ 91  9913515548","","0","Malad West","Mumbai"
"Royal Dairy Farm","+ 91  25220511175","3.9","98","Boisar","Mumbai"
"Shree Malad Dal Mills","+ 91  22 81099356","3.9","157","Malad West","Mumbai"
"Kwality Dairy & Telecom","+ 91  9846984021","","0","Malad West","Mumbai"
