"Name","Phone","Rating","Votes","Locality","City"
"Santosh Medical","+ 91  022 75575263","4.9","5","Kurla West","Mumbai"
"Sai Medico & General Store","+ 91  7775859010","","0","Bandra East","Mumbai"
"LIC - India","+ 91  9826160580","","0","Santacruz East","Mumbai"
"Kurla Chemist","+ 91  8828183869","","0","Kurla West","Mumbai"
"Adarsh Medical & General Store","","3.0","1","Bandra East","Mumbai"
"Jai Majisha Chemist","+ 91  7958334087","","0","Santacruz East","Mumbai"
"Sewa Pharma Medical & General Stores","+ 91  9925178703","3.0","1","Santacruz East","Mumbai"
"Shreya Ayurveda Bhandar","+ 91  9820551816","5.0","4","Bandra East","Mumbai"
"Shivam Medical Stores","+ 91  022 35903242","4.0","4","Bandra East","Mumbai"
"K.G.N. Medical & general store","+ 91  816612372","3.0","2","Santacruz East","Mumbai"
"Rajesh Medical & Dragist","+ 91  7055261435","2.5","1","Santacruz East","Mumbai"
"Yash Medical & General Stores","+ 91  9756275488","5.0","2","Kurla West","Mumbai"
"Ranjan Chemist","+ 91  22 24886190","3.5","12","Kurla West","Mumbai"
"Modern Stationery","+ 91  22 36807195","4.8","3","Kurla West","Mumbai"
"Prince Chemist","+ 91  9979966560","4.0","3","Kurla West","Mumbai"
"Dhiraj Medical & General Stores","+ 91  8930314517","","0","Santacruz East","Mumbai"
"Maru medico","+ 91  9252272508","","0","Santacruz East","Mumbai"
"Aman Medical & General Stores","+ 91  9392510453","5.0","4","Bandra East","Mumbai"
"Om Sai Deep Medical","+ 91  9262943285","5.0","2","Kurla West","Mumbai"
"Bombay Drugs N Pharma","+ 91  8131163011","","0","Santacruz East","Mumbai"
"Rajesh Medical & general Store","+ 91  9290650045","","0","Santacruz East","Mumbai"
"Rajesh Medical & General Stores","","4.0","1","Kurla West","Mumbai"
"Bharat Medico & General Store","+ 91  8095493306","4.7","8","Kurla West","Mumbai"
"Vakola Medical","+ 91  022 52386618","4.1","10","Santacruz East","Mumbai"
"shree rajeshwar medical & general store","+ 91  9995074944","4.1","7","Santacruz East","Mumbai"
"M R Medical (Closed Down)","","3.0","1","Bandra East","Mumbai"
"Siddhi Shrungi Chemist","+ 91  22 70889143","4.2","4","Vakola-santacruz East","Mumbai"
"Ravindra Medical Store","","5.0","1","Kurla West","Mumbai"
"Seva Pharma Medical & General Store","+ 91  9953003023","5.0","1","Santacruz East","Mumbai"
"Real Medical Service","","3.5","2","Santacruz East","Mumbai"
"Health Medical & General Stores","+ 91  8491993263","5.0","4","Santacruz East","Mumbai"
"Gaondevi Medical & General Stores","+ 91  22 49744079","3.8","4","Santacruz East","Mumbai"
"New Oswal Medicals Store","+ 91  9115819694","5.0","2","Santacruz East","Mumbai"
"Vinayak Medical & General Stores","+ 91  999494631","0.5","1","Santacruz East","Mumbai"
"K G N Medical & General Store","+ 91  8197478217","3.6","3","Santacruz East","Mumbai"
"Hasmukh Agency","+ 91  22 53664070","4.5","16","Santacruz East","Mumbai"
"Kurla Medical Store","","4.0","3","Kurla West","Mumbai"
"Bharat Medical & General Store","+ 91  9838810208","2.2","4","Santacruz East","Mumbai"
"Metro Medico Day & Night","+ 91  22 25273568","4.0","55","Sundar Nagar-kalina","Mumbai"
"Muskaan Medical & General Stores","+ 91  9170780473","1.0","1","Bandra East","Mumbai"
"Manoj Chemist & General Store","+ 91  9978714403","3.7","13","Santacruz East","Mumbai"
"X L House Medical & General Stores","+ 91  22 51966063","4.1","43","Kalina","Mumbai"
"Surekha Medical Store","+ 91  775136251","3.5","1","Vakola-Santacruz East","Mumbai"
"Om Royal Chemist","+ 91  22 49829342","3.8","5","Vakola-Santacruz East","Mumbai"
"Sharif Medical And General Stores","+ 91  9894309789","3.3","3","Santacruz East","Mumbai"
"Ramdeo Medico & General Stores","+ 91  22 6221497","4.3","6","Kurla West","Mumbai"
"Master Medical & General Stores","+ 91  22 50156214","4.5","32","Kurla West","Mumbai"
"Dhanvantri Medicals","+ 91  22 6765459","3.4","7","Santacruz East","Mumbai"
"Kunal medical & general store","+ 91  22 42181740","5.0","1","Santacruz East","Mumbai"
"Ramdeo Mahraja Medical","+ 91  989645143","3.0","1","Kurla West","Mumbai"
"Mahadev Medical & General Store","+ 91  9935952746","3.3","3","Santacruz East","Mumbai"
"Bharat Medico Chemist","+ 91  8036536802","4.8","5","Kurla West","Mumbai"
"City Chemist General Store","+ 91  7776982051","","0","Santacruz East","Mumbai"
"Jain Chemists","+ 91  22 75600952","","0","Santacruz East","Mumbai"
"Society Chemist","","","0","Kurla West","Mumbai"
"Modern Medico","+ 91  022 799809","4.4","48","Kurla West","Mumbai"
"Rajesh Medical","+ 91  22 89625863","4.0","2","Kurla West","Mumbai"
"Shifa Medical & General Stores","+ 91  9875762704","4.0","1","Bandra East","Mumbai"
"Mehak Medical & General Stores","+ 91  9838106252","5.0","2","Kurla West","Mumbai"
"Neal-Deep Medico","+ 91  22 62791798","5.0","2","Santacruz East","Mumbai"
"Meet Medical","+ 91  22 65133955","4.2","51","Santacruz East","Mumbai"
"Shri Vishwanath Medical Stores","+ 91  8049349749","5.0","2","Vakola-Santacruz East","Mumbai"
"Ranjana Medical Store","+ 91  9576369801","3.0","1","Kurla West","Mumbai"
"Ayesha Medical","+ 91  8253330778","4.5","1","Kurla West","Mumbai"
"Sanmati Medical","+ 91  22 70300373","5.0","2","Santacruz East","Mumbai"
"Pragati Medical Store","+ 91  775664957","3.7","4","Bandra East","Mumbai"
"Garib Nawaz Medical & General Stores","+ 91  9085715181","2.3","3","Santacruz East","Mumbai"
"Lucky Medical Store & General Store","+ 91  998020981","","0","Bandra East","Mumbai"
