"Name","Phone","Rating","Votes","Locality","City"
"Page 3 Ladies Salon","+ 91  8017699620","4.9","30","Near Saiian Talab ","Udhampur"
"Arms &  Ammunation Dealer","+ 91  9487131034","","0","Udhampur HO","Udhampur"
"Sethi Army Dealers","+ 91  1999204624","3.3","3","Udhampur HO","Udhampur"
"Sudarshan Property Dealer","+ 91  019998876233","","0","Udhampur","Udhampur"
"The J&K Bank 2","+ 91  019120720602","","0","Udhampur","Udhampur"
"The J And K Bank 2","+ 91  19946230612","","0","Udhampur HO","Udhampur"
"Jai Maa 2 Communication","+ 91  9885305666","","0","","Udhampur"
"Step Up Two Computers","+ 91  9736354261","1.0","1","Udhampur HO","Udhampur"
"Sonu 2 Communication","+ 91  9080321639","5.0","1","Udhampur HO","Udhampur"
"Kendriya Vidyalaya No 2","+ 91  19960949648","","0","Udhampur HO","Udhampur"
"Property Dealer","+ 91  9592923430","","0","Udhampur HO","Udhampur"
"Sonu 2 Communication","+ 91  9432871215","5.0","2","Udhampur HO","Udhampur"
