"Name","Phone","Rating","Votes","Locality","City"
"Prem Sweet Shop","","4.2","444","Rathian","Udhampur"
"Jai Maa 2 Communication","+ 91  9874800534","","0","","Udhampur"
"Luxmi Sweet Shop","+ 91  9065517845","4.3","129","Garhi","Udhampur"
"Luxmi Sweet Shop","+ 91  9667574645","4.2","48","Udhampur HO","Udhampur"
"Sandhya Wine Shop","+ 91  9473200901","3.7","76","Battal","Udhampur"
"Prem Sweet Shop","+ 91  9455803069","4.3","856","Kud","Udhampur"
"The J And K Bank 2","+ 91  19923369097","","0","Udhampur HO","Udhampur"
"Sonu 2 Communication","+ 91  9064847169","5.0","1","Udhampur HO","Udhampur"
"Sandhya Wine Shop","","4.3","8","Near Flippings & Fast Food Restaurant","Udhampur"
"Sonu 2 Communication","+ 91  948092399","5.0","2","Udhampur HO","Udhampur"
"Page 3 Ladies Salon","+ 91  8036627924","4.9","30","Near Saiian Talab ","Udhampur"
"Luxmi Sweet Shop","+ 91  9012634623","4.2","48","Near Head Post Office","Udhampur"
"Luxmi Sweet Shop","+ 91  9031481075","4.3","129","","Udhampur"
"The J&K Bank 2","+ 91  019115246752","","0","Udhampur","Udhampur"
"7th Heaven Cake Shop","+ 91  9059252367","4.3","192","Near Jamwal Filling Station","Udhampur"
"Kendriya Vidyalaya No 2","+ 91  19939646882","","0","Udhampur HO","Udhampur"
"Kamal Sweet Shop","+ 91  19937510207","4.7","95","","Udhampur"
"Step Up Two Computers","+ 91  9749176974","1.0","1","Udhampur HO","Udhampur"
