"Name","Phone","Rating","Votes","Locality","City"
"Ganraj Medico","+ 91  91409779","4.6","17","Vazirabad","Nanded"
"Swami Enterprises","+ 91  9110782607","4.5","9","Jammu Ho","Jammu"
"Imphal - Ravi Specialities Pharma Pvt Ltd","+ 91  9131096682","5.0","1","","Imphal"
"Pharma Pcd Franchise By Arrier Biotech","+ 91  1727631349","4.2","102","Mani Majra","Chandigarh"
"Flanca Life Sciences","+ 91  9167516857","4.3","24","Chandigarh","Chandigarh"
"Kolkata Ravi Specialities Pharma PVT.LTD","+ 91  9123710638","5.0","1","","Kolkata"
"Pharma Franchise By Janus Biotech India Pvt Ltd","+ 91  9193719904","4.4","27","Raipur Kalan","Chandigarh"
"Pharma Franchisee & Manufacturing by Saksham Pharmaceuticals India Ltd","+ 91  9187353077","4.3","38","Rajiv Nagar","Delhi"
"Veecube Healthcare Pvt. Ltd.","+ 91  9195516351","4.4","17","Panchkula Industrial Area Phase 1","Chandigarh"
"Dev Lifesciences Pvt Ltd","+ 91  9334623792","4.2","193","Vasai West","Mumbai"
"Pharmahopers.com","+ 91  913919244","4.6","113","Panchkula Sector 11","Chandigarh"
"Alish Life Savings Impex Pvt Ltd","+ 91  9180668299","3.4","13","Andheri West","Mumbai"
"Bio Search Organics","+ 91  9166138873","4.5","51","Ferozepur Road","Ludhiana"
"Arth Sales Agency","+ 91  9967005809","3.7","46","Vesu","Surat"
"Krishna Pharmacy","+ 91  019974772213","4.8","27","Udhampur HO","Udhampur"
"Sukh Darshan Pharmacy Pvt. Ltd.","+ 91  9180120820","4.3","14","Rai","Sonepat"
"Pcd Pharma Franchise By Sb Lifesciences","+ 91  9160536090","4.1","51","Panchkula Industrial Area Phase 2","Chandigarh"
"Ravi Specialities Pharma Pvt Ltd","+ 91  043148782548","4.3","73","Ramalinganagar South","Trichy"
"Ravi Worldwide Medicines Pvt.Ltd","+ 91  917429418","5.0","1","Karol Bagh","Delhi"
