"Name","Phone","Rating","Votes","Locality","City"
"Shiv Medicine Traders","+ 91  9562369557","","0","","Udhampur"
"The J And K Bank 2","+ 91  19963842419","","0","Udhampur HO","Udhampur"
"Shiv Medicine Traders","+ 91  9584661177","","0","","Udhampur"
"Shiv Medicine Traders","+ 91  9574063248","","0","Udhampur HO","Udhampur"
"Shiv Medicine Traders","+ 91  9591061203","","0","Udhampur HO","Udhampur"
"Shiv Medicine Traders","+ 91  954235980","","0","Udhampur HO","Udhampur"
"Page 3 Ladies Salon","+ 91  8059726464","4.9","30","Near Saiian Talab ","Udhampur"
"Shiv Medicine Traders","+ 91  9578057389","","0","","Udhampur"
"Shiv Medicine Traders","+ 91  9521457801","","0","Udhampur HO","Udhampur"
"Shiv Medicine Traders","+ 91  9557266394","","0","Udhampur HO","Udhampur"
"Jai Maa 2 Communication","+ 91  9863349827","","0","","Udhampur"
"Sonu 2 Communication","+ 91  9077259112","5.0","1","Udhampur HO","Udhampur"
"Shivshakti Manufacturer","+ 91  7854917560","","0","","Udhampur"
"Step Up Two Computers","+ 91  9748035755","1.0","1","Udhampur HO","Udhampur"
"Shiv Medicine Traders","+ 91  9540029744","","0","","Udhampur"
"Shiv Medicine Traders","+ 91  9584684435","","0","","Udhampur"
"The J&K Bank 2","+ 91  01913822833","","0","Udhampur","Udhampur"
"Sonu 2 Communication","+ 91  9451791815","5.0","2","Udhampur HO","Udhampur"
"Kendriya Vidyalaya No 2","+ 91  19932017600","","0","Udhampur HO","Udhampur"
