"Name","Phone","Rating","Votes","Locality","City"
"Shiv Medicine Traders","+ 91  9592636063","","0","Udhampur HO","Udhampur"
"Step Up Two Computers","+ 91  9733779873","1.0","1","Udhampur HO","Udhampur"
"Sonu 2 Communication","+ 91  9047902452","5.0","1","Udhampur HO","Udhampur"
"Shiv Medicine Traders","+ 91  9599632494","","0","","Udhampur"
"Shiv Medicine Traders","+ 91  9582214588","","0","Udhampur HO","Udhampur"
"Shiv Medicine Traders","+ 91  957050920","","0","","Udhampur"
"Jai Maa 2 Communication","+ 91  9839808644","","0","","Udhampur"
"Shiv Medicine Traders","+ 91  9523449668","","0","","Udhampur"
"Shiv Medicine Traders","+ 91  9598834344","","0","Udhampur HO","Udhampur"
"The J And K Bank 2","+ 91  19962628517","","0","Udhampur HO","Udhampur"
"Page 3 Ladies Salon","+ 91  8087442573","4.9","30","Near Saiian Talab ","Udhampur"
"Kendriya Vidyalaya No 2","+ 91  19987393887","","0","Udhampur HO","Udhampur"
"Shiv Medicine Traders","+ 91  9554169111","","0","","Udhampur"
"The J&K Bank 2","+ 91  019138591354","","0","Udhampur","Udhampur"
"Sonu 2 Communication","+ 91  9447640849","5.0","2","Udhampur HO","Udhampur"
"Shiv Medicine Traders","+ 91  9588935308","","0","Udhampur HO","Udhampur"
"Shiv Medicine Traders","+ 91  957196159","","0","","Udhampur"
"Shiv Medicine Traders","+ 91  9554407354","","0","Udhampur HO","Udhampur"
