"Name","Phone","Rating","Votes","Locality","City"
"Dairy Don","+ 91  9941036299","4.0","613","Kings Circle","Mumbai"
"Dairy Don","+ 91  9295193844","3.9","387","Vile Parle East","Mumbai"
"Dairy Farm","+ 91  9954072369","","0","","Mumbai"
"Dairy Farm","+ 91  9960153833","","0","","Mumbai"
"Anand Pandey","","5.0","1","Mahim","Mumbai"
"Anand Pandey","","5.0","1","Mahim","Mumbai"
"Dairy Don","+ 91  022 99798014","4.1","552","Jogeshwari West","Mumbai"
"Anand Pandey","","5.0","1","Mahim","Mumbai"
"Dairy Don","+ 91  9871992213","4.1","343","Borivali West","Mumbai"
"Dairy Don","+ 91  9246514547","3.9","387","Vile Parle East","Mumbai"
"Dairy Don","+ 91  022 23834275","4.1","552","Jogeshwari West","Mumbai"
"Dairy Don","+ 91  9914849614","4.0","613","Kings Circle","Mumbai"
"Dairy Don","+ 91  8683321693","4.0","496","Shanti Park-Mira Road","Mumbai"
"Dairy Don","+ 91  866740854","4.0","496","Shanti Park-Mira Road","Mumbai"
"Dairy Development Department","+ 91  022 27852700","","","Worli","Mumbai"
"Dairy Farm","+ 91  9933535694","","0","","Mumbai"
"Dairy Don","+ 91  9829981452","3.8","350","Ghatkopar East","Mumbai"
"Dairy Development Department","+ 91  022 36241331","","","Worli","Mumbai"
"Dairy Don","+ 91  9846980762","3.8","350","Ghatkopar East","Mumbai"
"Dairy Don","+ 91  9821046566","4.1","343","Borivali West","Mumbai"
"Dairy Don","+ 91  8624766604","4.0","496","Shanti Park-Mira Road","Mumbai"
"Dairy Don","+ 91  9814674727","4.1","343","Borivali West","Mumbai"
"Dairy Don","+ 91  9923794221","4.1","509","Kandivali West","Mumbai"
"Dairy Don","+ 91  993739921","4.0","613","Kings Circle","Mumbai"
"Anand Pandey","","5.0","1","Mahim","Mumbai"
"Dairy Don","+ 91  9249997252","3.9","387","Vile Parle East","Mumbai"
"Dairy Farm","+ 91  9944275436","","0","","Mumbai"
"Dairy Don","+ 91  9883433714","3.8","350","Ghatkopar East","Mumbai"
"Dairy Don","+ 91  9954586222","4.1","509","Kandivali West","Mumbai"
"Dairy Don","+ 91  9833219525","3.8","350","Ghatkopar East","Mumbai"
"Anand Pandey","","5.0","1","Mahim","Mumbai"
"Dairy Development Department","+ 91  022 86427472","","","Worli","Mumbai"
"Dairy Development Department","+ 91  022 95343760","","","Worli","Mumbai"
"Dairy Don","+ 91  9981447092","4.0","613","Kings Circle","Mumbai"
"Dairy Don","+ 91  9869086039","3.8","350","Ghatkopar East","Mumbai"
"Dairy Don","+ 91  8642344247","4.0","496","Shanti Park-Mira Road","Mumbai"
"Dairy Don","+ 91  8634044674","4.0","496","Shanti Park-Mira Road","Mumbai"
"Dairy Don","+ 91  9275964955","3.9","387","Vile Parle East","Mumbai"
"Dairy Don","+ 91  9841339178","4.1","343","Borivali West","Mumbai"
"Dairy Don","+ 91  9939078306","4.0","613","Kings Circle","Mumbai"
"Dairy Don","+ 91  998598863","4.1","509","Kandivali West","Mumbai"
"Dairy Farm","+ 91  9936873698","","0","","Mumbai"
"Dairy Don","+ 91  9942464377","4.1","509","Kandivali West","Mumbai"
"Dairy Don","+ 91  9964999817","4.1","509","Kandivali West","Mumbai"
"Dairy Don","+ 91  022 22071606","4.1","552","Jogeshwari West","Mumbai"
"Dairy Development Department","+ 91  022 36927463","","","Worli","Mumbai"
"Dairy Don","+ 91  022 93965577","4.1","552","Jogeshwari West","Mumbai"
"Dairy Don","+ 91  022 7927073","4.1","552","Jogeshwari West","Mumbai"
"Dairy Don","+ 91  9838194186","4.1","343","Borivali West","Mumbai"
"Dairy Don","+ 91  9268963464","3.9","387","Vile Parle East","Mumbai"
