"Name","Phone","Rating","Votes","Locality","City"
"Dairy Shop Navi Mumbai","+ 91  9852046238","4.5","1","Uran","Mumbai"
"Dairy Don","+ 91  8613504263","4.0","496","Shanti Park-Mira Road","Mumbai"
"Dairy Don","+ 91  999818976","4.0","613","Kings Circle","Mumbai"
"Dairy Shop","+ 91  9957804737","","0","Dahisar","Mumbai"
"Dairy Don","+ 91  8683977352","4.0","496","Shanti Park-Mira Road","Mumbai"
"Dairy Development Department","+ 91  022 64562484","","","Worli","Mumbai"
"Dairy Shop","+ 91  9987604683","","0","Dahisar","Mumbai"
"Dairy Don","+ 91  8671222856","4.0","496","Shanti Park-Mira Road","Mumbai"
"Dairy Don","+ 91  9965861677","4.1","509","Kandivali West","Mumbai"
"Dairy Don","+ 91  985240110","4.1","343","Borivali West","Mumbai"
"Dairy Don","+ 91  022 38264848","4.1","552","Jogeshwari West","Mumbai"
"Dairy Don","+ 91  022 82661975","4.1","552","Jogeshwari West","Mumbai"
"Dairy Shop Navi Mumbai","+ 91  9837804661","4.5","1","Uran","Mumbai"
"Dairy Don","+ 91  9978889115","4.1","509","Kandivali West","Mumbai"
"dairy shop","+ 91  7539706716","2.5","2","Kandivali West","Mumbai"
"Dairy Shop","+ 91  9958027212","","0","Dahisar","Mumbai"
"dairy shop","+ 91  7580314094","2.5","2","Kandivali West","Mumbai"
"Dairy Development Department","+ 91  022 61519985","","","Worli","Mumbai"
"Dairy Don","+ 91  022 15919287","4.1","552","Jogeshwari West","Mumbai"
"Dairy Shop Navi Mumbai","+ 91  9888013008","4.5","1","Uran","Mumbai"
"Dairy Development Department","+ 91  022 59949344","","","Worli","Mumbai"
"Dairy Shop","+ 91  9967879012","","0","Dahisar","Mumbai"
"Dairy Don","+ 91  9991025650","4.1","509","Kandivali West","Mumbai"
"Dairy Don","+ 91  9224525710","3.9","387","Vile Parle East","Mumbai"
"Dairy Don","+ 91  022 21125619","4.1","552","Jogeshwari West","Mumbai"
"Dairy Don","+ 91  9899758962","4.1","343","Borivali West","Mumbai"
"Dairy Don","+ 91  9825411264","4.1","343","Borivali West","Mumbai"
"Dairy Don","+ 91  8680394459","4.0","496","Shanti Park-Mira Road","Mumbai"
"Dairy Development Department","+ 91  022 7513934","","","Worli","Mumbai"
"Dairy Shop Navi Mumbai","+ 91  9892687166","4.5","1","Uran","Mumbai"
"Dairy Don","+ 91  9958900350","4.1","509","Kandivali West","Mumbai"
"dairy shop","+ 91  7522890850","2.5","2","Kandivali West","Mumbai"
"Dairy Don","+ 91  9972594445","4.0","613","Kings Circle","Mumbai"
"dairy shop","+ 91  7569021324","2.5","2","Kandivali West","Mumbai"
"Dairy Don","+ 91  9237441911","3.9","387","Vile Parle East","Mumbai"
"Dairy Don","+ 91  9817940112","4.1","343","Borivali West","Mumbai"
"Dairy Don","+ 91  8653335526","4.0","496","Shanti Park-Mira Road","Mumbai"
"Dairy Don","+ 91  9958780378","4.0","613","Kings Circle","Mumbai"
"Dairy Don","+ 91  9249172392","3.9","387","Vile Parle East","Mumbai"
"dairy shop","+ 91  7527550256","2.5","2","Kandivali West","Mumbai"
"Dairy Don","+ 91  9920880527","4.0","613","Kings Circle","Mumbai"
"Dairy Don","+ 91  9873060197","4.1","343","Borivali West","Mumbai"
"Dairy Don","+ 91  9290991323","3.9","387","Vile Parle East","Mumbai"
"Dairy Don","+ 91  9930030373","4.1","509","Kandivali West","Mumbai"
"Dairy Shop Navi Mumbai","+ 91  9819004822","4.5","1","Uran","Mumbai"
"Dairy Shop","+ 91  9983380375","","0","Dahisar","Mumbai"
"Dairy Don","+ 91  996454426","4.0","613","Kings Circle","Mumbai"
"Dairy Development Department","+ 91  022 72068867","","","Worli","Mumbai"
"Dairy Don","+ 91  9240791700","3.9","387","Vile Parle East","Mumbai"
"Dairy Don","+ 91  022 87572975","4.1","552","Jogeshwari West","Mumbai"
