"Name","Phone","Rating","Votes","Locality","City"
"Guru Electricals","+ 91  22 73615546","3.7","13","Andheri West","Mumbai"
"Hotel Evergreen","+ 91  022 50286768","3.7","695","Khar West","Mumbai"
"Guru Atman","+ 91  9148957988","4.1","561","Kalyan West","Mumbai"
"Guru Dresswala","+ 91  922243393","3.9","82","Byculla","Mumbai"
"Guru Dresswala","+ 91  9212447794","3.9","82","Byculla","Mumbai"
"Guru Devagiri","+ 91  9929311310","4.5","4","Nerul","Mumbai"
"Guru Educircle","+ 91  9897904172","4.9","147","Thane West","Mumbai"
"Guru Bar & Restaurant","+ 91  22 83322158","3.3","56","Gamdevi","Mumbai"
"Guru Atman","+ 91  9156783476","4.1","561","Kalyan West","Mumbai"
"Guru Da Dhaba Restaurant","+ 91  22 660315","3.7","1148","Lokhandwala Complex-andheri West","Mumbai"
"Guru Astronics Pvt. Ltd.","+ 91  22 42377834","","0","Andheri East","Mumbai"
"Guru Dresswala","+ 91  9217637545","3.9","82","Byculla","Mumbai"
"Hotel Evergreen","+ 91  022 25441262","3.7","695","Khar West","Mumbai"
"Guru Academy","+ 91  9173349695","4.0","7","Kharghar","Mumbai"
"Guru Atman","+ 91  9194238295","4.1","561","Kalyan West","Mumbai"
"Guru Da Dhaba Restaurant","+ 91  22 601932","3.7","1148","Lokhandwala Complex-andheri West","Mumbai"
"Guru Educircle","+ 91  9855156360","4.9","147","Thane West","Mumbai"
"Guru Academy","+ 91  911011318","4.0","7","Kharghar","Mumbai"
"Guru Astronics Pvt. Ltd.","+ 91  22 73812740","","0","Andheri East","Mumbai"
"Guru Dham Family Restaurant & Bar","+ 91  2519796573","3.7","97","Kalyan East","Mumbai"
"Guru Astronics Pvt. Ltd.","+ 91  22 31383400","","0","Andheri East","Mumbai"
"Guru Da Dhaba Restaurant","+ 91  22 15626849","3.7","1148","Lokhandwala Complex-andheri West","Mumbai"
"Guru Dresswala","+ 91  9292523443","3.9","82","Byculla","Mumbai"
"Guru Da Dhaba Restaurant","+ 91  22 15686273","3.7","1148","Lokhandwala Complex-andheri West","Mumbai"
"Guru Atman","+ 91  913702814","4.1","561","Kalyan West","Mumbai"
"Guru Devagiri","+ 91  999950734","4.5","4","Nerul","Mumbai"
"Guru Dresswala","+ 91  9281596702","3.9","82","Byculla","Mumbai"
"Guru Academy","+ 91  9189566921","4.0","7","Kharghar","Mumbai"
"Guru Dham Family Restaurant & Bar","+ 91  25131091935","3.7","97","Kalyan East","Mumbai"
"Guru Devagiri","+ 91  9964852826","4.5","4","Nerul","Mumbai"
"Guru Bar & Restaurant","+ 91  22 40648397","3.3","56","Gamdevi","Mumbai"
"Hotel Evergreen","+ 91  022 86372548","3.7","695","Khar West","Mumbai"
"Guru Electricals","+ 91  22 47634573","3.7","13","Andheri West","Mumbai"
"Guru Atman","+ 91  9182401890","4.1","561","Kalyan West","Mumbai"
"Guru Dham Family Restaurant & Bar","+ 91  25182607566","3.7","97","Kalyan East","Mumbai"
"Guru Educircle","+ 91  9854185231","4.9","147","Thane West","Mumbai"
"Guru Da Dhaba Restaurant","+ 91  22 83298811","3.7","1148","Lokhandwala Complex-andheri West","Mumbai"
"Guru Educircle","+ 91  9861570491","4.9","147","Thane West","Mumbai"
"Hotel Evergreen","+ 91  022 83536511","3.7","695","Khar West","Mumbai"
"Guru Astronics Pvt. Ltd.","+ 91  22 49651901","","0","Andheri East","Mumbai"
"Guru Bar & Restaurant","+ 91  22 73630500","3.3","56","Gamdevi","Mumbai"
"Guru Educircle","+ 91  9869061947","4.9","147","Thane West","Mumbai"
"Guru Dham Family Restaurant & Bar","+ 91  25153697074","3.7","97","Kalyan East","Mumbai"
"Guru Electricals","+ 91  22 86998834","3.7","13","Andheri West","Mumbai"
"Guru Electricals","+ 91  22 92282421","3.7","13","Andheri West","Mumbai"
"Guru Dham Family Restaurant & Bar","+ 91  25158462439","3.7","97","Kalyan East","Mumbai"
"Guru Bar & Restaurant","+ 91  22 80072987","3.3","56","Gamdevi","Mumbai"
"Guru Astronics Pvt. Ltd.","+ 91  22 57119649","","0","Andheri East","Mumbai"
"Hotel Evergreen","+ 91  022 35628190","3.7","695","Khar West","Mumbai"
"Guru Bar & Restaurant","+ 91  22 76523993","3.3","56","Gamdevi","Mumbai"
