"Name","Phone","Rating","Votes","Locality","City"
"Buy 2 Tea Cafe","+ 91  22 69815181","3.7","820","Andheri East","Mumbai"
"Dabur INDIA Ltd","+ 91  22 38249614","3.8","324","Fort","Mumbai"
"Noxa Engg Works","+ 91  022 88211913","","0","Sakinaka","Mumbai"
"Leelavati Medical & Pharma Distributors","+ 91  022 98644444","4.0","213","Bandra West","Mumbai"
"CR2 Mall","+ 91  22 99323760","4.1","6216","Nariman Point","Mumbai"
"Himachal Pradesh Tourism Development Corporation Ltd","+ 91  22 58596344","4.0","185","Cuffe Parade-colaba","Mumbai"
"5 Spice","+ 91  22 86034070","3.8","4272","Kings Circle","Mumbai"
"Wockhardt Ltd (Corporate Office)","+ 91  022 48837983","4.1","540","Bandra Kurla Complex-bandra East","Mumbai"
"5 Spice","+ 91  022 19360989","4.0","8271","Malad West","Mumbai"
"Three Chicks And A Bear","+ 91  8232119103","4.1","1759","Lower Parel","Mumbai"
"Girgaon 4","+ 91  8825969734","3.7","1846","Girgaon","Mumbai"
"Wockhardt Ltd (Corporate Office)","+ 91  022 9871517","4.1","540","Bandra Kurla Complex-bandra East","Mumbai"
"Meghraj Multiplex (Closed Down)","","3.5","2825","Vashi","Mumbai"
"Noxa Engg Works","+ 91  022 60834369","","0","Sakinaka","Mumbai"
"Ajanta Pharma Ltd","+ 91  022 74254408","3.9","473","Kandivali West","Mumbai"
"Zeal 3 Seasons Family Restaurant & Bar","+ 91  25065726550","4.0","1732","Virar West","Mumbai"
"Wockhardt Ltd (Corporate Office)","+ 91  022 40207853","4.1","540","Bandra Kurla Complex-bandra East","Mumbai"
"Four Seasons Hotel","+ 91  022 19385703","4.4","17184","Worli","Mumbai"
"Sanofi India Ltd (Registered Office)","+ 91  022 38757650","4.1","335","Powai","Mumbai"
"Ajanta Pharma Ltd","+ 91  022 10252963","3.9","473","Kandivali West","Mumbai"
"Noxa Engg Works","+ 91  022 49798249","","0","Sakinaka","Mumbai"
"Hotel Three Star Pvt Ltd","+ 91  22 64691879","3.8","2502","Kharghar","Mumbai"
"Phoenix Pharma Academy (Centrium Mall)","+ 91  9089818023","3.6","727","Kandivali West","Mumbai"
"Ajanta Pharma Ltd","+ 91  022 69601443","3.9","473","Kandivali West","Mumbai"
"3 Wise Monkeys","+ 91  9137729754","4.0","5506","Khar West","Mumbai"
"Leelavati Medical & Pharma Distributors","+ 91  022 45504144","4.0","213","Bandra West","Mumbai"
"Dabur INDIA Ltd","+ 91  22 79105882","3.8","324","Fort","Mumbai"
"Noxa Engg Works","+ 91  022 74565913","","0","Sakinaka","Mumbai"
"Alfa 2","+ 91  22 47284899","4.1","8654","Vile Parle West","Mumbai"
"Himachal Pradesh State Handicrafts","","2.2","5","Cuffe Parade-colaba","Mumbai"
"Hotel Imperial Palace 2","+ 91  022 82047706","3.3","1190","Andheri East","Mumbai"
"5 Spice","+ 91  22 78212439","4.1","7276","Fort","Mumbai"
"5 Spice","+ 91  022 55228430","4.0","6657","Borivali West","Mumbai"
"5 Spice (Closed Down)","","4.0","13538","Pali Naka-bandra West","Mumbai"
"Canon Master Service Centre","18684012317","4.1","990","Andheri East","Mumbai"
"Infiniti Mall","+ 91  22 42738615","4.4","55270","Malad West","Mumbai"
"5 Spice","+ 91  22 66150472","4.0","8549","Andheri East","Mumbai"
"Chawla Restaurant","+ 91  22 83346088","3.8","1194","Mahakali-andheri East","Mumbai"
"Ajanta Pharma Ltd","+ 91  022 53029215","3.9","473","Kandivali West","Mumbai"
"Central Police Station","+ 91  025156771700","","","Ulhasnagar No 3","Mumbai"
"Tech Mahindra Business Services Ltd","+ 91  22 5660311","3.9","1667","Malad West","Mumbai"
"Sharayu 2 Wheelers Pvt Ltd (Workshop)","+ 91  22 13715246","3.7","1826","Panvel","Mumbai"
"Novelty Chemist","+ 91  022 57806581","4.2","22","Bandra West","Mumbai"
"Zee Entertainment Enterprises Ltd (Corporate & Registered Office)","+ 91  022 97561576","4.0","3496","Lower Parel","Mumbai"
"Noxa Engg Works","+ 91  022 64375975","","0","Sakinaka","Mumbai"
"5 Spice (Closed Down)","","4.0","8487","Oshiwara","Mumbai"
"Digital Radio Mumbai Broadcasting Ltd","+ 91  022 36409171","4.0","795","Lower Parel","Mumbai"
"Novelty Chemist","+ 91  022 2060145","4.2","22","Bandra West","Mumbai"
"Alfa","+ 91  022 85057402","4.0","14779","Vile Parle West","Mumbai"
"Wockhardt Ltd (Corporate Office)","+ 91  022 60204467","4.1","540","Bandra Kurla Complex-bandra East","Mumbai"
