"Name","Phone","Rating","Votes","Locality","City"
"Pharma Asia Distributor","+ 91  22 8939467","3.6","5","Kalbadevi","Mumbai"
"The Pharma Hub","+ 91  9193088357","5.0","2","Marol Naka-Andheri East","Mumbai"
"Pharma Placement","+ 91  22 51691921","3.3","16","Kandivali East","Mumbai"
"Pharma Ucb India Pvt Ltd","+ 91  9892045353","3.5","2","Prabhadevi","Mumbai"
"Pharma Ucb India Private Limitrd","+ 91  22 68075202","","0","Lower Parel","Mumbai"
"Pharma N Pack","+ 91  8474828782","3.5","9","Thane West","Mumbai"
"Pharma Placement","+ 91  22 54118681","3.3","16","Kandivali East","Mumbai"
"Pharma Secure Pas India Pvt Ltd","+ 91  22 26143965","","0","Andheri East","Mumbai"
"Pharma N Pack","+ 91  8496178847","3.5","9","Thane West","Mumbai"
"Pharma Placement","+ 91  22 84842017","3.3","16","Kandivali East","Mumbai"
"Pharma Access","+ 91  22 84747099","4.6","43","Andheri West","Mumbai"
"Pharma Placement","+ 91  22 69501346","3.3","16","Kandivali East","Mumbai"
"Pharma Asia Distributor","+ 91  22 24473400","3.6","5","Kalbadevi","Mumbai"
"Pharma Vision Pvt Ltd","+ 91  22 40294869","4.3","8","Andheri East","Mumbai"
"Pharma Asia Distributor","+ 91  22 39864774","3.6","5","Kalbadevi","Mumbai"
"Pharma Ucb India Private Limitrd","+ 91  22 35241939","","0","Lower Parel","Mumbai"
"Pharma Vision Pvt Ltd","+ 91  22 38386006","4.3","8","Andheri East","Mumbai"
"Pharma Secure Pas India Pvt Ltd","+ 91  22 58721230","","0","Andheri East","Mumbai"
"Pharma Secure Pas India Pvt Ltd","+ 91  22 73750","","0","Andheri East","Mumbai"
"The Pharma Hub","+ 91  9141872053","5.0","2","Marol Naka-Andheri East","Mumbai"
"Pharma Asia Distributor","+ 91  22 50465125","3.6","5","Kalbadevi","Mumbai"
"Pharma Ucb India Private Limitrd","+ 91  22 52127469","","0","Lower Parel","Mumbai"
"Pharma Ucb India Pvt Ltd","+ 91  9874607357","3.5","2","Prabhadevi","Mumbai"
"Pharma Packaging Technology","+ 91  9934692915","3.0","1","","Mumbai"
"Pharma Ucb India Private Limitrd","+ 91  22 98227091","","0","Lower Parel","Mumbai"
"Pharma Packaging Technology","+ 91  9957292894","3.0","1","","Mumbai"
"Pharma Ucb India Pvt Ltd","+ 91  9841011088","3.5","2","Prabhadevi","Mumbai"
"Pharma Ucb India Private Limitrd","+ 91  22 55325994","","0","Lower Parel","Mumbai"
"Pharma Placement","+ 91  22 12429353","3.3","16","Kandivali East","Mumbai"
"Pharma Packaging Technology","+ 91  9977859850","3.0","1","","Mumbai"
"Pharma N Pack","+ 91  8478690129","3.5","9","Thane West","Mumbai"
"Pharma Access","+ 91  22 65597971","4.6","43","Andheri West","Mumbai"
"Pharma N Pack","+ 91  8482913010","3.5","9","Thane West","Mumbai"
"Pharma Secure Pas India Pvt Ltd","+ 91  22 35918790","","0","Andheri East","Mumbai"
"The Pharma Hub","+ 91  915150348","5.0","2","Marol Naka-Andheri East","Mumbai"
"Pharma Vision Pvt Ltd","+ 91  22 65388819","4.3","8","Andheri East","Mumbai"
"Pharma Access","+ 91  22 43107173","4.6","43","Andheri West","Mumbai"
"Pharma Vision Pvt Ltd","+ 91  22 58010281","4.3","8","Andheri East","Mumbai"
"Pharma Ucb India Pvt Ltd","+ 91  9855788799","3.5","2","Prabhadevi","Mumbai"
"The Pharma Hub","+ 91  9127708721","5.0","2","Marol Naka-Andheri East","Mumbai"
"Pharma Access","+ 91  22 13164901","4.6","43","Andheri West","Mumbai"
"Pharma Vision Pvt Ltd","+ 91  22 66059812","4.3","8","Andheri East","Mumbai"
"Pharma N Pack","+ 91  8442362195","3.5","9","Thane West","Mumbai"
"The Pharma Hub","+ 91  9179556560","5.0","2","Marol Naka-Andheri East","Mumbai"
"Pharma Ucb India Pvt Ltd","+ 91  9877638425","3.5","2","Prabhadevi","Mumbai"
"Pharma Packaging Technology","+ 91  9984487357","3.0","1","","Mumbai"
"Pharma Access","+ 91  22 9348653","4.6","43","Andheri West","Mumbai"
"Pharma Packaging Technology","+ 91  9948986347","3.0","1","","Mumbai"
"Pharma Asia Distributor","+ 91  22 76180933","3.6","5","Kalbadevi","Mumbai"
"Pharma (India)","+ 91  22 45911233","4.4","5","Ghansoli","Mumbai"
