"Name","Phone","Address"

"British House Language School ...","+ 91  183 5015105",""
"WE CAN IELTS CENTRE","+ 91  9878629807",""
"Sacred institute","+ 91  9888760468",""
"Spectrum World Of Education","+ 91  9779412766",""
"R.K. INSTITUTE ISO CERTIFIED","+ 91  8968500546",""
"smart carriers","+ 91  9911660821",""
"We Can IELTS CENTRE","+ 91  9803264646",""
"Purti Tutorials","+ 91  9646056262",""
"X-CEL ACADEMY","+ 91  9780372189",""
"Radiance Institute","+ 91  183 5080005",""
"Superflyrz Institutes","+ 91  183 6504000",""
"Behal Academy","+ 91  7508462558",""
"Divine Education Consultant","+ 91  183 5006971",""
"Toppers Academy","+ 91  183 5067569",""
"Green Planets","+ 91  183 2423252",""
"Ybrant International","+ 91  8437407007",""
"Ess Education Pty Ltd","+ 91  8054145110",""
"The Remedies English For The R...","+ 91  9988839484",""
"The Path To Success","+ 91  1858 243344",""
"Ielts Zone","+ 91  171 2441051",""
"Brilliant Coaching Centre","+ 91  8054027747",""
"Unique Institute","+ 91  9988760233",""
"S V Education Centre","+ 91  9855527560",""
"Instituteof British And Americ...","+ 91  9876534353",""
"Cool Kidz Wear","+ 91  183 5093334",""
"Davesar Consultants","+ 91  183 5015455",""
"Webberz International","+ 91  183 2211975",""
"TIME Institute","+ 91  183 2401818",""
"Elixir","+ 91  183 5011616",""
"Nova English Campus","+ 91  183 5010438",""
"Native English Planet","+ 91  183 5093123",""
"Need India Career Institute","+ 91  8437860605",""
"Nova Overseas Solution","+ 91  8195851666",""
"Apex Ielts Experts","+ 91  9417703115",""
"Mak Institute","+ 91  183 6555516",""
"Success English Academy","+ 91  183 5011199",""
"Boarding Pass Consultancy Pvt Ltd","+ 91  183 5063442",""
"Creative I Technologies","+ 91  183 5060488",""
"Tuli s The Academy","+ 91  9888808693",""
"West champion academy","+ 91  8968421420",""
"Excelsior Academy","+ 91  183 5018499",""
"Bright Future Acadamy","+ 91  9653418755",""
"Shah E Meera Institute","+ 91  183 5097932",""
"Pegasus Institute","+ 91  183 5093334",""
"RITS ( Rudhra Institute of ...","+ 91  9872863981",""
"Arora Group Of Institutes","+ 91  183 5097487",""
"Gobind Academia","+ 91  183 5065379",""
"IXORA ACADEMY","+ 91  183 5097035",""
"Cherish Education Centre","+ 91  9814827794",""
"Vibgyor Education, The Engl...","+ 91  183 2562922",""
"A2E Academy","+ 91  9216780780",""
"Aventurine","+ 91  183 2530011",""
