"Name","Phone","Address"

"Jolly Pharma","+ 91  9855776711","Amritsar - 143001"
"SHIVA PHARMA","+ 91  9872815928","Jinda wala chowk, Amritsar - 143001, I/s Hakima gate"
"Rajat Pharma","+ 91  183 2275883","Shop No 6a, Amritsar - 143001, Dhan Dhan Guru Ram Dass Market, Kucha Dal Khana, Katra Sher Singh"
"Punjab Drug House","","Hall Bazar, Gandhi Bazar, Amritsar - 143006, Opp. Masjid"
"Sahni And Sahni Pharma Distrib...","","Katra Sher Singh, Katra Sher Singh, Amritsar - 143006"
"Ganpati Pharma","+ 91  183 5010006","Katra Sher Singh, Katra Sher Singh, Amritsar - 143006"
"A. B. Pharma","","Katra Sher Singh, Katra Sher Singh, Amritsar - 143006"
"Saubhagya Pharma Agencies","+ 91  183 5063315","Katra Sher Singh, Amritsar - 143006, Kucha Dai Khana"
"Fair Pharma","","Katra Sher Singh, Katra Sher Singh, Amritsar - 143006"
"Care N Cure Pharma","+ 91  183 2580059","Plot Number- 373 A, Mohan Nagar, Amritsar - 143006, Near Sand Market, East Mohan Nagar"
"Indra Sehgal Pharma","+ 91  183 5008648","Katra Sher Singh, Katra Sher Singh, Amritsar - 143006"
"YOG Ratan Pharma","+ 91  183 2534851","Katra Sher Singh, Katra Sher Singh, Amritsar - 143006"
"Rameshwar Pharma","","Katra Sher Singh, Katra Sher Singh, Amritsar - 143006"
"S.P. Pharma","","1st Floor, Dav College Parking, Katra Sher Singh, Amritsar - 143006, Katra Sher Singh"
"Shri Gee Vet Pharma","+ 91  183 5014993","Super Market,Furniture Bazar,Near Gain Lassi Wala,Kt.sher Singh,Amritsar., Katra Sher Singh, AMRITSAR - 143006"
"SHIVAM PHARMA","+ 91  9417012120","house no.58, krishna square-3, Amritsar - 143001, celebration mall"
"Yorks Pharma","+ 91  183 2711880","Fatehgarh Churian Road, Amritsar Bus Stand, Amritsar - 143001, Near Brindaban Garden,,21milestone"
"Westerm Drugs","+ 91  9872274746","61, Bhandari Bridge, Amritsar - 143001, Hathi Gate Amritsar,Nr Durgyana Mandir"
"Med Fox Pharma Pvt Ltd","+ 91  183 2580925","423, Amritsar - 143001, Focal Point"
"Alpha Drug India LTD","+ 91  183 2541668","Sco 18, Sector- 26 Chandigarh, Amritsar - 143001"
"Approach Pharma","+ 91  9217728400","39, Chaudhary Plaza, Amritsar - 143001, Nr Nandan Cinema"
"Mahaveer Pharma","+ 91  9814802314","No-60-B, Rani Ka Bagh, Rani Ka Bagh, Amritsar - 143001, Amritsar"
"Pharma Machines & Polymers","+ 91  183 2588373","228, Mehta Rd, Amritsar - 143001, Focal Point"
"Garg Pharma","+ 91  183 2556875","Amritsar - 143001"
"Om Pharma","+ 91  183 2425342","Katra Sher Singh, Amritsar - 143001, Telephone Exchange"
"Shakti Pharma","+ 91  183 2542509","Katra Sher Singh, Amritsar - 143006"
"Amit Pharma","+ 91  183 5005168","Katra Sher Singh, Amritsar - 143006"
"Arun Pharma","+ 91  183 3093763","Katra Sher Singh, Amritsar - 143006"
"Sonu Pharma","+ 91  183 5063425","Katra Sher Singh, Amritsar - 143006"
"Bio Pharma","+ 91  183 2551035","Katra Sher Singh, Amritsar - 143006"
"Modern Drug House","+ 91  183 2550186","Modern Drug House, Katra Sher Singh,Amritsar, Amritsar - 143001"
"Native Drugs P LTD","+ 91  183 2263545","Plot Number 30, Batala Road, Vijay Nagar, Amritsar - 143001"
"Anmol Pharma","+ 91  183 5005044","near himayal dhaba, raja markit, Katra Sher Singh, Amritsar - 143006, Hall Bazar"
"Shri Kesari Nandan Pharma","+ 91  183 2533038","shop no 5.,, Kucha Dai Khana, Katra Sher Singh, Amritsar - 143006, near Kapoor Market katra sher singh"
"Vee Bros Pharma","+ 91  183 5093235","2078/2, Himalaya Dhaba, Katra Sher Singh, Amritsar - 143006, Kucha Dalghana,Near Doctore Sohan Eye Hospital"
"Shushil Chandra & Mehra Drug","+ 91  183 2501888","House-B-309, Ranjeet Avenue, Amritsar - 143006"
"Gmk Pharma","+ 91  9878664400","Katra Sher Singh, Katra Sher Singh, Amritsar - 143006"
"Dhamus Pharma","+ 91  183 5067250","Shop No 1-2, Harman Market, Katra Sher Singh, Amritsar - 143006"
"M B Pharma","+ 91  183 2558428","Partap Street, Majitha Mandi, Amritsar - 143006, Near Goverdhan Mandir"
"Subash chandan sharma","+ 91  9988501624","I/s hakima gate, Hakima Gate, Amritsar - 143006, Chaura bazar"
"Piyush Pharma","+ 91  183 2542157","katra sher singh, Katra Sher Singh, Amritsar - 143006, Near Khera Collage,Kucha Dai Khana"
"Native Drugs (P) LTD.","+ 91  183 2263544","Majitha Bye Pass Road ,, Majitha Bye Pass Road ,, Khanna Ngr Amritsar, Amritsar - 143004, P.o. Khanna Nagar"
"Pharma Sales","+ 91  1858 2544619","1350/10, Kucha Dal Khana, Raja Sansi, Amritsar - 143101"
"Narang Pharma","+ 91  9864651654","Katra Sher Singh, Raja Sansi, Amritsar - 143101"
"Bawa Drug House","+ 91  183 2542795","499, Majith Mandi, Majitha, Amritsar - 143601"
"N B Pharma","+ 91  9855193312","Taylor wali gali, rayya, Amritsar - 143112, near railway line"
"Eden Drugs Pvt Ltd","+ 91  183 2272582","13, Batala Road,"
"prime pharma,","+ 91  9988037550","kA /1, KRISHNA NAGAR, Amritsar - 143002, TARANTARAN ROAD"
"Om Pharma","+ 91  9888280239","Om Pharma, Amritsar - 143002, Infront Of Gate No-3 Telephone Exchange"
"Whiteline Pharma","+ 91  7432594170","Amritsar - 143002, Near Indra Palace Cinema"
"Raj Pharma","+ 91  183 2720558","Sco-165-69, Sec-9-C,, Amritsar - 143002"
"Native Drugs Pvt Ltd","+ 91  183 2263543","Silver Estet, Amritsar - 143002"
"Himalchal Durg Pharma","+ 91  9021654654","Bz, Gandan Wala, Amritsar - 143002"
"Ess Pee Pharma Agencies","+ 91  183 2557867","1347, Katra Sher Singh Building, Amritsar - 143002"
"Vng Pharma","+ 91  9814572126","Shop No-2,1st Floor, Amritsar - 143002, Swami Market,Katra Sher Singh"
"Vishal Pharma Sales","+ 91  183 2544612","Shop Number- 1348/10, katra shersingh Kucha Daikhana amritsar, Amritsar - 143001, Kucha Daikhana"
"Astro Chandan Sharma","+ 91  9815506226","# 50, Sadar Bazar, Amritsar - 143002, Backside Mandir Shri Radha Krishan,"
"Sajan Herbs Pharma","+ 91  9356030161","Ram Tirath Road, Amritsar - 143002, Opposite DTO Office"
"r.s medi pharma","+ 91  183 5068282","15 haram market, katra sher singh, Amritsar - 143002"
"ZABI PHARMA","+ 91  9888333878","KUMAR MARKET SHOP NO. 4, KATRA SHER SINGH, Amritsar - 143002, MEDICINE MARKET"
"chirgan pharma","+ 91  9814004181","shop no 18 1st floor, harman mkt katra shersingh, Amritsar - 143002, harman mkt"
"Upjohn Pharma","+ 91  9876040403","Main bazar, Partap nagar, Amritsar - 143002, g.t road"
"A P Pharma","+ 91  183 2558089","No.5, Harman Market,, Amritsar - 143001"
"Shrijan Pharma","+ 91  9814004181","Amritsar - 143001"
"Dhananjay Pharma","+ 91  183 2291440","No.6, G R D Market,, Amritsar - 143001"
"V P Rogantak Pharma","+ 91  183 5016057","106, Tilak Nagar, Amritsar - 143001"
"Humed Pharma","+ 91  183 2560377","No.A-3, Canal Road, Amritsar - 143001"
"Cure Pharma","+ 91  9815262376","41- Industrial Estate, P.O. Rayon & Silk Mills, Chheharta, Amritsar - 143001"
"The Jain Homoeopathic Pharma","+ 91  183 2556777","Mahna Singh Road, Amritsar - 143001, Nr Jallianwala Bagh"
"Radhika Pharma Distributors","+ 91  183 2210213","379, Gali Number-2, Amritsar - 143001, Model Town Near Amandeep Hospital"
"Chohan Pharma","+ 91  183 5006821","No.5, B D Market,, Amritsar - 143001"
"Great Pharma","+ 91  9815268354","Amritsar - 143001, Kucha Dal Khana, Katra Sher Singh"
"Shree Ram Pharma","+ 91  183 2549264","Amritsar - 143001, Opposite Ramgarhia School, Cheel Mandi"
"Pandit Sh Chandan Sharma Jyotshi","+ 91  183 2403413","Radha Krishan Mandir ,Sadar Bazar Cant, Amritsar - 143001"
"Ayush Pharma","+ 91  183 2545197","Harman Market, Amritsar, Amritsar - 143001"
"Aman Jyothi Drugs & Pharmaceut...","+ 91  183 2592115","115 Industrial Complex Goindwal Sahib, Amritsar - 143001"
"Arora Drug House","+ 91  183 2555807","18/77/6, Katra Sher Singh, Amritsar - 143001"
"Union Pharma","+ 91  183 2543686","Katra Sher Singh, Amritsar - 143006, Kucha Dai Khana,Near Hall Bazar"
"Sethi Pharma","+ 91  183 2543672","Shop Number-15, Katra Sher Singh, Amritsar - 143006, New Medicine Market"
"Sa Sanctifier Pharma","+ 91  9417277462","Shop No-3 1st Floor Swami Market, Katra Sher Singh, Amritsar - 143006"
"Sonu Pharma","+ 91  183 3243536","Shop No 4 Khanna Mkt Kucha Dai Khana, Katra Sher Singh, Amritsar - 143006"
"PUNJAB DRUG HOUSE","+ 91  9417079393","Shop 397/1, Hall bazar road, Hall Bazar, Amritsar - 143001, Near masjid"
