"Name","Phone","Address"

"Arihant Homoeo Pharmacy","+ 91  1883 244291","Mukerian, Hoshiarpur - 144211, Opp. Bus Stand"
"Arihant Sales Corp","+ 91  9814366151","Near Jaja Chowk, Hoshiarpur - 146001, New Grain Market, Tanda Dist Hoshiarpur"
"Arihant Box Factory","+ 91  1882 245552","Heera Colony,, Opp Gyan Niketan Sr Model School, Hoshiarpur - 146001, Hoshiarpur,"
"Arihant Provision Store","+ 91  8557992105","D.C Link Road, Hoshiarpur - 146001, Near Sanjeevani Lab"
"Arihant Sales Corp","+ 91  9814366151","New Grain Market, Tanda, HOSHIARPUR - 144204, Near Ja Ja Chowk"
"Kishore Homoeo Pharmacy","+ 91  1882 247357","Hoshiarpur - 146001, Kotwali Bazar"
"Surma Kanwal Pharmacy","+ 91  1882 245573","Hoshiarpur - 146001, Sheesh Mehal Bazar"
"Jiwan Data Pharmacy","+ 91  1882 241995","B-14/339, Street No 3, Hoshiarpur - 146001, Parhlad Nagar, Near Tf 234339"
"kalyan pharmacy (ayurvedic med...","+ 91  1882 505055","kalyan, kotwali bazar, Hoshiarpur - 146001, opp. verma jewellers"
"Mittra Ayurvedic Pharmacy","+ 91  1882 223321","Flat No 235, Hoshiarpur - 146001, Near Kacha Toba, Moulvian"
