"Name","Phone","Address"

"Shah E Meera Institute","+ 91  183 5097932",""
"Gobind Academia","+ 91  183 5065379",""
"Webberz International","+ 91  183 2222459",""
"Vibgyor Education, The Engl...","+ 91  183 2562922","R.B.K.C. Tower, Opp. St. Francis School, Amritsar - 143001, Mcleod Road, Rani Ka Bagh"
"IXORA ACADEMY","+ 91  183 5097035",""
"Sterling Studies","+ 91  9815554371",""
"Boarding Pass Consultancy Pvt Ltd","+ 91  183 5063442",""
"English World","+ 91  183 5008999","Sco 27, Second Floor, District Shopping Complex, Ranjeet Avenue Block B, Amritsar - 143001, Above VLCC"
"VETA","+ 91  183 3221024",""
"Nova English Campus","+ 91  183 5010438",""
"Native English Planet","+ 91  183 5093123",""
"Pegasus Institute","+ 91  183 5093334",""
"Davesar College Of Sciences","+ 91  183 2275455",""
"TIME Institute","+ 91  183 2401818",""
"Gagan Malls","+ 91  183 2502800",""
"British Counselling & Educatio...","+ 91  183 2504426",""
"Easy Learning Centre","+ 91  183 2421595",""
"Tuli s The Academy","+ 91  9888808693",""
"New Zealand School Of English","+ 91  183 6050007",""
"The English Zone","+ 91  183 5095073",""
