"Name","Phone","Address"

"Mapple The Salon","+ 91  183 5051376",""
"Fitness Hangover","+ 91  7529000057",""
"La Thai Spa","+ 91  183 5050071",""
"Dr Abrol Clinic","+ 91  9878039127",""
"The Thai Spa","+ 91  183 5012259",""
"Dhruv Massage","+ 91  8054348948",""
"Aura Thai Spa","+ 91  9988676864",""
"Aura Medi Spa","+ 91  7499374993",""
"Beauty Hub","+ 91  183 5050978",""
"Vlcc","+ 91  183 5066601",""
"Hong Kong Body Massage Center","+ 91  183 5051104",""
"emms salon & spa","+ 91  9779009698",""
"Sparsa Healing Touch","+ 91  9814860540",""
"The Crown Studio","+ 91  183 5060353",""
"Rohnit Massage","+ 91  9478090714",""
"FPARADISE DAY SPA BEAUTY SALOO...","+ 91  183 5050977",""
"BEAUTY CAFE FAMILY SALOON & SP...","+ 91  183 5070107",""
"The Beauty Secret Day Spa Salo...","+ 91  183 5002432",""
"DEEP BEAUTY PARLOUR","+ 91  9878209056",""
"Hairs Inn Designer Salon","+ 91  183 5070299",""
"M B Salon","+ 91  9988222432",""
"La Bella Spa n Salon","+ 91  183 5013900",""
"Rocking Body Massage","+ 91  9888252564",""
"CHINA BEAUTY SALOON","+ 91  8054660711",""
"QUEENS BEAUTY PARLOUR","+ 91  9888479711",""
"uniquestyles.in","+ 91  9646461559",""
"REFLEXOLOGY BEAUTY ACADEMY & L...","+ 91  9653919191",""
