"Name","Phone","Address"

"KAIRON JEWELS","+ 91  183 5009953","shop no- 2 street num. - 1, sultanwind road,sultanwid, Amritsar - 143001, opp guru amardass dairy"
"Swaran Rachna jewels","+ 91  9855771116","Shop no. 113, ganpati tower, Lawrence road, Amritsar - 143001"
"Vishal Gems & Jewels PVT LTD","+ 91  183 2546769","Amritsar - 143001, Katra Mohan Singh"
"Reliance jewels","+ 91  183 2400250","Shop No-1 & 2, Upper Ground Floor, Srk Mall, Plot No-14, Mall Road, Amritsar - 143001, Near Passport Office"
"G C Madan Mohan Jewels","+ 91  183 5017555","211, Basant Avenue, Amritsar - 143001, Near Ajanta Public School"
"Mahajan cosmetics &jewel centre","+ 91  8054552264","495,Basant Nagar, Mall Road, Joshi Nagar, Amritsar - 143001, Near sehaj enclave"
"RAMESH DIAMONDS JEWELS","+ 91  183 2226639","60, Ground Floor, Nehru Shopping Complex, Lawrence road, Lawrence Road, Amritsar - 143001, Near novelty chowk"
"Jewel hut","+ 91  9815398788","Shop no 3, Street no 1/A, Amritsar - 143001, Dayanand nagar,lawrence road"
"Gitanjali Jewels Gold & Precious","+ 91  183 2224466","C/O The Mall, Shop No-4,LG Eminent Mall, Amritsar - 143001"
"V K Jewels","+ 91  9501933999","Shop Number-4, Amritsar - 143001, Ruby Market Guru Bazar, Near Golden Temple"
"Orro Jewels","+ 91  9814072307","House No-49b, Amritsar - 143001, Gate Hakimawala,Nr Sidhu Gas Agency,Roop Ngr"
