"Name","Phone","Address"

"Jasbir tyre house","+ 91  9988083985","Shop no 21, Tyre market, Amritsar Bus Stand, Amritsar - 143001, Opp.idh market"
"K D Tyre Shopee","+ 91  7508811313","Shop Number 3-10, Batala Road, Krishna Square, Amritsar - 143001, Near Celebration Mall"
"K S TYRE","+ 91  9780779984","Shop no 19-20, Tyre market, Amritsar - 143001, Mahan singh gate"
"Satjot Wheel Care","+ 91  9872857499","Vijay Nagar , Main Batala Road, Amritsar - 143001, Near HDFC Bank"
"G D MOTORS","+ 91  9646429125","Kabir park market, Amritsar - 143001, Opp.sandhu colony"
"Guru Nanak Tyres","+ 91  9876644394","Shop No 10,12, OUTSIDE HALL GATE, Amritsar - 143001, Opp. Sagar Hotel"
"Kashmir tyre","+ 91  7837699413","Baba phulla singh market, Amritsar Bus Stand, Amritsar - 143001, Opp.shera wala gate"
"RAGHU TYRE HOUSE","+ 91  9417014957","SHOP NO c-6,c-7, opposite IDH market, Amritsar Bus Stand, Amritsar - 143001"
"Gurbachan Tyre Works","+ 91  9988678251","Shop No 24-25-26, Mahan singh gate, Amritsar Bus Stand, Amritsar - 143001, Opp.idh market"
"SHAM TYRE HOUSE","+ 91  9914369701","SHOP NO 31-32, OLD TYRE MARKET, Amritsar Bus Stand, Amritsar - 143001, MAHAN SINGH GATE"
"Yamha Sharma Brother","+ 91  9888548736","Oustside Hall Gate, Amritsar - 143001, Opposite Hotel Revoli"
"Satkartar Enterprises","+ 91  8437767367","9- B, Link plaza market, Hall Bazar, Amritsar - 143001, Sarai sant ram, o/s hall gate"
"National tyre","+ 91  9988774880","Shop no 10 A, Court road, Amritsar - 143001, Omega tower"
