"Name","Phone","Address"

"Goni Khad Store","+ 91  9815788058",""
"Malkeet Kheti Store","+ 91  9815383873",""
"Ram Lubaia Seed Store","+ 91  9876102829",""
"flower point","+ 91  183 2562323",""
"Kisan Khad Centre","+ 91  183 2773401",""
"Jasbir international","+ 91  9988090959",""
"Heiran Waleya di hatti","+ 91  9888354878",""
"New Holland Authorised Dealer","+ 91  183 2705503",""
"Rana seed Store","+ 91  1853 245308",""
"Kissan Beej Bhandar","+ 91  9463335060",""
"Friends Agro Chemicals","+ 91  183 2547375",""
"New Bal Kheti Store","+ 91  9872793394",""
"Josan Nursery","+ 91  183 2587125",""
"Modern Pesticides & Sprayers","+ 91  9417241676",""
"Sandhu Kheti Store","+ 91  9988285522",""
"Jatinder Pal Singh Romi","+ 91  9815820786",""
"Kisan Kheti Store","+ 91  9915292289",""
"VINOD KUMAR AGGARWAL & CO.","+ 91  9872628382",""
"R.L.Seed Company","+ 91  9872622829",""
"Ramesh Seed Store","+ 91  9779773163",""
"Takkar & Company","+ 91  9855300029",""
"MODERN KHETI CENTRE","+ 91  9417509655",""
"Hundal Seed Farm","+ 91  8427255533",""
"Basarke Kheti Store","+ 91  9876618067",""
