"Name","Phone","Address"

"JMJ Jewellers Pvt Ltd","+ 91  141 3380994",""
"PC Jeweller Limited","+ 91  141 3305094",""
"P V Jewellers & Sons S","+ 91  141 3386324",""
"S R Jewellers","+ 91  141 2579995",""
"Geet Jewels","+ 91  141 3309648",""
"Jewlz By Neelam Modi","+ 91  141 3326507",""
"Jagdamba Jewellers","+ 91  141 3305507",""
"Roop Laxmi Jewellers","+ 91  141 3309776",""
"Vaishali Jewellers","+ 91  141 3305491",""
"PSJ Jewellers Pvt Ltd","+ 91  141 3387112",""
"Motisons Jewellers","+ 91  141 4160000",""
"Aabhash Jewellers","+ 91  141 3309602",""
"Soni Rameshwar Churiwala","+ 91  291 2627514",""
"Aurangabadkar Jewellers Mot...","+ 91  217 2626280",""
"Kalyan Jewellers","+ 91  141 2378333",""
"Shoppers Stop","+ 91  141 4501600",""
"Silver House","+ 91  9829014982",""
"Tanishq","+ 91  141 4042063",""
"Hypercity Retail India Ltd","+ 91  141 5156846",""
"Amrapali Jewels Pvt Ltd","+ 91  141 2377940",""
"Surana Jewellers Of Jaipur","+ 91  141 2364534",""
"Jkj & Sons Jewellers","+ 91  141 5103541",""
"J K J & SONS JEWELLERS","+ 91  141 5103540",""
"Birdhichand Ghanshyamdas Jewel...","+ 91  141 2379228",""
"M B Sons India","+ 91  141 2368218",""
"Motisons Jewellers Ltd","+ 91  141 4150000",""
"Nandkishore Meghraj Jewellers ...","+ 91  141 2373498",""
"Mahalaxmi Jewellers","+ 91  141 2320320",""
"Kalyan Fancy Jewellery Store","+ 91  141 2574121",""
"Jkj & Sons Jewellers","+ 91  141 4003540",""
"Shri Kalyan Jewellers","",""
"Miss India Old Silver","+ 91  141 2371414",""
"Derewala Jewellery Ind","+ 91  141 2770749",""
"SKJ A Complete Jewellery Store","+ 91  141 4005001",""
"Kiran Fine Jewellers Pvt Ltd","+ 91  141 4355555",""
"Rambhajo Jewellers","+ 91  141 2575812",""
"Reliance Gems & Jewellery","+ 91  141 2363372",""
"Gauri Ke Gahne","+ 91  141 2708672",""
"G N Gold","+ 91  141 2389011",""
"Surana Jewellers","+ 91  141 2761985",""
"Dinesh soni","+ 91  9828284101",""
"Gem Palace","+ 91  141 2374175",""
"Vaibhav Global Limited","+ 91  141 2770648",""
"Rambhajo Jewellers Johari Bazar","+ 91  141 2560812",""
"Bhuramal Rajmal Surana Mfrs","+ 91  141 2570429",""
"Vikas Jewellers","+ 91  141 4069333",""
"Rasav jewels","+ 91  141 4025021",""
"Umrao Jewels","+ 91  141 2314717",""
"Mittal Jewellers","+ 91  141 2575679",""
"Shree Jee Jewellers","+ 91  141 2371444",""
"Rukmani Jewellers","+ 91  9001896145",""
"K.V. JEWELLERS (P) LTD.","+ 91  141 2568519",""
"Moti&Sons","+ 91  141 2566879",""
"Gua Japan","+ 91  9929999517",""
"Shree Nath Jewels","+ 91  141 2703100",""
"Aneesh Jewellers Pvt Ltd","+ 91  141 2379234",""
"D K Jewellers","+ 91  9928272899",""
"Av jewellers","+ 91  141 5156707",""
"Paliwal Jewellers","+ 91  141 5127652",""
"Jewel Ace International","+ 91  141 5115050",""
"Gitanjali Jewellerys","+ 91  141 2600500",""
"Amrapali Jewels","+ 91  141 3250544",""
"Midas Designer Jewellery Store","+ 91  141 2361395",""
"Brij Gems","+ 91  141 2567460",""
"M K Jewellers","+ 91  141 2562676",""
"Khandaka Jain Jewellers","+ 91  9829076395",""
"MDK JEWELLERS","+ 91  141 2575519",""
"925 Silver","",""
"Silver Emporium","+ 91  141 2368708",""
"Shri Shyam Baba Jewellers","+ 91  141 4048741",""
"Tatiwala Jewels Emporium","+ 91  141 2566263",""
"Shri Jewellery Mart","+ 91  141 2364908",""
"Dwarkas Jewellers","+ 91  141 2369432",""
"Silver & Art Palace","+ 91  141 2635686",""
"Gallant Jewellery","+ 91  141 2377592",""
"D K Jewellers Kanwar NGR","+ 91  141 2635444",""
"Jaipur Gems & Jewellerys","+ 91  141 2466404",""
"Derewala Jewellery Industries","+ 91  141 2378017",""
"Gold Sukh Trade India Ltd","+ 91  9672385858",""
"Shri Gems Art Country","+ 91  9829028407",""
"Hansh Travels","+ 91  141 5110064",""
