"Name","Phone","Address"

"People For Animals","+ 91  512 22017172","Mansarovar Eye Hospital, Indira Nagar Lucknow, Lucknow - 208026, Opp. Akashwani"
"Madarsa Ahl E Sunnat Noorul Islam","+ 91  522 2326677","Akbar Nagar, Faizabad Road Maha Nagar, Lucknow, Faizabad Road, Lucknow - 226002"
"Rural Dental Society For Oral ...","+ 91  9411097515","Bulaki Adda, Talkatora Road, ,Lucknow, Bulaki Adda, Lucknow - 226004"
"Surabhi Anusandhan Sansthan","+ 91  522 3013657","Flat Number 3, Second Floor, 8 A / 2 Havlock Road Scheme, Mall Avenue, Lucknow Cantt, Lucknow - 226002"
"Navodaya Shiksha Prasar","+ 91  522 2207382","Plat No 1 Indrapuri Colony, Sitapur Road Lucknow, Sitapur Rd, Lucknow - 226021"
"Shaheed Asfaq Ulla Khan Memori...","+ 91  9936199215","Jindana Saura Lucnow, Lucknow - 226001"
"Research And Development Insti...","+ 91  522 2262803","Aman Vihar Colony, Behind Iram School, Lucknow, Lucknow - 226001"
"Rastiya Mahila Jagriti Sansthan","+ 91  9336615071","Malka Geti Fatak, Baisiki Mazid, Lucknow, Baisi Ki Masjid, Lucknow - 226001"
"Prayassewasansthan","+ 91  522 2612055","127/3b Chaulakkhi Behind Nishat Cinema, B N Road Lucknow, B N Road, Lucknow - 226001"
"People For Animals - Lucknow","+ 91  522 2359416","D 2094,, Indira Nagar, Lucknow - 226001"
"Satya Welfare Society","+ 91  522 2236459","D-15,Park Lane, Hazratganj, Lucknow, Park Road, Lucknow - 226001, adj to apartment"
"Azad Yua Samiti","+ 91  8960276067","59/18 Kurmi Tola, ,Husainganj,Lucknow, Hussainganj, Lucknow - 226001"
"National Integration And Educa...","+ 91  522 4070610","165/162 Latt Kallan Aminabad Lucknow, Aminabad, Lucknow - 226018"
"Young Slam People Society","+ 91  9235520574","Sh-218, Lucknow Cantt, Lucknow - 226002, Shakti Nagar"
"Sudhar Sewa Evam Kalyan Samiti","+ 91  522 4076158","S-4, Basement, Vikasdeep Building, Station Road, Lucknow - 226002"
"Parmhansayoganandasocty For Sp...","+ 91  522 6545944","B - 503, Priyanka Apartments, Jopling Road, Lucknow, Jopling Road, Lucknow - 226001"
"Bakaai Educational And Muslim ...","+ 91  9415468669","Balda Road,Nishatganj,Lucknow, Nishatganj, Lucknow - 226006"
"Swarn Shikha Sewa Sansthan","+ 91  522 3216063","255/66, Kundri Rakab Ganj, Lucknow, Kundri Raqab Ganj, Lucknow - 226004"
"Prayash And Effort For Better ...","+ 91  522 2455886","A-6,Kulbhashkar Complex,, Latouche Road,Lucknow, Latouche Road, Lucknow - 226004"
"Mulla Ahmad Jeevan Memorial Ed...","+ 91  9335040634","Behind Husainabad Police Chowki, Husainabad Lucknow, Hussainabad, Lucknow - 226003"
"Rashtrya Samajik Vikas Sansthan","+ 91  9454510931","3/266, vinamra khand-3, Gomti Nagar, Lucknow - 226010, Near Amity University"
"Swatah Samridhi Mahila Utthan ...","+ 91  522 3297265","264 A Block Azad Nagar, Campwell Road Balaganj Lucknow, Azad Nagar, Lucknow - 226005"
"MAA Sewa Sansthan","+ 91  522 2348303","E-61, Sarvodya Nagar Lucknow, Sarvoday Nagar, Lucknow - 226016"
"Sparsh Sports Development Foun...","+ 91  522 2831385","Village Mirzapur Latava Post Harunni, Lucknow, Mirzapur Gaon, Lucknow - 226024"
"PRAM ELECTRICAL SANITARY","+ 91  9415798501","Shop no -34/145, Alambagh, Lucknow - 226005, Near sib bank atm"
"Regional Artisan And Femal Est...","+ 91  522 2358786","15/45, Indira Nagar, Lucknow, Indira Nagar, Lucknow - 226016, near play way montensary school"
"Rahi Samajik Sansthan","+ 91  9415530679","2067, Indira Nagar, Lucknow - 226016, Opposite Rani Laxmi Bai Inter College, Sector - 14"
"Sattvasoul Gsms","+ 91  522 2357954","Indira Nagar, Lucknow, Indira Nagar, Lucknow - 226016"
"Srishti Foundation","+ 91  522 2715920","Indira Nagar, Lucknow, Indira Nagar, Lucknow - 226016"
"MAA Pateshwari Jan Kalyan Samiti","+ 91  522 2960529","Lekraj Dolor Indira Nagar Lucknow, Indira Nagar, Lucknow - 226016"
"Paramvir Chakra Vijeta Amar Sh...","+ 91  522 4109283","18/531, Indira Nagar, Lucknow - 226016, Near Major Ritesh Sharma Park"
"Pragati Sansthan","+ 91  9721833300","24, Indira Nagar, Lucknow - 226016, Lohia Vihar, Sector-9"
"Society For Aid In Development","+ 91  522 2231769","308/2kh. Opp. D-1290 Indira Nagar, Lucknow, Indira Nagar, Lucknow - 226016"
"Jagriti Foundation","+ 91  522 2759955","2/635 Viksh Nagar Lucknow, Vikas Nagar, Lucknow - 226022"
