"Name","Phone","Address"

"NAME PLATE STAND","+ 91  8567007003","Ali Baksh Road, Amritsar - 143001, Kumar Hotel"
"Amristsar Taxi Service","+ 91  183 2229191","Amritsar Railway Station Road, Amritsar - 143001"
"Chawla Invertor Stand","+ 91  8054124370","Gt Road, Naraingarh, Amritsar - 143001, Chheharta"
"G S Khalsa Taxi Service","+ 91  8728990955","Flat- 10b, Amritsar - 143001, Ranjit Avenue"
"Ajay Taxi Service","+ 91  9988457857","Near Post Office, Gt Road, Amritsar - 143001, Chheharta"
"Amritpal Singh Bablu","+ 91  9803825000","35, Amritsar - 143001, The Mall"
"ARV Taxi Service","+ 91  9888302117","Plot number-8 a, 2 nd floor,queen complex, Amritsar - 143001"
"Yellow Plate Taxi","+ 91  183 5053045","Sco 35 Third Floor Deep Complex, Court Road, Amritsar - 143002, Near Doaba Auto"
"Prepaid Taxi Service(One Way P...","+ 91  9888535359","Ghanta Ghar Chowk, Golden Temple, Amritsar - 143006"
"taxi service amritsar","+ 91  9855028504","Opp. Khalsa Public School, GT Road, Near. Khalsa College Amritsar, Punjab, Putligarh, Amritsar - 143002"
"Bhai Chanda Singh Taxi Serv...","+ 91  9872204494","Shop Number 115, Chowk Malkabut, Golden Temple, Amritsar - 143006, Opposite Dharma Singh Market"
"Punjab Roadways","+ 91  183 2551734","Amritsar Bus Stand, Amritsar - 143001"
"State Bank Of India Opposite B...","+ 91  183 2560291","Amritsar - 143002, Bus Stand"
"Taxi Car Hire In Amritsar","+ 91  9915609085","Opp Railway Road, Amritsar - 143002, Railway Station, Goal Bagh"
"bhai chanda singh taxi service","+ 91  9803185108","Amritsar - 143002, golden temple"
"Jawala Tourist Taxi Service","+ 91  183 2213754","Shop No 14, 16, Goal Bagh Road, Amritsar - 143001, Opp Railway Station"
"Name Plate Stand","+ 91  9814491113","180 buil no rajindra nagar focal point backside alpha mall, Rajinder Nagar, Amritsar - 143001"
