"Name","Phone","Address"

"Dewars Wine Stores","+ 91  80 39627478",""
"Madhuloka The Liquor Boutique","+ 91  80 33052246",""
"SLR Spirits","+ 91  80 30119215",""
"THE LIQUOR STOR","+ 91  80 33531019",""
"My Spiritz My Mrp","+ 91  80 33569142",""
"Sams Wine Centre","+ 91  80 33057998",""
"Liquor Paradise","+ 91  80 33539373",""
"Wine Supply Depot","+ 91  80 30161096",""
"Metro Cash & Carry India Pvt Ltd","18602662010",""
"Metro Cash & Carry India Pvt Ltd","18602662010",""
"Madhuloka Liquor Boutique","+ 91  80 41606990",""
"Godrej Natures Basket","+ 91  80 41317401",""
"Godrej Natures Basket","+ 91  80 25207401",""
"Godrej Natures Basket","+ 91  80 23623401",""
"Godrej Natures Basket","+ 91  80 22487401",""
"Madhuloka Liquor Boutique","+ 91  9900022090",""
"Godrej Natures Basket","+ 91  80 25459401",""
"Madhuloka liquor boutique","+ 91  80 40935628",""
"Madhuloka Liquor Boutique","+ 91  9900055990",""
"Madhuloka Liquor Boutique","+ 91  80 22682120",""
"Liquar M","+ 91  9916889996",""
"Not Just Wine & Cheese","+ 91  80 41235643",""
"Spencers Supermarket","+ 91  80 25201025",""
"Slns Wine Paradise","+ 91  80 23637949",""
"Madhuloka Liquor Boutique","+ 91  80 28543838",""
"Cyber Wines","+ 91  80 22997466",""
"MRP WINES","+ 91  9972016755",""
"Crystal Wines","+ 91  9480732996",""
"Pink Berry","+ 91  9448018313",""
"John Distilleries Ltd","+ 91  80 28600630",""
"MSIL Liquor Shop","+ 91  8147804882",""
"R R Spiritz","+ 91  80 42189955",""
"Bhumi Spirit","+ 91  8197762735",""
"MSIL LIquor outlet","+ 91  9980231555",""
"M P Wine World","+ 91  80 23627444",""
"Scotch Yard","+ 91  80 23612093",""
"Anand wines","+ 91  9844707654",""
"Not Just Wine & Cheese","+ 91  80 41235644",""
"Shiva Manavi Enterprises","+ 91  80 41153411",""
"My Spititz My MRP","+ 91  8183974704",""
"HOUSE OF SPIRITS 3","+ 91  80 42003031",""
"MRP Wine World","+ 91  8867735367",""
"Sarovara Wines","+ 91  80 40959653",""
"Blue Land Wine Stores","+ 91  80 25297333",""
"SAM Wines & Spirits","+ 91  9844107490",""
"Sri Maruthi Wines","+ 91  9448057327",""
"Chandana Enterprises Liquor Bo...","+ 91  9902344726",""
"Orange spirit zone","+ 91  9844390143",""
"Sangria Wine Lounge","+ 91  9986667679",""
"Duty free","+ 91  80 66783606",""
"Sri Chowdeshwaris Wine & Spiri...","+ 91  80 26688745",""
"Wine World","+ 91  80 41632124",""
"Bhagini Spiritz","+ 91  80 42105170",""
"Blue Bird Wine Centre","+ 91  80 41126359",""
"English Wine Yard","+ 91  7406322838",""
"My Spiritz My MRP","+ 91  9731345807",""
"Ruby Wines","+ 91  80 41235676",""
"Fusion Wines","+ 91  80 65391122",""
"Bhagas Spirits","+ 91  9620214238",""
"Wine Yard","+ 91  80 22231043",""
"Olga Wines","+ 91  9902168387",""
"Madhuloka Wine Boutique","+ 91  80 50508118",""
"Castle Rock","+ 91  9632001113",""
"Madhuloka Liquor Boutique Pvt Ltd","+ 91  80 65791564",""
"CLASSIC WINE MART","+ 91  9480261083",""
"Just Blue I Spiritz","+ 91  80 41515493",""
"Heers","+ 91  80 26714499",""
"APR spirit zone","+ 91  8147742800",""
"Foodworld","180030008866",""
"The Wine Baron","+ 91  80 26694355",""
"20 20 The Wine World","+ 91  80 26426996",""
"Honey Drops Wines","+ 91  80 41104849",""
"Viras Bar and Restaurant","+ 91  9900479060",""
"Century Wines","+ 91  80 25520555",""
"Msil Liquor Outlet","",""
"Spirit Junction","+ 91  80 22583391",""
"Shalini Bar & Restaurant","+ 91  9632154051",""
"Honey Drops","+ 91  9008787909",""
"Muni Wines","+ 91  80 22213811",""
"Kinva Wine","+ 91  80 49535232",""
"Chord Road Wines And Spirits","+ 91  80 23119717",""
"Madhuloka","+ 91  8050508118",""
"My Spiritz MRP","+ 91  80 42008357",""
"Global Spirits","+ 91  80 28607467",""
"Aanand Wines","+ 91  9019496464",""
"Madhuloka","+ 91  80 49029590",""
"Metro Spirit","+ 91  80 65906030",""
"MADHULOKA WINE EXPRESS","+ 91  8105412151",""
"Srinivasa Wines","+ 91  9066035851",""
"Msil Liquor Outlet","+ 91  9980539767",""
"Swastik Wines & Spirits","+ 91  80 45320265",""
"John Distilleries Pvt LTd","+ 91  80 28608046",""
"New Golden Amulya Wines","+ 91  80 28461428",""
"Sula Vineyards","+ 91  80 23106712",""
"Spirits The One Stop Wine Shop","+ 91  80 41151555",""
"A V K Wine Palace","+ 91  80 25250087",""
"Wine Zone","+ 91  80 23528761",""
"Metro Wines","+ 91  9880720959",""
"Sudha Bar & restaurant","+ 91  8105740860",""
"Lakshmi Scotch Yard- Liquor St...","+ 91  80 26852585",""
"Harish Wines","+ 91  80 22242605",""
"Amrutha Loka M.R.P wine palace","+ 91  9591458133",""
"Karnataka Spirit World","+ 91  9902870097",""
"SLNS Wine Paradise","+ 91  80 23374701",""
"Not Just Wine & Cheese","+ 91  8041235642",""
"Green Park","+ 91  9880531845",""
"Scotch Yard","+ 91  80 41743700",""
"Venkateshwara Wines","+ 91  9980404238",""
"S S LIQUOR ZONE","+ 91  9916045158",""
"Keerthana Wines And Spirits","+ 91  80 41126874",""
