"Name","Phone","Address"

"Narayan consultancy","+ 91  9919871587","568/421 geeta palli, Alambagh, Lucknow - 226005, Near mazar"
"Birbal Sahani Institute Of Pal...","+ 91  9452753501","No. 53, Lucknow University, Lucknow - 226007, University Road, Lucknow"
"Agam Management Consultants","+ 91  522 4041226","3rd Floor, MG Road, Hazratganj, Lucknow - 226001, Halwasiya Market, Opposite SBI Zonal Office"
"Four Corners Overseas Consultancy","+ 91  522 3202280","311, Saran Chamber -2, Park Road, Hazratganj, Lucknow - 226001"
"Wealth Creation","+ 91  9453867661","Lucknow - 226001, Inidra Nagar"
"SSCO Management Services Priva...","+ 91  522 3069400","1/28D Brijend Khand, Gomti Nagar, Gomti Nagar, Lucknow - 226001, Near M J Grand"
"DREAM CONSULTANT","+ 91  9793468469","Hazratganj, Lucknow - 226001"
"Shweta Job And Educational Ser...","+ 91  9012476897","C-2, Building Ground Floor, Alambagh, Lucknow - 226005, Near City Hospital"
"SHREE RESOURCES","+ 91  522 4080421","lekhraj khazana, faizabaad road, Indira Nagar, Lucknow - 226016, Lekraj Khazana"
"VMV Services LLP","+ 91  9454471632","728, Katyayan Building, Bangla Bazar, Lucknow - 226002, Udyan 1, Near Udyan Health Care, Near Indian Oil Petrol Pump"
"Diksha Consultancy Servicees","+ 91  522 4113373","Tulsi Market, Bhoothnath Market, bhoothnath, Indira Nagar, Lucknow - 226016, Near Bhootnath Mandir"
"ZITRA GROUP","+ 91  9125503590","FIRST FLOOR, KARAN PLAZA, SECTOR I, Aashiyana, Lucknow - 226012, NEAR AASHIYANA CROSSING"
"Nu Aze Consulting Pvt Ltd","+ 91  522 4102494","B1/1, Aliganj, Lucknow - 226024, Sec- H, Nr Richi Rich Restaurant, Puraniya Chauraha"
"Chandeli software and manpower...","+ 91  7618836271","Rajshree complex, Ashiana Road, Aashiyana, Lucknow - 226012, Near power house chauraha"
"Dr C P Bajpai","+ 91  522 2356205","House Number-18/50, Indira Nagar, Lucknow - 226016, Sector 18,Near Dabble public school"
"ATI EDUCATION","+ 91  7275995110","Basement Hamid Complex, Ring Road, Khurram Nagar, Lucknow - 226022, Below Olympia Zym"
"Llchand Group","+ 91  9453856746","B-89, South City,Raibareilly Road, Nagar, Lucknow - 226016"
"N A GROUP OF COMPANIES","","SHOP NO-82, FAIZABAD ROAD, Indira Nagar Lucknow, Lucknow - 226016, NEAR MANJULA HOSPITAL"
"N A GROUP OF COMPANIES","+ 91  9118884317","SHOP NO-80 MARUTI PURAM, FAIZABAD ROAD, Indira Nagar Lucknow, Lucknow - 226016, NEAR MANJULA HOSPITAL"
"A F L Consultancy","+ 91  9792188105","I I M Road, Lda Colony, Lucknow - 226012, Hyatt Nagar, Opposite Power House, Near Jagarsh Park, Sitapur Byepass"
"Sunita consultancy","+ 91  9559632947","Devlok colony, Sarojni nagar, Kanpur Rd, Lucknow - 226012, Near green garden"
"Vinayak Consultants","+ 91  522 4078393","3/315, Gomti Nagar, Lucknow - 226010, Near Neelkanth Restaurant, Vivek Khand"
"Job Line Services","+ 91  522 4017819","537/141, Aliganj, Lucknow - 226006, Sec-K,Purania, Nr Purania Crossing"
"THE RIGHT WAY EDUCATION","+ 91  9999987759","Dilkash Plaza, Sitapur Road, Aliganj, Lucknow - 226024, Near Puraniya"
"CAVELIER CONSULTANCY","+ 91  8090619986","Uday tower, Amity rd, Gomti Nagar, Lucknow - 226010, Near KATHAUTA chauraha"
"Diksha Consultancy Services Pv...","+ 91  512 4113373","Shop no.-S-93 1ST FLOOR, Tulsi Market, Bhootnath Market, Indira Nagar Lucknow, Lucknow - 208026"
