"Name","Phone","Address"

"Sajivam Wellness","+ 91  80 25456545",""
"Trendjuvenate","+ 91  80 40915686",""
"Aurora Thai","+ 91  80 41109635",""
"Aurah Spa And Salon","+ 91  80 42043375",""
"Soul Ecstasy","+ 91  9886570683",""
"Trendz Pyramid Soul Spa","+ 91  80 41234431",""
"The Buddha Spa","+ 91  80 69999645",""
"Charisma Spa Pvt Ltd","+ 91  80 41313530",""
"Dew spa","+ 91  80 23124499",""
"Hair Do Salon And Spa","+ 91  80 25448677",""
"White Flower Ayurvedic","+ 91  9742860725",""
"Hair Do Salon And Spa","+ 91  7676355553",""
"Glamour Spa","+ 91  80 42114711",""
"Aiwas Unisex Spa","+ 91  9148667977",""
"Scissoors Unisex Saloon And...","+ 91  7259844863",""
"Picasso Unisex Salon Slimmi...","+ 91  80 65655909",""
"Ziva Spa","+ 91  9986511272",""
"Walk In Beauty","+ 91  80 41501220",""
"Kings N Queens Unisex Beaut...","+ 91  80 25220452",""
"Ayur Sanjeevnam","+ 91  80 40911312",""
"O2 Spa","+ 91  9247020202",""
"Knight Unisex Salon","+ 91  80 41232440",""
"Ora Regenesis Spa","+ 91  9130043772",""
"PRESENT TRENZ FAMILY SALON ...","+ 91  80 69999208",""
"Posh Salon","+ 91  9880796999",""
"Sanjeevini Body Massage","+ 91  7829203093",""
"The Thai Spa","+ 91  80 41736060",""
"Roots Spa","+ 91  80 23441974",""
"Signature Unisex Salon And Spa","+ 91  80 65597559",""
"Trendz Pyramid","+ 91  80 41234431",""
"Blanca Paloma","+ 91  80 40970033",""
"Tara Salon And Spa","+ 91  80 25524436",""
"Deborahs Frizzy Unisex Salon","+ 91  80 65655574",""
"Aryan Spa And Salon","+ 91  80 65394400",""
"Le Tranquille","+ 91  80 23609988",""
"Sensia Salon And Spa","+ 91  80 40944986",""
"Amazing Thai Salon And Spa","+ 91  80 23440014",""
"White Flower Ayurvedic","+ 91  80 32986661",""
"Amazing Salon And Spa","+ 91  80 42282008",""
"Ayurvedic Wellness Centre","+ 91  9980503388",""
"Soul Ecstasy","+ 91  9535571320",""
"Hair Do Salon And Spa","+ 91  9611194827",""
"Keisha Beauty Saloon And Spa","+ 91  80 25351303",""
