"Name","Phone","Address"

"The Body Care & Cure","+ 91  522 4938989",""
"Club Ifit","+ 91  522 4011444",""
"Apple Fitness Zone","+ 91  522 2329001",""
"Iron Core Fit","+ 91  522 4082323",""
"Tigers Club Of Martial Arts","+ 91  9839132913",""
"Olympia Fitness Zone","+ 91  9389644731",""
"The Body Care And Cure","+ 91  522 4058282",""
"Simran Sahnis Health Zone","+ 91  522 4064060",""
"Body Basic Gym & Music Danc...","+ 91  9307793749",""
"Fitness Flair","+ 91  9102837035",""
"Atlanta Fitness","+ 91  522 4005008",""
"OLYMPIA FITNESS ZONE","+ 91  522 4024000",""
"Power & Fitness Gym","+ 91  9415752810",""
"Health Zone & Glamor Zone","+ 91  522 3299008",""
"Lemed Wellness","+ 91  522 4010069",""
"Talwalkars Better Value Fit...","+ 91  522 4113661",""
"GYMFINITY GYM & FITNESS STUDIO","+ 91  522 4082586",""
"SLIM FIT ZONE","+ 91  522 3226555",""
"Talwalkars Better Value Fit...","+ 91  522 4113757",""
"Hi power supplement shop","+ 91  9839070977",""
"Velocity Fitness Studio","+ 91  9616833333",""
"Golds Gym","+ 91  9336730525",""
"Golds Gym","+ 91  522 6061116",""
"Body Care & Cure Clinic","+ 91  522 4058282",""
"Health Zone","+ 91  522 4043020",""
"Olympia Fitness Zone","+ 91  9451951571",""
"Snap Fitness","+ 91  522 4042210",""
"Simran Sahnis Health Zone","+ 91  522 4043020",""
"The Muscle Gym","+ 91  522 4072222",""
"Oudh Gym Khana Club","",""
"Slimline","+ 91  7505896262",""
"OLYMPIA FITNESS ZONE.","+ 91  9389748199",""
"Charisma","+ 91  522 3293897",""
"Utopia Royale","+ 91  522 4077770",""
"Alchemist Gym","+ 91  522 4004333",""
"Alchemist Fitness Center","+ 91  9565669958",""
"The body care & cure","+ 91  522 4929300",""
"Sportsfit Gym & Fitness Centre","+ 91  522 6055060",""
"Gold gym","+ 91  7080808640",""
"REVOLUTION FITNESS CENTER","+ 91  522 4063346",""
"Country Club India Ltd","+ 91  522 4036400",""
"Expender fitness","+ 91  522 2961075",""
"ULTIMATE FITNESS GYM","+ 91  522 4005262",""
"Expander GYM","+ 91  522 6561071",""
"Cure Line","+ 91  9889885900",""
"The Terminator Gym","+ 91  9648198213",""
"Speedy Fitness Mantra","+ 91  9415006985",""
"Olympia fitness zone","+ 91  9335313571",""
"The Core Gym","+ 91  522 4012284",""
"Health & Care Center","+ 91  9305899991",""
"Olive Body & Soul","+ 91  522 3010334",""
"CRYSTAL GYM","+ 91  7398913528",""
"BeneFitness","+ 91  8960618000",""
"Fitness Health Club","+ 91  9415522111",""
"CHARISMAA GYM","+ 91  9305149690",""
"PLATINUM GYM","+ 91  9795894065",""
"ATLANTA FITNESS","+ 91  522 4005008",""
"CROSSFIT GYM","+ 91  9058045608",""
"Fitness rock gym","+ 91  9369133959",""
"RAJ FIGURE SHAPERS","+ 91  522 2960907",""
"Naina Slimming Centre","+ 91  9839011633",""
"WORLD IRON CHAMP","+ 91  8174060949",""
"Modifiers Gym","+ 91  9794082232",""
"Club Five","+ 91  9415797299",""
"Samar fitness gym","+ 91  9044705444",""
"Body Gym","+ 91  522 3293512",""
"PULSE FITNESS CENTRE","+ 91  522 6002257",""
"Shapers The Body Studio","+ 91  522 4063434",""
"THE FITNESS ZONE","+ 91  9169869004",""
"Alchemist Fitness Centre","+ 91  9628032326",""
"Span Fitness","+ 91  522 2991631",""
"THE CROSSOVER GYM","+ 91  9628867403",""
"Fitness power hub","+ 91  7398211021",""
"Creative Health Club","+ 91  9807367862",""
"AALOK FITNESS ADDICTION","+ 91  7607504925",""
"Maa Ambey Health Club","+ 91  7860021629",""
"Aalok Fitness Addiction","+ 91  9889733859",""
"spartan training & nutrition","+ 91  9839151888",""
"Sylvester fitness point","+ 91  7505506529",""
"Arhams Gym","+ 91  8960131563",""
"FITNESS STATION","+ 91  7309324932",""
"Orchid Beary Health & Spa","+ 91  522 3010813",""
"Tbc Health Club","+ 91  522 3010971",""
"Shubham gym","+ 91  8896478603",""
"Agile CrossFit","+ 91  522 4957788",""
"Your Gym","+ 91  9305031319",""
"HI POWER GYM","+ 91  522 6506501",""
"Yashraj international","+ 91  522 6501111",""
"Fitness addiction","+ 91  7309928040",""
"FITNESS POWER HUB","+ 91  9532222206",""
"FITNESS ADICTION","+ 91  8960676417",""
"Active Fit","+ 91  9044472814",""
"Active fit Gym And Spa","+ 91  9336128850",""
"Fitness Point","+ 91  7499204606",""
"City Health Point","+ 91  9415578154",""
"Star Mantra","+ 91  7388888806",""
"Neelu Aero Fit Gym","+ 91  8052476659",""
"Lifestyle Gym & Fitness Centre","+ 91  8188991984",""
"Godiva The Way To Perfection","+ 91  9335501442",""
"THE CORE GYM","+ 91  7844909802",""
"Degree gym","+ 91  8960009595",""
"Slim fit zone","+ 91  9161030303",""
"Hunk gym","+ 91  8004008805",""
"Body Rebuild","+ 91  7499210438",""
"Oxyzone Fitness And Beauty Cen...","+ 91  522 4044845",""
"YASH HEALTH CLUB","+ 91  8090483066",""
"DEGREE GYM","+ 91  8601872032",""
"The music factory","+ 91  9838506556",""
"Fitness Zone","+ 91  9506263977",""
"paweha zim fitness","+ 91  9807208008",""
"The Fitness Zone","+ 91  8726483804",""
"ALINA FITNESS CENTRE","+ 91  9935625001",""
"ALINA HEALTH & BEAUTY WORLD","+ 91  8173053263",""
"Absolute style","+ 91  522 4060051",""
"BODY VENTURE","+ 91  9616962773",""
"Body basic gym","+ 91  9307793749",""
"BODY BASIC GYM & MUSIC DANCE A...","+ 91  8004694585",""
"THE UNIQUE FITNESS ZONE","+ 91  522 3226660",""
"UTOPIA ROYALE WELLNESS CENTRE","+ 91  7755075398",""
"PPower house fitness centre","+ 91  7800846404",""
"Fit India Gym","+ 91  9026856777",""
"GYM ADDICTION","+ 91  9696888656",""
"Terminator gym","+ 91  8960749798",""
"SHINE MASTERZZ","+ 91  7080803911",""
"THE TERMINATOR GYM","+ 91  9839920380",""
"Fitness zone","+ 91  7310389722",""
"Fitness Zone","+ 91  9151555500",""
"LIFE STYLE GYM","+ 91  7398933331",""
"Power Point","+ 91  9044973834",""
"Avenger gym","+ 91  7309053731",""
"SLIM LINE","+ 91  522 2230884",""
"Sliming","+ 91  8896449888",""
"Skyline fitness","+ 91  7499426888",""
"Her fitness world","+ 91  8960141115",""
"Power house gym and fitness ce...","+ 91  9838308644",""
"Revolution","+ 91  9651505576",""
"Crossfit gym","+ 91  9795090007",""
"Physique gym","+ 91  522 4109229",""
"The Rock Gym","+ 91  7897525555",""
"Nritya Dance Academy","+ 91  7505238633",""
"IRON BULL","+ 91  9794500131",""
"Fitness Freak","+ 91  9044409011",""
"Fitness Freak","+ 91  7268888816",""
"Gym Addiction","+ 91  9005386033",""
"A Plus A health mantra","+ 91  8573904878",""
"Olympia fitness centre","+ 91  8423467637",""
"Stars Gym","+ 91  7080940189",""
"The force gym","+ 91  7618099777",""
"FITNESS MANTRA","+ 91  7860683268",""
"EDWIN HEALTH","+ 91  9953173648",""
"EDWIN HEALTH CLUB","+ 91  8799333261",""
"Fitness power","+ 91  9451035472",""
