"Name","Phone","Address"

"Jagdambay Jewels","+ 91  9888705105","G. T. Road, Jalandhar- 144 001, Hoshiarpur - 146001"
"Jagdambay Rice & Gen. Mills","+ 91  1882 260067","Vill-Chak Kalal, Hoshiarpur - 146001, Bangamandi,Banga"
"Jagdambay Telecom","+ 91  9815259065","Hoshiarpur - 146001, Bazar Vakilan, Infront Of Telephone Exchange"
"Jagdambay Mobile World","+ 91  9501790050","Shop No. 15, Hoshiarpur - 146001, Bus Stand Tanda"
"Jagdambay Jewellers","+ 91  9357922100","No11/9, Jyoti Chowk, Hoshiarpur - 146001, Near Mani Hotel"
"JAGDAMBAY GARMENTS","+ 91  9814232566","Main bazaar, bahadhurpur Road, Hoshiarpur - 146001, committee Bazar"
"Jagdambay Jewellers","+ 91  1883 286040","Old Bank Road, Dasuya, Hoshiarpur - 144205"
"Jagdambay Silk Store","+ 91  9915081081","Talwada Road, Hajipur, Hoshiarpur - 144221, Near Post Office"
"Jagdambay Traders","+ 91  9463853811","Talwara Road, Balachaur, Hoshiarpur - 144521, Opposite State Bank Of Patiala"
"Hoshiarpur Automobiles","+ 91  1883 244346","G T Rd, Mukerian, Hoshiarpur - 144211, sonalinka"
"Hoshiarpur Automobiles","+ 91  1882 500200","HOSHIARPUR - 146001, Opposite ITI Jalandhar Road"
"Corporation Bank Hoshiarpur","+ 91  1882 242629","Court Rd, Hoshiarpur - 146001"
"Hoshiarpur Automobiles","+ 91  1886 225542","Hargobind Road, Miani Road, Tanda, Hoshiarpur - 144204, Near Pakapukta Gurudwara"
"The Hoshiarpur Express Transpo...","+ 91  1882 256540","H.o217-L,, Model Town, Hoshiarpur - 146001"
"Hoshiarpur Scan & Diagnostic","+ 91  1882 502170","145 L,, Model Town, Hoshiarpur - 146001, Nr- Roshan Ground"
"Punjab National Bank Hoshiarpu...","+ 91  1882 256391","Jalandhar Road, Hoshiarpur, Hakumatpur, Hoshiarpur - 146107"
"Hoshiarpur Automobiles","+ 91  1882 501601","Jalandhar Road, Hoshiarpur - 146001, Singriwala"
"Volkswagen Hoshiarpur","+ 91  1882 308308","Jalandhar Road, Piplanwala, Hoshiarpur - 146022, Village Chak Gujran, Near Sonalika Tractor"
"State Bank Of India Regional B...","+ 91  1882 241917","Sutheri Road, Hoshiarpur - 146001"
